Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
9	787	9.46e-27	26	6.6	19	40	18	24.5	41	19.2	373	22	52	14	117
8	368	1.75e-15	14.8	6.58	15	25	20	15.2	23.2	17.4	349	17	19	23	97
7	189	2.33e-09	8.63	5.8	52	38	17	48.7	35.1	19.2	243	52	38	16	79.9
6	156	5.96e-08	7.22	4.29	29	37	17	36.9	44	16.2	260	29	37	17	121
5	69	0.000529	3.28	5.92	25	9	14	22.7	10.4	11.6	300	24	9	14	125
4	45	0.0128	1.89	4.49	39	8	12	41.6	10.7	11	192	39	8	12	111
3	44	0.0148	1.83	4.3	48	49	18	48.3	46.5	17.5	251	47	47	18	122
2	38	0.0355	1.45	4.63	39	17	20	43.2	20.8	19.9	151	44	20	20	89.9
1	38	0.0355	1.45	3.67	30	55	16	26.8	53.4	17.3	427	28	56	17	146
