  +1.4675182e-05  +1.9850837e-08  +2.5791873e-05  +1.4433379e-02  +9.4383514e-04  +1.0220937e-01    +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00    +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00  +0.0000000e+00
  +1.5725745e-05  +4.2366401e-08  +2.2565540e-05  +1.4796046e-02  +3.3904767e-03  +1.3198180e-01    -1.3475000e-04  -6.4938000e-05  +3.2825000e-04  -1.5000000e-03  -2.7505900e-02  +4.3591000e-02    +1.8157562e-08  +4.2169438e-09  +1.0774806e-07  +2.2500000e-06  +7.5657453e-04  +1.9001753e-03
  +2.1137006e-05  +3.5857461e-07  +2.3805519e-05  +1.3661168e-02  +6.1628466e-03  +1.2832945e-01    -6.3193000e-04  -3.9298000e-04  -1.2877000e-04  +4.7580000e-03  -2.0276000e-02  -5.0620000e-03    +3.9933552e-07  +1.5443328e-07  +1.6581713e-08  +2.2638564e-05  +4.1111618e-04  +2.5623844e-05
  +1.8057145e-05  +3.4218288e-07  +2.4291197e-05  +1.5287097e-02  +4.6528769e-03  +1.2177448e-01    +3.4813000e-04  +1.3847000e-05  -4.9520000e-05  -6.7600000e-03  +1.0291800e-02  -9.2690000e-03    +1.2119450e-07  +1.9173941e-10  +2.4522304e-09  +4.5697600e-05  +1.0592115e-04  +8.5914361e-05
  +2.0738552e-05  +1.1138906e-07  +2.7143579e-05  +2.0455579e-02  +6.1625012e-03  +1.0772049e-01    -3.0459000e-04  +2.5121400e-04  -2.8134000e-04  -1.9382000e-02  -1.0289600e-02  -2.0754000e-02    +9.2775068e-08  +6.3108474e-08  +7.9152196e-08  +3.7566192e-04  +1.0587587e-04  +4.3072852e-04
  +2.1651619e-05  +1.2819694e-07  +2.8752974e-05  +1.8005614e-02  +6.8411261e-03  +1.0784328e-01    -9.9170000e-05  -2.4296000e-05  -1.5223000e-04  +8.8380000e-03  -4.2095000e-03  +1.8700000e-04    +9.8346889e-09  +5.9029562e-10  +2.3173973e-08  +7.8110244e-05  +1.7719890e-05  +3.4969000e-08
  +2.1651619e-05  +9.9136820e-08  +2.9210674e-05  +1.6822090e-02  +9.1227523e-03  +1.0521200e-01    +0.0000000e+00  +4.3186000e-05  -4.2510000e-05  +4.4850000e-03  -1.2802000e-02  -4.0310000e-03    +0.0000000e+00  +1.8650306e-09  +1.8071001e-09  +2.0115225e-05  +1.6389120e-04  +1.6248961e-05
  +2.1651619e-05  +4.1336799e-07  +3.0467309e-05  +1.4911585e-02  +8.5205269e-03  +1.0220297e-01    +0.0000000e+00  -3.2807700e-04  -1.1503000e-04  +7.5870000e-03  +3.2064000e-03  -4.6720000e-03    +0.0000000e+00  +1.0763452e-07  +1.3231901e-08  +5.7562569e-05  +1.0281001e-05  +2.1827584e-05
  +2.1885462e-05  +2.3375098e-07  +3.0302383e-05  +1.8328827e-02  +9.1262102e-03  +9.4153854e-02    -2.5060000e-05  +1.5945900e-04  +1.4960000e-05  -1.3271000e-02  -3.2245000e-03  -1.2847000e-02    +6.2800360e-10  +2.5427173e-08  +2.2380160e-10  +1.7611944e-04  +1.0397400e-05  +1.6504541e-04
  +3.0372774e-05  +2.8867517e-07  +2.9862837e-05  +2.0439849e-02  +6.2746994e-03  +7.9564049e-02    -8.3296000e-04  -5.3807000e-05  +4.0070000e-05  -7.5840000e-03  +1.6318200e-02  -2.4774000e-02    +6.9382236e-07  +2.8951932e-09  +1.6056049e-09  +5.7517056e-05  +2.6628365e-04  +6.1375108e-04
