Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
26	1	3.13	53	29	21	53	29	21	50.2	53	29	21	50.2
25	1	3.14	38	34	21	38	34	21	35.6	38	34	21	35.6
24	1	3.52	19	45	21	19	45	21	149	19	45	21	149
23	1	4.09	40	10	22	40	10	22	80.7	40	10	22	80.7
22	1	4.22	43	11	22	43	11	22	62.5	43	11	22	62.5
21	1	3.13	30	32	19	30	32	19	47.5	30	32	19	47.5
20	1	3.27	44	44	11	44	44	11	112	44	44	11	112
19	1	3.39	25	52	11	25	52	11	143	25	52	11	143
18	1	3.23	11	27	12	11	27	12	101	11	27	12	101
17	1	3.17	13	27	12	13	27	12	105	13	27	12	105
16	1	3.12	30	47	25	30	47	25	105	30	47	25	105
15	1	3.46	42	50	13	42	50	13	84.7	42	50	13	84.7
14	1	3.32	45	42	24	45	42	24	52.1	45	42	24	52.1
13	1	3.28	10	26	14	10	26	14	45	10	26	14	45
12	1	3.09	31	39	14	31	39	14	177	31	39	14	177
11	1	3.09	46	49	16	46	49	16	161	46	49	16	161
10	1	3.11	42	13	15	42	13	15	55.6	42	13	15	55.6
9	1	3.58	19	23	15	19	23	15	81	19	23	15	81
8	1	3.25	10	24	15	10	24	15	34.7	10	24	15	34.7
7	1	3.75	19	41	24	19	41	24	58.6	19	41	24	58.6
6	1	3.64	33	39	15	33	39	15	302	33	39	15	302
5	1	3.57	44	37	24	44	37	24	81	44	37	24	81
4	1	3.11	24	49	15	24	49	15	101	24	49	15	101
3	1	3.35	20	56	15	20	56	15	44.4	20	56	15	44.4
2	1	3.2	41	13	24	41	13	24	66.7	41	13	24	66.7
1	1	3.38	20	51	14	20	51	14	86.2	20	51	14	86.2
