Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
80	2	3.77	11.4	-97.1	21.9	13	-97.2	21.8	84.9	11.4	-97.1	21.9	77.6
79	2	3.2	-22.5	-103	23.8	-24.2	-101	23.6	157	-25.9	-99.3	23.3	114
78	2	3.85	11.3	-104	23	9.62	-104	23	67	11.3	-104	23	61.7
77	2	3.43	-3.51	-7.94	74.6	-5.19	-7.89	74.7	169	-3.51	-7.94	74.6	144
76	2	4.1	13	-18.3	53.3	11.4	-18.3	53.4	84.1	9.61	-18.2	53.4	80.5
75	2	3.46	-61	23.8	31.1	-61.1	22.2	31.4	101	-61.1	20.5	31.7	93.1
74	2	3.52	20.2	64.7	-17.8	20.2	63.2	-17.6	137	20.2	64.7	-17.8	133
73	2	3.49	57.1	-4.06	44	58.7	-4.11	43.9	89.8	60.5	-4.16	43.9	83.5
72	2	4.1	14.1	-73	-61.6	12.6	-73	-61.5	137	14.1	-73	-61.6	115
71	2	3.55	56.2	-24.7	-3.31	56.2	-25.9	-0.349	100	56.2	-24.7	-3.31	97.1
70	2	3.88	79.9	-25.4	-3.86	79.8	-27	-3.58	39.7	79.8	-28.7	-3.29	39
69	2	3.54	34.3	-80.1	-60.9	32.7	-81.6	-60.6	189	34.3	-80.1	-60.9	181
68	2	3.37	62.4	-67.5	3.96	60.7	-67.5	4	57.6	59	-67.4	4.04	51.7
67	2	4.31	-26.6	57.3	35.7	-26.7	55.9	35.9	225	-26.7	54	36.2	212
66	2	4.25	2.33	-1.14	-11.5	0.682	-1.09	-11.5	366	-1.05	-1.04	-11.5	338
65	2	3.89	27.6	-99.5	-34.7	25.9	-99.4	-34.7	118	24.2	-99.4	-34.6	105
64	2	3.46	37.8	62.8	38.5	36.1	62.9	38.6	64	37.8	62.8	38.5	62.6
63	2	3.69	-32.5	-58.4	-17.6	-32.5	-56.8	-17.8	138	-32.5	-58.4	-17.6	132
62	2	3.69	-39.9	-90.2	-28.8	-38.2	-88.7	-29.1	119	-36.4	-87	-29.4	95.1
61	2	3.13	-10	59.1	6.6	-10	60.8	6.31	250	-10	62.4	6.02	210
60	2	3.55	69.4	-30.9	-19.6	67.8	-30.9	-19.5	84.3	66	-30.8	-19.5	78.3
59	2	3.82	-32.4	-90.9	33.3	-32.4	-92.4	33.6	145	-32.4	-90.9	33.3	104
58	2	3.65	-16.6	16.2	76.4	-16.6	17.8	76.2	75.1	-16.6	16.2	76.4	67.3
57	2	3.28	34.1	57.1	22.6	35.7	57.1	22.6	105	34.1	57.1	22.6	100
56	2	3.37	55.8	-46.1	-10.9	54.1	-46	-10.8	75.7	55.8	-46.1	-10.9	75.5
55	2	3.33	67.3	10.3	29.8	68.9	10.3	29.8	64.7	67.3	10.3	29.8	55.9
54	2	3.13	62.6	-39.7	-12.2	62.7	-39.3	-9.45	68.2	62.6	-39.7	-12.2	66.5
