Cluster Index	Z	P	-log10(P)		x	y	z	
139	6.7	1.07e-11	11	47	16.6	23.7
139	5.63	8.8e-09	8.06	33.6	4	48.9
139	4.83	6.82e-07	6.17	57.1	21.2	11.3
139	4.82	7.1e-07	6.15	50.7	10.9	52.8
139	4.6	2.08e-06	5.68	40.7	24.3	50.8
139	4.24	1.12e-05	4.95	30.3	2.51	60.5
138	7.04	9.48e-13	12	56.6	-31.1	43
138	5.68	6.83e-09	8.17	66.9	-36.2	54.9
138	5.59	1.11e-08	7.95	60	-45.9	56.8
138	5.1	1.7e-07	6.77	53.3	-47.3	68.5
138	4.93	4.11e-07	6.39	39.4	-62.5	54.6
138	4.3	8.56e-06	5.07	52.9	-57.2	47.7
137	5.24	8.03e-08	7.1	-10.2	12.6	54.3
137	4.52	3.02e-06	5.52	6.71	17.9	47.2
137	3.91	4.53e-05	4.34	-3.49	3.47	61.3
137	3.85	5.97e-05	4.22	-13.6	20.9	41.6
137	3.74	9.06e-05	4.04	17	13.6	64.6
137	3.63	0.000144	3.84	-13.5	27.4	40.5
136	6.46	5.09e-11	10.3	-54.5	1.53	40.5
136	5.69	6.52e-09	8.19	-64.7	12.4	21.9
136	4.93	4.19e-07	6.38	-47.8	6.2	28.2
136	4.33	7.4e-06	5.13	-54.4	3.22	51.5
136	4.3	8.52e-06	5.07	-54.7	7.98	16.8
135	5.24	7.84e-08	7.11	33.3	25.9	-5.81
135	4.83	6.7e-07	6.17	30	27.7	5.28
135	4.04	2.67e-05	4.57	50.1	24.6	-11.7
135	3.74	9.11e-05	4.04	16.3	17.4	1.8
135	3.56	0.000188	3.73	50	14.7	-10
135	3.37	0.00037	3.43	39.8	15	-9.76
134	6.29	1.55e-10	9.81	38.4	-87.3	2.43
134	6.02	8.91e-10	9.05	31.5	-88	-2.91
134	5.57	1.25e-08	7.9	25	-87.7	19.8
134	5.02	2.56e-07	6.59	31.8	-85.4	13.6
134	4.55	2.71e-06	5.57	38.4	-75.9	-10.9
134	3.86	5.56e-05	4.25	45.2	-72.8	-11.6
133	3.98	3.38e-05	4.47	-27	47.4	14.8
133	3.83	6.36e-05	4.2	-13.7	37.1	16.2
133	3.51	0.000227	3.64	-33.6	55.8	24.8
132	4.44	4.54e-06	5.34	-21.5	-58.4	50
132	4.3	8.57e-06	5.07	-41.5	-34.9	46.5
131	4.41	5.09e-06	5.29	-54.2	38.3	17.1
131	4.29	8.98e-06	5.05	-50.8	44.7	15.9
131	4.08	2.24e-05	4.65	-47.3	43.1	27.4
131	3.92	4.43e-05	4.35	-61.2	31.1	12.9
130	5.66	7.56e-09	8.12	-37.5	-0.535	51.7
130	5.06	2.04e-07	6.69	-37.4	6.01	50.5
129	4.33	7.32e-06	5.14	33.7	39.1	14.5
129	3.69	0.000111	3.96	40.7	47.1	24.2
129	3.66	0.000126	3.9	40.6	48.7	12.6
129	3.29	0.000499	3.3	43.9	38.8	14.3
128	4.7	1.3e-06	5.89	62.9	-39.6	10.4
128	3.91	4.61e-05	4.34	56.1	-45.1	17.2
128	3.34	0.000413	3.38	69.8	-35.7	15.2
127	3.9	4.75e-05	4.32	5.2	-73.9	40.6
127	3.81	6.92e-05	4.16	18.9	-55.5	31.4
127	3.59	0.000166	3.78	18.9	-64.5	38.6
127	3.49	0.000245	3.61	15.4	-70.9	39.8
126	3.85	5.97e-05	4.22	-24.7	8.61	-18.1
126	3.78	7.93e-05	4.1	-11.1	3.36	-6.29
126	3.58	0.000172	3.76	-21.1	13.5	-7.76
125	4.02	2.91e-05	4.54	6.86	33.4	38.9
124	4.33	7.37e-06	5.13	33.8	57	0.0605
124	3.82	6.76e-05	4.17	37.1	58.5	-11.6
124	3.6	0.000156	3.81	33.7	49.6	-4.3
123	4.32	7.87e-06	5.1	-25.8	-87.9	10
123	3.8	7.34e-05	4.13	-36.1	-86.1	-1.33
122	4.22	1.24e-05	4.91	14	-86.1	-59.3
122	3.9	4.85e-05	4.31	24.1	-83.1	-60.1
121	3.93	4.22e-05	4.37	16.3	34.5	-18.1
121	3.19	0.000705	3.15	12.9	28	-16.9
120	4.36	6.56e-06	5.18	-10.8	6.74	15.7
120	3.41	0.000324	3.49	-17.6	3.65	16.5
119	4.08	2.24e-05	4.65	-9.62	-78.9	-59.9
118	4.11	1.96e-05	4.71	-26.6	-81.7	-58.9
118	3.28	0.000526	3.28	-36.7	-81.4	-58.7
117	4.17	1.55e-05	4.81	-68.5	-30.8	46.5
117	3.92	4.48e-05	4.35	-65.2	-37.5	47.6
116	4.34	7.07e-06	5.15	19.9	45.1	-14.4
116	3.81	6.89e-05	4.16	13.3	51.8	-15.4
115	4.02	2.95e-05	4.53	-48.7	-45.4	20.2
114	3.54	0.000202	3.7	13.1	-16.7	64.3
114	3.43	0.000299	3.52	13.3	-15	75.4
113	3.75	8.95e-05	4.05	17.2	65.8	10.3
112	4.22	1.2e-05	4.92	22.2	-81.7	58.4
112	3.6	0.000161	3.79	8.56	-85.4	53.8
111	3.59	0.000165	3.78	-23.2	-96.5	-45.1
111	3.38	0.000357	3.45	-23.1	-98	-33.5
111	3.17	0.000758	3.12	-19.6	-96.5	-22.6
110	4.06	2.43e-05	4.61	-42.6	-77.6	8.7
110	3.85	5.96e-05	4.22	-35.9	-84.4	9.68
109	5.31	5.37e-08	7.27	66.5	-39.6	32.9
108	4.5	3.4e-06	5.47	-65.1	-17.1	27.1
107	3.5	0.000231	3.64	37.3	38.2	31.5
106	4.5	3.34e-06	5.48	-68.3	-25.9	57
