Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
205	2853	7.13	16	25	20	32.9	15.6	11.7
204	471	7.12	19	40	18	22.4	43.6	15.8
203	354	5.68	36	37	23	36.6	42	17.9
202	85	6.89	49	34	20	49.1	35.5	18.5
201	76	6.33	44	33	22	41.2	29.7	24.5
200	43	5.3	23	20	24	23.8	20.3	23.8
199	41	4.86	49	46	17	47.7	46.1	17.9
198	30	4.59	15	24	13	15.8	24.3	13.6
197	28	4.84	41	44	4	40.6	42.7	5.08
196	23	4.08	38	52	13	36.8	54.6	13
195	22	4.67	47	21	15	48	22.4	13.3
194	22	4.19	52	20	14	52.1	18.1	13.5
193	22	4.52	36	50	17	35.5	51.7	17.1
192	21	4.33	14	38	10	14.8	38.5	10.6
191	17	4.88	21	41	23	21.9	40.7	22.5
190	17	4.26	47	43	15	47.3	43.2	14.3
189	16	4.3	25	41	5	24.7	41.7	4.76
188	14	4.33	20	46	9	19.9	45.7	8.93
187	13	3.91	45	52	11	44.8	51.2	11
186	13	4.53	19	13	21	19.3	12.4	19.6
185	13	4.04	41	42	20	40.8	42.2	19.8
184	12	4.04	39	50	11	37.3	48.3	10.9
183	12	5.16	31	27	27	29.3	28.8	26.9
182	11	5.41	13	23	18	12.8	21.2	18.4
181	10	3.61	10	29	12	10.3	29.7	12.2
180	10	3.82	32	41	18	30.5	41.4	18.2
179	9	4.45	34	40	7	34.2	38.4	6.57
178	9	4.02	29	56	13	29	56.1	12.9
177	8	3.91	53	27	15	53.2	27	15.1
176	8	3.8	46	46	9	46.5	45.5	9.13
175	8	4.26	28	56	17	28.9	54	16.8
174	8	4.12	29	4	15	28.8	4.95	14.3
173	6	3.92	48	28	25	47.7	27.4	24.8
172	6	4.29	16	29	12	16.2	28.5	12.1
171	6	3.92	48	22	17	48.2	22.6	17.2
170	6	4.03	45	27	8	45	26.8	8
169	6	4	15	15	17	15	14.5	17
168	5	3.96	29	37	17	28.2	36	16.4
167	5	3.71	39	43	9	38.2	43.2	9
166	5	3.81	34	42	13	33.4	41.8	13
165	5	4.44	52	29	17	51.8	29.4	17
164	5	4.46	25	8	19	24.4	8.6	18.6
163	5	3.87	51	28	23	51.4	28.2	23
162	5	4.41	49	19	5	49.8	18.6	5.39
161	4	3.68	25	23	15	25.5	23	15
160	4	3.47	34	30	26	35.2	30.2	25.5
159	4	3.86	26	30	3	25.5	29.5	3
158	4	4.18	41	24	27	41.5	23.5	27
157	4	3.56	22	53	22	22.5	52.8	21.3
156	4	3.38	19	40	4	19.2	40.7	4
155	4	3.92	36	37	16	36	37.2	15.7
154	4	4.32	50	27	8	50.7	27.2	8
153	4	3.7	37	8	8	37.5	7.52	8
152	4	3.55	50	16	21	49.5	16	21
151	4	3.32	38	57	17	37.7	57	17.2
150	4	3.84	32	36	19	32.5	36.5	19
149	4	3.58	41	28	6	41.7	27	6.25
148	3	3.54	20	26	26	20.3	25.3	26
147	3	3.43	49	47	12	49.7	47.3	11.3
146	3	4.82	31	56	20	31	56	20
145	3	3.64	36	21	26	36	21	26
144	3	3.29	22	46	20	21.7	46.7	20
143	3	3.41	43	54	18	43	54.6	18.3
142	3	3.85	37	32	13	36.7	31.7	13
141	3	3.54	55	22	17	54.7	22.3	17
140	3	3.62	48	17	16	48.3	17	16
139	3	3.7	38	23	16	38.3	23.6	15.4
138	3	4.24	34	18	25	34	17.1	25.3
137	3	3.94	35	37	8	35	36.7	8
136	3	3.63	27	45	9	26.4	44.7	9
135	3	3.35	24	25	5	23.7	25.7	5
134	3	3.74	42	7	9	42	7.31	9
133	3	3.47	16	40	7	15.7	39.3	7
132	3	3.29	36	17	7	36.3	17	7.33
131	3	3.2	55	31	11	54.3	30.7	10.3
130	3	4.03	33	42	9	33.6	42.3	9
129	3	3.29	44	45	6	44.3	45.7	6
