Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
205	2853	7.13	50	-21.9	25	-2.88	-51.3	-16.3
204	471	7.12	40.6	25	15	29.9	36.2	4.03
203	354	5.68	-12.5	15.6	40	-14.4	31.3	14.5
202	85	6.89	-53.1	6.25	25	-53.4	11.1	17.7
201	76	6.33	-37.5	3.12	35	-28.8	-7.09	47.4
200	43	5.3	28.1	-37.5	45	25.8	-36.6	44.1
199	41	4.86	-53.1	43.8	10	-49	44	14.3
198	30	4.59	53.1	-25	-10	50.7	-24.2	-7.05
197	28	4.84	-28.1	37.5	-55	-26.8	33.5	-49.6
196	23	4.08	-18.8	62.5	-10	-15.1	70.5	-9.95
195	22	4.67	-46.9	-34.4	0	-50	-30	-8.57
194	22	4.19	-62.5	-37.5	-5	-62.9	-43.5	-7.59
193	22	4.52	-12.5	56.2	10	-10.8	61.6	10.7
192	21	4.33	56.2	18.8	-25	53.9	20.4	-22
191	17	4.88	34.4	28.1	40	31.4	27.1	37.6
190	17	4.26	-46.9	34.4	0	-47.7	35.1	-3.55
189	16	4.3	21.9	28.1	-50	22.9	30.2	-51.2
188	14	4.33	37.5	43.8	-30	37.9	42.9	-30.3
187	13	3.91	-40.6	62.5	-20	-39.9	59.9	-20
186	13	4.53	40.6	-59.4	30	39.6	-61.3	23.2
185	13	4.04	-28.1	31.2	25	-27.5	32	23.8
184	12	4.04	-21.9	56.2	-20	-16.6	51	-20.4
183	12	5.16	3.12	-15.6	60	8.3	-9.87	59.4
182	11	5.41	59.4	-28.1	15	59.9	-33.8	16.8
181	10	3.61	68.8	-9.38	-15	67.9	-7.29	-14
180	10	3.82	0	28.1	15	4.63	29.3	16
179	9	4.45	-6.25	25	-40	-6.86	20	-42.2
178	9	4.02	9.38	75	-10	9.41	75.3	-10.5
177	8	3.91	-65.6	-15.6	0	-66.3	-15.6	0.581
176	8	3.8	-43.8	43.8	-30	-45.2	42.3	-29.4
175	8	4.26	12.5	75	10	9.62	68.7	8.86
174	8	4.12	9.38	-87.5	0	10	-84.5	-3.72
173	6	3.92	-50	-12.5	50	-49	-14.4	49.2
172	6	4.29	50	-9.38	-15	49.5	-10.8	-14.3
171	6	3.92	-50	-31.2	10	-50.5	-29.3	10.9
170	6	4.03	-40.6	-15.6	-35	-40.6	-16.2	-35
169	6	4	53.1	-53.1	10	53.2	-54.6	10
168	5	3.96	9.38	15.6	10	11.8	12.6	7.08
167	5	3.71	-21.9	34.4	-30	-19.5	35	-30
166	5	3.81	-6.25	31.2	-10	-4.42	30.7	-10
165	5	4.44	-62.5	-9.38	10	-61.8	-8.07	10
164	5	4.46	21.9	-75	20	23.7	-73.1	18.1
163	5	3.87	-59.4	-12.5	40	-60.6	-11.9	40
162	5	4.41	-53.1	-40.6	-50	-55.6	-41.8	-48
161	4	3.68	21.9	-28.1	0	20.4	-28.2	9.54e-06
160	4	3.47	-6.25	-6.25	55	-10.1	-5.47	52.6
159	4	3.86	18.8	-6.25	-60	20.3	-7.8	-60
158	4	4.18	-28.1	-25	60	-29.6	-26.6	60
157	4	3.56	31.2	65.6	35	29.7	64.9	31.4
156	4	3.38	40.6	25	-55	39.9	27.3	-55
155	4	3.92	-12.5	15.6	5	-12.4	16.3	3.72
154	4	4.32	-56.2	-15.6	-35	-58.4	-14.9	-35
153	4	3.7	-15.6	-75	-35	-17.2	-76.5	-35
152	4	3.55	-56.2	-50	30	-54.7	-50.1	30
151	4	3.32	-18.8	78.1	10	-18	78.1	11.2
150	4	3.84	0	12.5	20	-1.53	14	20
149	4	3.58	-28.1	-12.5	-45	-30.4	-15.6	-43.8
148	3	3.54	37.5	-18.8	55	36.5	-20.8	55
147	3	3.43	-53.1	46.9	-15	-55.2	47.9	-18.3
146	3	4.82	3.12	75	25	3.19	75	25
145	3	3.64	-12.5	-34.4	55	-12.5	-34.3	55
144	3	3.29	31.2	43.8	25	32.3	45.8	25
143	3	3.41	-34.4	68.8	15	-34.4	70.8	16.6
142	3	3.85	-15.6	0	-10	-14.6	-0.943	-10
141	3	3.54	-71.9	-31.2	10	-70.9	-30.2	10
140	3	3.62	-50	-46.9	5	-51	-46.9	5.03
139	3	3.7	-18.8	-28.1	5	-19.8	-26.1	1.79
138	3	4.24	-6.25	-43.8	50	-6.25	-46.6	51.4
137	3	3.94	-9.38	15.6	-35	-9.27	14.7	-35
136	3	3.63	15.6	40.6	-30	17.6	39.6	-30
135	3	3.35	25	-21.9	-50	26	-19.8	-50
134	3	3.74	-31.2	-78.1	-30	-31.3	-77.1	-30
133	3	3.47	50	25	-40	51	23	-40
132	3	3.29	-12.5	-46.9	-40	-13.5	-46.9	-38.4
131	3	3.2	-71.9	-3.12	-20	-69.8	-4.16	-23.3
130	3	4.03	-3.12	31.2	-30	-5.14	32.2	-30
129	3	3.29	-37.5	40.6	-45	-38.5	42.7	-45
128	3	3.41	-15.6	-84.4	-20	-14.6	-86.4	-20
127	3	4.33	-46.9	34.4	-40	-47.8	34.4	-43.1
126	2	3.59	6.25	25	-30	6.25	26.5	-30
125	2	3.83	62.5	-12.5	-30	61.1	-12.5	-30
124	2	3.46	-18.8	-28.1	-55	-17.2	-28.1	-55
123	2	3.71	59.4	21.9	0	60.9	21.9	0
122	2	3.93	9.38	-12.5	35	7.94	-12.5	35
121	2	3.91	0	-37.5	35	-1.45	-37.5	35
120	2	3.44	40.6	40.6	30	40.6	39.1	30
119	2	3.38	59.4	-34.4	5	59.4	-32.8	5
118	2	3.45	9.38	-18.8	5	10.9	-20.2	5
117	2	3.51	-9.38	59.4	35	-10.9	59.4	35
116	2	3.27	50	3.12	30	51.5	3.12	30
115	2	4.61	-18.8	-84.4	-30	-17.4	-84.4	-30
114	2	3.46	-43.8	53.1	5	-42.3	53.1	5
113	2	3.17	-12.5	68.8	5	-12.5	67.2	5
112	2	3.55	-31.2	-6.25	-30	-31.2	-6.25	-32.5
111	2	3.72	18.8	40.6	-40	20.3	42.2	-40
110	2	3.41	28.1	37.5	-40	29.6	39	-40
109	2	3.42	-15.6	25	10	-17.2	25	10
108	2	4.17	-68.8	0	25	-68.8	-1.4	25
107	2	3.51	-37.5	21.9	-40	-39	21.9	-40
106	2	3.43	-18.8	-31.2	25	-18.7	-32.7	25
105	2	3.18	-12.5	25	20	-12.5	23.4	20
104	2	3.75	21.9	78.1	15	23.4	78.1	15
103	2	3.51	3.12	81.2	15	4.67	81.2	15
102	2	3.37	6.25	0	20	7.75	0	20
101	2	3.25	0	-9.38	-70	-1.55	-9.38	-72.5
100	2	3.68	-68.8	12.5	-25	-68.8	11	-25
99	2	3.9	-3.12	78.1	-20	-3.13	76.7	-20
98	2	3.58	-71.9	-15.6	-15	-71.9	-14.1	-15
97	2	3.83	3.12	-46.9	55	3.12	-45.4	55
96	2	3.14	21.9	-12.5	-10	21.9	-10.9	-10
95	2	3.53	15.6	62.5	35	17.2	62.5	35
94	2	3.36	-50	53.1	-5	-50	54.7	-5
93	1	3.42	31.2	18.8	-60	31.2	18.8	-60
92	1	3.1	21.9	-65.6	30	21.9	-65.6	30
91	1	3.42	-12.5	31.2	50	-12.5	31.2	50
90	1	3.2	6.25	46.9	50	6.25	46.9	50
89	1	4.24	15.6	78.1	25	15.6	78.1	25
88	1	3.59	9.38	-50	55	9.38	-50	55
87	1	3.29	12.5	6.25	-50	12.5	6.25	-50
86	1	3.51	34.4	9.38	-50	34.4	9.38	-50
85	1	3.3	-15.6	3.12	-60	-15.6	3.12	-60
84	1	3.43	-46.9	37.5	35	-46.9	37.5	35
83	1	3.16	15.6	-28.1	25	15.6	-28.1	25
82	1	3.44	43.8	-28.1	-65	43.8	-28.1	-65
81	1	3.33	21.9	-6.25	55	21.9	-6.25	55
80	1	3.39	59.4	18.8	20	59.4	18.8	20
79	1	3.3	-21.9	-37.5	-55	-21.9	-37.5	-55
78	1	3.43	31.2	56.2	35	31.2	56.2	35
77	1	4.13	-31.2	3.12	55	-31.2	3.12	55
76	1	3.21	-18.8	18.8	60	-18.8	18.8	60
75	1	3.62	3.12	-21.9	65	3.12	-21.9	65
74	1	3.17	6.25	50	40	6.25	50	40
73	1	3.35	46.9	-28.1	45	46.9	-28.1	45
72	1	3.27	-34.4	-53.1	-55	-34.4	-53.1	-55
71	1	4.09	-25	-68.8	35	-25	-68.8	35
