Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
145	385	5.13	-31.2	34.4	-5	-19.3	34.5	8.02	889	-37.5	28.1	-20	416
144	314	6.12	31.2	-68.8	-10	28.6	-50.3	-7.53	949	31.2	-43.8	-35	343
143	182	5	28.1	37.5	-10	17.8	36.8	-11.9	1.35e+03	21.9	53.1	-20	436
142	140	5.96	-46.9	-50	-30	-41.9	-43.6	-33.4	1.63e+03	-37.5	-46.9	-40	484
141	96	4.93	-34.4	-59.4	0	-30.1	-54.7	14.6	668	-21.9	-59.4	20	349
140	58	4.77	37.5	21.9	15	36.6	21.5	21.6	804	46.9	37.5	20	373
139	47	4.42	-28.1	-53.1	-15	-23.5	-50.1	-14.5	482	-31.2	-40.6	-15	327
138	43	4.94	25	46.9	0	29.1	45.5	9.54	590	40.6	46.9	15	335
137	34	5.07	-37.5	3.12	35	-34.2	2.6	36.1	411	-37.5	3.12	35	279
136	31	5.01	-46.9	9.38	20	-49.4	8.94	21.3	590	-43.8	9.38	20	319
135	23	4.5	15.6	78.1	0	19.3	72.2	0	669	18.8	68.8	0	503
134	20	5.42	-53.1	-25	25	-50.3	-27.5	24.6	455	-53.1	-28.1	25	302
133	19	4.1	-12.5	6.25	40	-12.6	14.8	36.6	383	-9.38	15.6	40	244
132	19	4.2	43.8	-21.9	-15	43.4	-17.9	-13.3	347	50	-9.38	-15	242
131	18	4.59	-6.25	50	-30	-1.73	36.3	-30	900	-3.12	37.5	-30	507
130	17	4.32	6.25	-71.9	-60	-4.96	-72.6	-60.5	424	-3.12	-71.9	-60	301
129	16	4.44	-40.6	62.5	-20	-38.3	60.2	-20	1.1e+03	-43.8	59.4	-20	765
128	15	4.59	31.2	62.5	5	32.3	61.1	4.42	895	34.4	62.5	0	545
127	15	4.04	-3.12	78.1	-20	3.04	71.2	-20	749	6.25	68.8	-20	536
126	14	3.84	15.6	40.6	-30	20.1	37.6	-30	895	25	40.6	-30	575
125	13	4.23	-50	-28.1	-10	-50.2	-30.3	-5.36	375	-50	-34.4	0	305
124	10	4.75	46.9	-21.9	25	45.8	-22.3	26.4	336	46.9	-21.9	25	244
123	9	4.42	-59.4	-12.5	40	-59.2	-13.7	40	535	-59.4	-15.6	40	357
122	9	4.19	-21.9	-56.2	-75	-19	-57	-75	1.08e+03	-21.9	-56.2	-75	685
121	9	4.76	-43.8	-68.8	-10	-42.8	-66.9	-11	727	-43.8	-71.9	-10	399
120	9	3.76	6.25	59.4	-10	6.32	59.3	-9.48	521	3.12	62.5	-10	457
119	9	4.39	-50	-12.5	50	-48.7	-14.4	50	586	-46.9	-12.5	50	430
118	8	3.64	-53.1	37.5	-20	-54.3	30.9	-20	726	-53.1	34.4	-20	561
117	8	3.88	-53.1	-28.1	10	-49.7	-28.5	10	368	-50	-28.1	10	285
116	8	3.54	-37.5	-65.6	30	-35.5	-62.1	30	1.21e+03	-34.4	-62.5	30	688
115	8	3.83	50	-31.2	0	43.1	-30.1	4.77e-06	304	46.9	-31.2	0	252
114	7	3.65	18.8	-59.4	-75	18.8	-57.1	-75	681	21.9	-56.2	-75	479
113	6	3.79	-65.6	-25	30	-66.1	-21.9	29.2	572	-65.6	-21.9	30	389
112	6	3.51	25	-15.6	25	22.9	-12	26.6	178	21.9	-6.25	30	164
111	6	3.94	-50	-21.9	-50	-48	-22.4	-50	687	-50	-21.9	-50	468
110	6	4.8	53.1	37.5	-10	53.1	39	-10	766	50	37.5	-10	426
109	5	3.58	43.8	18.8	40	42.5	18.2	39	297	43.8	21.9	35	272
108	5	3.95	-43.8	-53.1	40	-43.9	-53.1	40	491	-43.8	-53.1	40	400
107	5	3.58	12.5	75	10	10.7	72.5	10	1.18e+03	12.5	75	10	723
106	5	3.58	25	21.9	35	30	23.8	36.1	364	34.4	28.1	40	258
105	5	3.84	-12.5	-68.8	35	-11.9	-66.3	38	761	-9.38	-62.5	40	391
104	5	3.54	43.8	3.12	-35	41.9	2.48	-37	376	40.6	3.12	-35	275
103	5	3.53	-59.4	31.2	10	-56.3	31.3	11	449	-56.2	31.2	10	350
102	5	4.28	-56.2	-15.6	-35	-56.9	-16.8	-35	355	-56.2	-15.6	-35	264
101	5	3.89	-15.6	78.1	-10	-18	76.3	-10	616	-15.6	75	-10	446
100	5	3.48	0	12.5	20	1.18	11.9	21	284	-3.12	15.6	20	237
99	5	3.41	-15.6	-62.5	10	-15	-63.1	10	480	-12.5	-62.5	10	438
98	5	3.83	-53.1	-53.1	30	-54.4	-49.5	30	926	-53.1	-50	30	620
97	5	3.91	28.1	37.5	-40	33.5	40.5	-40	600	28.1	37.5	-40	455
96	4	3.8	-12.5	71.9	-20	-11	70.3	-20	624	-9.38	71.9	-20	535
95	4	3.44	-56.2	-34.4	40	-56.2	-35.2	38.7	637	-56.2	-31.2	40	483
94	4	3.74	21.9	-12.5	-10	21.9	-8.01	-10	204	21.9	-12.5	-10	175
93	4	3.92	-21.9	-37.5	0	-20.4	-39	0	244	-21.9	-37.5	0	203
92	4	3.75	-56.2	-28.1	-35	-57.7	-29.7	-35	442	-56.2	-28.1	-35	337
91	4	3.4	-6.25	3.12	-30	-3.93	3.88	-28.8	1.37e+03	-3.12	3.12	-30	1.01e+03
90	4	4.13	65.6	-34.4	15	62	-34.5	15	305	59.4	-34.4	15	239
89	4	3.39	-34.4	40.6	-30	-32.9	39.1	-30	742	-34.4	40.6	-30	576
88	3	3.43	25	-75	-55	22.9	-75	-53.3	294	21.9	-75	-50	269
87	3	3.79	-34.4	-15.6	30	-33.4	-14.6	30	247	-34.4	-15.6	30	207
86	3	3.86	59.4	-31.2	5	60.3	-32.3	5	400	62.5	-31.2	5	317
85	3	3.56	-3.12	78.1	-10	-2.09	77.1	-10	747	-3.12	78.1	-10	640
84	3	4.02	12.5	-46.9	-75	11.5	-47.8	-75	377	12.5	-46.9	-75	307
83	3	3.53	-18.8	-75	-20	-15.7	-77	-23.2	448	-12.5	-78.1	-25	373
82	3	3.28	-46.9	-31.2	50	-45.9	-30.2	50	821	-43.8	-31.2	50	594
81	3	3.42	-18.8	6.25	30	-16.7	5.24	30	167	-15.6	6.25	30	158
80	3	3.55	3.12	9.38	-25	1.11	10.4	-23.4	758	0	9.38	-25	743
79	3	3.49	-50	-56.2	-20	-52.1	-55.2	-20	320	-53.1	-56.2	-20	308
78	3	3.51	-59.4	-56.2	-20	-60.4	-53.2	-20	195	-59.4	-53.1	-20	167
77	3	3.96	34.4	-21.9	-35	35.3	-20.9	-35	299	34.4	-21.9	-35	256
76	3	3.49	-68.8	-21.9	-20	-67.7	-19.9	-20	258	-65.6	-18.8	-20	225
75	3	3.72	-31.2	34.4	-40	-34.3	35.4	-40	580	-34.4	34.4	-40	540
74	3	4.1	0	-62.5	15	-0.916	-61.5	15	357	0	-62.5	15	330
73	2	3.82	-12.5	-3.12	50	-12.5	-4.59	50	266	-12.5	-6.25	50	250
72	2	3.82	28.1	-18.8	50	26.7	-18.8	50	347	28.1	-18.8	50	343
71	2	3.5	-12.5	-78.1	-50	-14	-78.1	-50	411	-15.6	-78.1	-50	389
70	2	3.53	43.8	15.6	-50	43.8	14.1	-50	365	43.8	15.6	-50	351
69	2	3.52	-40.6	25	5	-39.1	25	5	178	-40.6	25	5	170
68	2	3.39	-34.4	-53.1	-55	-32.9	-53.1	-55	414	-34.4	-53.1	-55	388
67	2	3.23	-25	-84.4	0	-25	-82.8	4.77e-06	660	-25	-81.2	0	453
66	2	3.71	-53.1	-15.6	30	-51.6	-15.6	30	228	-53.1	-15.6	30	207
65	2	3.18	46.9	25	-50	45.3	25	-50	292	43.8	25	-50	271
64	2	3.42	50	59.4	-10	50	57.9	-10	295	50	59.4	-10	279
63	2	3.32	0	37.5	10	1.52	39	12.4	369	3.12	40.6	15	348
62	2	3.13	3.12	-53.1	50	3.13	-51.6	50	961	3.12	-53.1	50	872
61	2	3.48	-12.5	-62.5	-30	-12.5	-64.1	-30	345	-12.5	-62.5	-30	329
60	2	3.2	6.25	-6.25	-25	6.25	-7.8	-27.5	226	6.25	-6.25	-25	208
59	2	3.37	-25	-21.9	-30	-25	-23.4	-30	454	-25	-25	-30	411
58	1	3.16	9.38	0	20	9.38	0	20	183	9.38	0	20	183
57	1	3.68	15.6	40.6	50	15.6	40.6	50	275	15.6	40.6	50	275
56	1	3.52	28.1	62.5	20	28.1	62.5	20	339	28.1	62.5	20	339
55	1	3.19	-18.8	-37.5	20	-18.8	-37.5	20	200	-18.8	-37.5	20	200
54	1	3.59	12.5	62.5	25	12.5	62.5	25	299	12.5	62.5	25	299
53	1	3.16	21.9	75	25	21.9	75	25	172	21.9	75	25	172
52	1	3.16	-9.38	-56.2	30	-9.38	-56.2	30	315	-9.38	-56.2	30	315
51	1	3.19	50	-37.5	30	50	-37.5	30	245	50	-37.5	30	245
50	1	3.71	62.5	-25	30	62.5	-25	30	184	62.5	-25	30	184
49	1	3.1	-28.1	-21.9	50	-28.1	-21.9	50	272	-28.1	-21.9	50	272
48	1	3.18	12.5	6.25	30	12.5	6.25	30	148	12.5	6.25	30	148
47	1	3.17	-43.8	-37.5	50	-43.8	-37.5	50	494	-43.8	-37.5	50	494
46	1	3.2	9.38	-40.6	50	9.38	-40.6	50	243	9.38	-40.6	50	243
45	1	3.22	37.5	-43.8	50	37.5	-43.8	50	312	37.5	-43.8	50	312
44	1	3.3	-40.6	-28.1	40	-40.6	-28.1	40	314	-40.6	-28.1	40	314
43	1	3.14	-43.8	-21.9	40	-43.8	-21.9	40	278	-43.8	-21.9	40	278
42	1	3.19	34.4	37.5	45	34.4	37.5	45	212	34.4	37.5	45	212
41	1	3.17	18.8	-12.5	45	18.8	-12.5	45	167	18.8	-12.5	45	167
40	1	3.25	37.5	12.5	-15	37.5	12.5	-15	523	37.5	12.5	-15	523
39	1	3.13	53.1	12.5	-15	53.1	12.5	-15	211	53.1	12.5	-15	211
38	1	3.29	6.25	78.1	-20	6.25	78.1	-20	197	6.25	78.1	-20	197
37	1	3.22	46.9	37.5	-20	46.9	37.5	-20	586	46.9	37.5	-20	586
36	1	3.46	0	25	-20	0	25	-20	463	0	25	-20	463
35	1	3.24	25	25	-20	25	25	-20	252	25	25	-20	252
34	1	3.57	-6.25	56.2	-30	-6.25	56.2	-30	369	-6.25	56.2	-30	369
33	1	3.26	34.4	31.2	-30	34.4	31.2	-30	331	34.4	31.2	-30	331
32	1	3.13	21.9	-31.2	-30	21.9	-31.2	-30	204	21.9	-31.2	-30	204
31	1	3.35	-28.1	-46.9	-30	-28.1	-46.9	-30	315	-28.1	-46.9	-30	315
30	1	3.35	-31.2	28.1	-35	-31.2	28.1	-35	431	-31.2	28.1	-35	431
29	1	3.2	-43.8	43.8	-40	-43.7	43.7	-40	240	-43.8	43.8	-40	240
28	1	3.22	50	21.9	-40	50	21.9	-40	364	50	21.9	-40	364
27	1	3.13	34.4	6.25	-40	34.4	6.25	-40	455	34.4	6.25	-40	455
26	1	3.27	56.2	-18.8	-40	56.2	-18.8	-40	214	56.2	-18.8	-40	214
25	1	3.19	21.9	-46.9	-45	21.9	-46.9	-45	313	21.9	-46.9	-45	313
24	1	3.52	53.1	21.9	-50	53.1	21.9	-50	194	53.1	21.9	-50	194
23	1	3.14	37.5	9.38	-50	37.5	9.38	-50	198	37.5	9.38	-50	198
22	1	3.17	25	6.25	-50	25	6.25	-50	254	25	6.25	-50	254
21	1	3.36	3.12	-56.2	-70	3.12	-56.2	-70	276	3.12	-56.2	-70	276
20	1	3.1	-28.1	56.2	15	-28.1	56.2	15	332	-28.1	56.2	15	332
19	1	3.15	-59.4	-6.25	10	-59.4	-6.25	10	256	-59.4	-6.25	10	256
18	1	3.25	12.5	-71.9	10	12.5	-71.9	10	400	12.5	-71.9	10	400
17	1	3.18	-12.5	-81.2	10	-12.5	-81.2	10	346	-12.5	-81.2	10	346
16	1	3.24	18.8	56.2	5	18.8	56.2	5	268	18.8	56.2	5	268
15	1	3.14	-18.8	12.5	5	-18.8	12.5	5	242	-18.8	12.5	5	242
14	1	3.1	68.8	-15.6	5	68.8	-15.6	5	138	68.8	-15.6	5	138
13	1	3.18	-28.1	75	0	-28.1	75	4.77e-06	167	-28.1	75	0	167
12	1	3.53	-3.12	21.9	0	-3.12	21.9	4.77e-06	986	-3.12	21.9	0	986
11	1	3.78	65.6	-9.38	0	65.6	-9.38	4.77e-06	244	65.6	-9.38	0	244
10	1	3.14	-68.8	-28.1	0	-68.8	-28.1	0	407	-68.8	-28.1	0	407
9	1	3.18	53.1	-46.9	0	53.1	-46.9	0	298	53.1	-46.9	0	298
8	1	3.13	-28.1	-68.8	0	-28.1	-68.8	0	290	-28.1	-68.8	0	290
7	1	3.32	-21.9	-71.9	0	-21.9	-71.9	0	291	-21.9	-71.9	0	291
6	1	3.18	-46.9	62.5	-5	-46.9	62.5	-5	357	-46.9	62.5	-5	357
5	1	3.36	62.5	15.6	-5	62.5	15.6	-5	198	62.5	15.6	-5	198
4	1	3.39	65.6	21.9	-10	65.6	21.9	-10	185	65.6	21.9	-10	185
3	1	3.17	-3.12	15.6	-10	-3.12	15.6	-10	518	-3.12	15.6	-10	518
2	1	3.54	-25	-15.6	-10	-25	-15.6	-10	183	-25	-15.6	-10	183
1	1	3.1	59.4	28.1	-15	59.4	28.1	-15	210	59.4	28.1	-15	210
