Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
205	2853	7.13	55.7	-3.01	30.4	2.06	-53.2	2.72
204	471	7.12	43.2	36.2	-2.3	31.3	41	-18.8
203	354	5.68	-14.9	35.8	27.2	-16.8	38.7	-6.02
202	85	6.89	-57.7	17.6	16.5	-57.9	18.7	6.74
201	76	6.33	-41	20.2	28.1	-31.5	16.8	45.6
200	43	5.3	32.1	-9.78	58	29.5	-9.51	56.7
199	41	4.86	-59.3	46.1	-16.7	-55	48.5	-12.5
198	30	4.59	60.8	-22.1	-3.36	58	-20.1	-0.803
197	28	4.84	-29	11.4	-79.2	-27.6	10.1	-71.8
196	23	4.08	-22.3	56.5	-45.8	-18.9	64.4	-49.6
195	22	4.67	-47.3	-32.2	10.9	-50.7	-32.2	0.0882
194	22	4.19	-63.8	-38.4	7.28	-63.8	-45.3	7.55
193	22	4.52	-16.1	60.3	-22.6	-14.6	65.8	-24.4
192	21	4.33	62.2	12.5	-39.6	59.4	15.3	-37.4
191	17	4.88	35.1	50.4	21.4	32.1	48.2	19.4
190	17	4.26	-51.5	32.9	-22.3	-52.3	31.9	-26.2
189	16	4.3	25.5	7.76	-69.4	26.5	9.23	-71.6
188	14	4.33	40.6	32.8	-56.7	41.1	31.9	-56.7
187	13	3.91	-45.6	50.6	-56	-44.6	48.2	-54.7
186	13	4.53	47.6	-36.7	53.5	46.9	-41.8	47.6
185	13	4.04	-32.1	42.7	4.52	-31.4	42.9	2.98
184	12	4.04	-24.9	45.8	-52.9	-18.9	40.9	-50.8
183	12	5.16	3.05	16.5	62.5	8.32	21.9	59.1
182	11	5.41	66.7	-13	23.4	67.6	-17.5	27.9
181	10	3.61	77	-8.69	-15.9	75.9	-6.33	-15.9
180	10	3.82	-1.04	36.7	-3.96	3.86	38.6	-3.52
179	9	4.45	-5.2	7.8	-57.9	-5.46	2	-57.7
178	9	4.02	7.35	70	-51.7	7.39	70.1	-52.4
177	8	3.91	-68.8	-15.5	1.76	-69.5	-15.2	2.32
176	8	3.8	-47.4	28	-57	-48.9	26.8	-55.7
175	8	4.26	9.86	79.5	-31.6	7.17	72.9	-29.7
174	8	4.12	16.8	-79.2	36.7	17.5	-78.1	31.5
173	6	3.92	-54.2	11.6	50.7	-53	9.53	50.9
172	6	4.29	56.7	-9.8	-16	56.3	-10.8	-14.5
171	6	3.92	-51.3	-24.8	19.4	-52.1	-22.5	19.4
170	6	4.03	-40.2	-30.4	-33.4	-40.1	-30.9	-33.2
169	6	4	61.7	-39.4	30.4	61.9	-40.8	31.1
168	5	3.96	10.1	23.1	-2.94	13	19.1	-4.44
167	5	3.71	-23.1	20.4	-52.4	-20.6	21.2	-52.7
