Cluster Index	Z	P	-log10(P)	x	y	z	
96	3.8	7.33e-05	4.13	-12.5	71.9	-20
95	3.44	0.000291	3.54	-56.2	-34.4	40
94	3.74	9.35e-05	4.03	21.9	-12.5	-10
93	3.92	4.4e-05	4.36	-21.9	-37.5	0
92	3.75	9.02e-05	4.04	-56.2	-28.1	-35
91	3.4	0.000334	3.48	-6.25	3.12	-30
90	4.13	1.85e-05	4.73	65.6	-34.4	15
90	3.25	0.000567	3.25	59.4	-31.2	15
89	3.39	0.000355	3.45	-34.4	40.6	-30
88	3.43	0.000301	3.52	25	-75	-55
87	3.79	7.59e-05	4.12	-34.4	-15.6	30
86	3.86	5.58e-05	4.25	59.4	-31.2	5
85	3.56	0.000184	3.74	-3.12	78.1	-10
84	4.02	2.93e-05	4.53	12.5	-46.9	-75
83	3.53	0.000205	3.69	-18.8	-75	-20
82	3.28	0.000526	3.28	-46.9	-31.2	50
81	3.42	0.000309	3.51	-18.8	6.25	30
80	3.55	0.00019	3.72	3.12	9.38	-25
79	3.49	0.000241	3.62	-50	-56.2	-20
78	3.51	0.000227	3.64	-59.4	-56.2	-20
77	3.96	3.72e-05	4.43	34.4	-21.9	-35
76	3.49	0.000241	3.62	-68.8	-21.9	-20
75	3.72	0.000101	4	-31.2	34.4	-40
74	4.1	2.07e-05	4.68	0	-62.5	15
73	3.82	6.6e-05	4.18	-12.5	-3.12	50
72	3.82	6.59e-05	4.18	28.1	-18.8	50
71	3.5	0.000237	3.63	-12.5	-78.1	-50
70	3.53	0.000207	3.68	43.8	15.6	-50
69	3.52	0.000213	3.67	-40.6	25	5
68	3.39	0.000352	3.45	-34.4	-53.1	-55
67	3.23	0.000621	3.21	-25	-84.4	0
66	3.71	0.000103	3.99	-53.1	-15.6	30
65	3.18	0.000747	3.13	46.9	25	-50
64	3.42	0.000318	3.5	50	59.4	-10
63	3.32	0.000447	3.35	0	37.5	10
62	3.13	0.000867	3.06	3.12	-53.1	50
61	3.48	0.000247	3.61	-12.5	-62.5	-30
60	3.2	0.000699	3.16	6.25	-6.25	-25
59	3.37	0.000381	3.42	-25	-21.9	-30
58	3.16	0.00078	3.11	9.38	0	20
57	3.68	0.000116	3.93	15.6	40.6	50
56	3.52	0.000215	3.67	28.1	62.5	20
55	3.19	0.00071	3.15	-18.8	-37.5	20
54	3.59	0.000166	3.78	12.5	62.5	25
53	3.16	0.000777	3.11	21.9	75	25
52	3.16	0.000779	3.11	-9.38	-56.2	30
51	3.19	0.000706	3.15	50	-37.5	30
50	3.71	0.000104	3.98	62.5	-25	30
49	3.1	0.000962	3.02	-28.1	-21.9	50
48	3.18	0.000745	3.13	12.5	6.25	30
47	3.17	0.000768	3.11	-43.8	-37.5	50
46	3.2	0.000699	3.16	9.38	-40.6	50
45	3.22	0.000639	3.19	37.5	-43.8	50
44	3.3	0.000483	3.32	-40.6	-28.1	40
43	3.14	0.000847	3.07	-43.8	-21.9	40
42	3.19	0.000708	3.15	34.4	37.5	45
41	3.17	0.000771	3.11	18.8	-12.5	45
40	3.25	0.00058	3.24	37.5	12.5	-15
39	3.13	0.000886	3.05	53.1	12.5	-15
38	3.29	0.000495	3.31	6.25	78.1	-20
37	3.22	0.000643	3.19	46.9	37.5	-20
36	3.46	0.000266	3.57	0	25	-20
35	3.24	0.000597	3.22	25	25	-20
34	3.57	0.000181	3.74	-6.25	56.2	-30
33	3.26	0.000565	3.25	34.4	31.2	-30
32	3.13	0.000883	3.05	21.9	-31.2	-30
31	3.35	0.000406	3.39	-28.1	-46.9	-30
30	3.35	0.00041	3.39	-31.2	28.1	-35
29	3.2	0.000683	3.17	-43.8	43.8	-40
28	3.22	0.00064	3.19	50	21.9	-40
27	3.13	0.000862	3.06	34.4	6.25	-40
26	3.27	0.000529	3.28	56.2	-18.8	-40
25	3.19	0.000708	3.15	21.9	-46.9	-45
24	3.52	0.000217	3.66	53.1	21.9	-50
23	3.14	0.000855	3.07	37.5	9.38	-50
22	3.17	0.000775	3.11	25	6.25	-50
21	3.36	0.000385	3.41	3.12	-56.2	-70
20	3.1	0.000971	3.01	-28.1	56.2	15
19	3.15	0.000821	3.09	-59.4	-6.25	10
18	3.25	0.000568	3.25	12.5	-71.9	10
17	3.18	0.000725	3.14	-12.5	-81.2	10
16	3.24	0.000608	3.22	18.8	56.2	5
15	3.14	0.000835	3.08	-18.8	12.5	5
14	3.1	0.000975	3.01	68.8	-15.6	5
13	3.18	0.000727	3.14	-28.1	75	0
12	3.53	0.000208	3.68	-3.12	21.9	0
11	3.78	7.9e-05	4.1	65.6	-9.38	0
10	3.14	0.000838	3.08	-68.8	-28.1	0
9	3.18	0.000736	3.13	53.1	-46.9	0
8	3.13	0.000888	3.05	-28.1	-68.8	0
7	3.32	0.000455	3.34	-21.9	-71.9	0
6	3.18	0.000734	3.13	-46.9	62.5	-5
5	3.36	0.000392	3.41	62.5	15.6	-5
4	3.39	0.000354	3.45	65.6	21.9	-10
3	3.17	0.000754	3.12	-3.12	15.6	-10
2	3.54	0.000198	3.7	-25	-15.6	-10
1	3.1	0.000972	3.01	59.4	28.1	-15
