Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
211	2536	7.4	55.7	-3.01	30.4	5.4	-50.8	5.44
210	434	7.38	43.2	36.2	-2.3	36.6	38.3	-10.5
209	177	5.92	-14.9	35.8	27.2	-3.6	40.9	20.7
208	98	7.16	-57.7	17.6	16.5	-57	18.9	8.1
207	83	4.41	-34.4	31.5	-27.3	-28.9	48.8	-20
206	55	4.38	1.45	5.64	-31.7	-19.4	20.4	-37.7
205	33	4	-12.6	62.4	-42.2	-17.2	65.6	-47.7
204	32	4.88	-16.1	60.3	-22.6	-14.5	65.3	-23.9
203	32	4.82	-59.3	46.1	-16.7	-56.3	49.1	-13
202	31	6.42	-41	20.2	28.1	-41.6	22.3	28.7
201	31	4.66	27.8	66.9	-37.1	28.7	63.9	-37.3
200	30	4.24	-13.4	19.5	-8.06	-25.2	32.6	-3.9
199	28	4.74	-43.1	-35.2	-43.5	-40	-28.8	-38.1
198	24	5.08	-29	11.4	-79.2	-29.9	8.95	-73.6
197	24	4.59	32.6	-54.4	-6.54	25.9	-46.6	-11.3
196	21	4.14	-47.4	28	-57	-44.7	27.1	-59.6
195	21	4.43	-59.1	-52.2	-23	-48.6	-58.1	-12.7
194	20	4.19	25.1	13	-65.9	28.4	9.23	-73.4
193	18	4.6	40.6	32.8	-56.7	38.4	29.9	-58.2
192	15	4.21	-54.7	31	-33.9	-53.2	31.5	-26.8
191	15	4.4	-12.5	-91.8	4.83	-15.2	-83.3	-10.7
190	14	5.39	-16.7	6.47	67	-19.3	9.15	64.9
189	13	4.63	-64.8	-30.3	40.6	-66.2	-21.2	34.5
188	12	5.46	3.05	16.5	62.5	8.86	16.9	55.3
187	12	4.23	7.16	73	-53.2	9.61	69.8	-52.5
186	12	4.65	-30.7	15.9	49.3	-30.9	14.1	48.7
185	9	3.5	-44.3	76	-25.2	-36.7	78.2	-20.5
184	9	3.9	-74.9	-22.9	-13.4	-71.1	-25.5	-9.94
183	9	4.26	-7.79	-3.59	-58.5	-5.08	-1.11	-57.7
182	9	3.88	-69	-12.6	0.257	-70.6	-14.7	1.96
181	8	3.82	-75	-26	19.4	-72.2	-24.3	17
180	8	3.96	26.7	-22.2	8.11	21.9	-19.4	8.1
179	7	3.75	46.2	3.57	-72.9	45.6	5.63	-74
178	7	4.17	56.7	-9.8	-16	57.2	-10	-13.3
177	7	3.62	-26.3	-42.9	17	-25	-40.4	15.8
176	6	4.73	-66.2	-4.78	8.85	-66.1	-3.32	8.11
