Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
149	795	7.47	19	40	18	24.7	41.7	18.4	632	28	56	17	168
148	243	7.49	16	25	20	16.4	21.6	18.8	428	17	19	23	135
147	161	4.56	42	43	14	39.3	44.2	15.1	479	33	36	11	199
146	151	7.26	49	34	20	47.7	35	19.7	218	52	38	16	117
145	66	6.76	21	10	11	22.3	10.9	11.3	323	23	9	10	171
144	65	5.04	46	23	20	45.3	20.7	20	241	41	16	21	131
143	42	4.95	49	46	17	48.1	45.7	17.9	357	47	47	17	183
142	27	4.03	36	7	6	35.2	8.44	3.51	203	31	8	4	142
141	24	4.41	27	18	17	28.1	14.6	17.6	263	28	13	18	162
140	17	4.77	47	21	15	47.7	20.9	14.3	200	48	19	14	125
139	16	4.71	39	8	12	40.6	8.91	11.2	224	39	8	12	142
138	15	4.67	28	13	0	25.4	14	0	415	25	14	0	226
137	15	4.72	40	14	0	38.3	13.8	0	590	40	14	0	298
136	13	4.48	47	16	10	47.1	15.5	9.78	204	46	13	10	156
135	13	4.37	48	22	8	45.9	22.2	8	223	48	22	8	166
134	13	3.91	44	14	8	43.6	16.2	6.95	533	43	16	7	295
133	12	4.03	32	36	19	31	34.5	19.2	142	33	36	19	93.8
132	11	3.71	42	17	10	41.6	13.8	10	217	42	16	10	163
131	10	4.39	36	37	16	36.3	36.6	15.8	508	35	36	15	247
130	9	4.32	16	29	12	15.9	28.6	12.5	155	15	29	12	121
129	8	4.64	50	19	22	50.4	18.9	21.8	250	50	17	21	183
128	8	4.53	45	12	12	44.1	11.3	12	185	44	11	12	134
127	8	4.45	51	27	8	50.7	27.6	8.11	201	50	28	8	127
126	7	4.87	52	29	17	52	29.4	17.1	178	52	29	17	134
125	6	4.26	22	56	17	21.8	55.8	17	329	22	55	17	175
124	6	3.64	39	54	12	38.5	54.7	12.3	430	38	53	12	259
123	6	3.93	29	28	25	29.3	27.7	24.5	126	30	27	24	97.5
122	6	4.49	26	9	21	27.8	8.35	20.3	265	27	8	20	190
121	5	4.04	34	30	26	34.8	30.4	26	242	34	30	26	167
120	5	3.91	33	42	9	32.8	42.2	9	244	33	42	9	163
119	5	4.24	42	50	13	42.4	49.8	13	168	43	50	13	135
118	5	4.44	53	25	22	52.4	25.2	22	192	52	25	22	140
117	5	4.22	49	22	18	48.4	22.2	17.4	167	50	22	18	126
116	4	3.91	37	46	10	37.2	46.7	10	204	37	48	10	161
115	4	3.52	46	48	10	45.5	47.5	10	316	45	48	10	267
114	4	3.59	36	40	19	36	39.5	19	150	36	40	19	112
113	4	3.74	20	25	26	20.5	25.5	26	279	21	25	26	192
112	4	4.67	41	51	21	40.8	51.4	21	290	41	50	21	212
111	4	3.6	45	26	26	44.3	24.8	26	260	43	24	26	239
110	4	3.38	30	41	18	30	41.2	18.2	206	30	42	18	163
