Cluster Index	Z	P	-log10(P)	x	y	z	
179	3.75	8.78e-05	4.06	40.6	25	-55
178	4.17	1.54e-05	4.81	50	-9.38	-15
177	3.62	0.000147	3.83	-28.1	-46.9	0
177	3.23	0.000616	3.21	-28.1	-40.6	0
176	4.73	1.11e-06	5.96	-62.5	-9.38	10
175	4.36	6.6e-06	5.18	12.5	71.9	10
174	4.69	1.35e-06	5.87	-46.9	34.4	-40
173	4.3	8.59e-06	5.07	-59.4	-15.6	-35
172	3.86	5.62e-05	4.25	0	12.5	20
171	4.62	1.93e-06	5.71	-6.25	-43.8	50
170	4.18	1.47e-05	4.83	9.38	15.6	10
169	4.49	3.49e-06	5.46	-56.2	-40.6	35
168	4.98	3.22e-07	6.49	3.12	75	25
167	3.76	8.44e-05	4.07	-56.2	53.1	-5
167	3.65	0.00013	3.89	-50	53.1	-5
166	3.6	0.000158	3.8	-18.8	78.1	10
165	4.42	5e-06	5.3	-21.9	56.2	-20
164	4.28	9.18e-06	5.04	-65.6	-21.9	35
164	3.38	0.000361	3.44	-59.4	-21.9	30
163	3.7	0.000106	3.98	-28.1	-12.5	-45
162	3.88	5.31e-05	4.27	50	25	-40
161	3.57	0.000181	3.74	59.4	0	10
160	3.87	5.44e-05	4.26	-6.25	-6.25	55
159	4.06	2.45e-05	4.61	-53.1	-31.2	15
158	3.97	3.6e-05	4.44	-6.25	31.2	-10
158	3.66	0.000127	3.9	0	31.2	-10
157	4.03	2.73e-05	4.56	-9.38	15.6	-35
156	4.55	2.67e-06	5.57	15.6	78.1	25
156	4.15	1.65e-05	4.78	21.9	78.1	15
155	4.12	1.93e-05	4.71	18.8	-6.25	-60
154	3.93	4.32e-05	4.36	31.2	65.6	35
153	4.08	2.22e-05	4.65	-31.2	56.2	-10
152	4.17	1.52e-05	4.82	-53.1	-46.9	-60
151	3.45	0.000282	3.55	-53.1	-18.8	10
151	3.4	0.000335	3.48	-59.4	-21.9	5
150	3.56	0.000185	3.73	37.5	-21.9	55
149	3.67	0.000123	3.91	-15.6	-84.4	-20
148	4.48	3.76e-06	5.43	-3.12	46.9	-25
147	3.42	0.000312	3.51	-46.9	-56.2	35
146	3.93	4.31e-05	4.37	-21.9	-25	0
145	4.3	8.45e-06	5.07	9.38	-12.5	35
144	3.36	0.000386	3.41	-9.38	62.5	35
143	4.08	2.24e-05	4.65	-31.2	-28.1	60
142	3.86	5.66e-05	4.25	-12.5	-78.1	-45
141	3.4	0.000336	3.47	-12.5	25	20
140	3.88	5.28e-05	4.28	-12.5	-31.2	55
139	3.88	5.22e-05	4.28	3.12	-46.9	55
138	3.66	0.000125	3.9	-18.8	-28.1	-55
137	3.8	7.1e-05	4.15	28.1	62.5	20
136	3.62	0.000147	3.83	12.5	-46.9	-30
135	3.42	0.000318	3.5	-40.6	-18.8	55
134	3.93	4.3e-05	4.37	-31.2	18.8	-60
133	3.33	0.00043	3.37	-34.4	-59.4	-25
132	3.55	0.000191	3.72	-68.8	-6.25	-25
131	3.6	0.00016	3.8	-9.38	-28.1	65
130	3.82	6.66e-05	4.18	-46.9	-56.2	-60
130	3.72	0.000101	4	-43.8	-62.5	-55
129	3.52	0.000216	3.67	-59.4	-3.12	-5
128	3.24	0.000597	3.22	-46.9	18.8	35
127	3.27	0.000543	3.27	15.6	46.9	20
126	3.28	0.000517	3.29	-9.38	62.5	25
125	3.63	0.00014	3.86	6.25	0	20
124	3.76	8.65e-05	4.06	3.12	81.2	15
123	3.25	0.000584	3.23	-59.4	28.1	20
122	3.69	0.00011	3.96	50	3.12	30
121	3.17	0.000769	3.11	-18.8	6.25	30
120	4.11	2e-05	4.7	31.2	75	10
119	4.53	2.95e-06	5.53	-28.1	59.4	30
118	4.11	2e-05	4.7	-31.2	-78.1	5
117	4.17	1.55e-05	4.81	-34.4	-65.6	35
116	3.27	0.000537	3.27	-28.1	75	0
115	3.55	0.000195	3.71	-12.5	-46.9	-40
114	3.36	0.000389	3.41	31.2	-37.5	-30
113	3.74	9.15e-05	4.04	-3.12	31.2	-30
112	3.33	0.000435	3.36	-9.38	3.12	55
111	3.43	0.000304	3.52	-9.38	18.8	-25
110	3.43	0.000302	3.52	-12.5	-56.2	-30
109	4.09	2.12e-05	4.67	-31.2	-78.1	-30
108	3.39	0.000346	3.46	-62.5	-34.4	-25
107	3.36	0.00039	3.41	-37.5	-15.6	-25
106	3.93	4.17e-05	4.38	40.6	28.1	45
105	3.92	4.45e-05	4.35	-37.5	21.9	-40
104	3.54	0.000203	3.69	-18.8	18.8	60
103	3.37	0.00038	3.42	3.12	53.1	-25
102	3.46	0.000266	3.57	0	-31.2	-20
101	3.28	0.000517	3.29	-21.9	6.25	45
100	3.28	0.000514	3.29	-31.2	-25	-20
99	3.65	0.000131	3.88	-37.5	37.5	-20
98	3.64	0.000135	3.87	46.9	-28.1	45
97	4.06	2.45e-05	4.61	-18.8	-59.4	-55
96	3.26	0.000563	3.25	28.1	53.1	40
95	3.79	7.65e-05	4.12	71.9	-12.5	-15
94	3.17	0.000752	3.12	3.12	25	-15
93	3.9	4.73e-05	4.33	-68.8	-3.12	-35
92	3.3	0.000485	3.31	21.9	43.8	-40
91	3.86	5.74e-05	4.24	68.8	-28.1	-10
90	3.83	6.46e-05	4.19	31.2	18.8	-60
89	3.84	6.28e-05	4.2	43.8	-28.1	-65
88	3.29	0.000498	3.3	-12.5	0	-10
87	3.97	3.64e-05	4.44	9.38	-50	55
86	3.18	0.000731	3.14	6.25	46.9	50
85	3.15	0.000819	3.09	-65.6	-9.38	30
84	3.16	0.000799	3.1	37.5	-3.12	55
83	3.12	0.000916	3.04	0	34.4	55
82	3.43	0.000307	3.51	6.25	-31.2	60
81	3.18	0.000743	3.13	-18.8	-37.5	30
80	3.25	0.000585	3.23	-6.25	-18.8	60
79	3.31	0.000461	3.34	-56.2	-50	30
78	3.51	0.000221	3.65	21.9	-65.6	30
77	3.63	0.000139	3.86	3.12	-21.9	65
76	3.24	0.000589	3.23	15.6	62.5	35
75	3.84	6.1e-05	4.21	-46.9	37.5	35
74	3.18	0.000725	3.14	59.4	18.8	35
73	3.25	0.000574	3.24	-12.5	-15.6	40
72	3.11	0.000934	3.03	-31.2	-15.6	35
71	3.45	0.000283	3.55	18.8	53.1	40
70	4.37	6.35e-06	5.2	-25	-68.8	35
69	3.67	0.000122	3.92	-37.5	15.6	45
68	3.16	0.000791	3.1	-25	65.6	30
67	3.67	0.000122	3.91	34.4	-31.2	50
66	3.12	0.000897	3.05	25	-25	50
65	3.11	0.000946	3.02	-50	-21.9	50
64	3.26	0.000562	3.25	9.38	-25	65
63	3.3	0.000488	3.31	-56.2	28.1	30
