Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
203	263	4.56	21	11	5	32.8	12.5	3.08
202	181	4.99	42	43	14	39.7	43.4	15.1
201	142	4.86	23	44	13	25.4	43.9	12.6
200	135	6.01	22	10	13	21.8	16.4	10.5
199	132	5.84	47	16	9	44.8	16.9	8.07
198	76	4.8	43	13	15	41.7	14.7	17.9
197	47	4.92	22	15	21	22.8	15.4	20
196	36	5.49	22	15	15	21.4	14.4	15.7
195	30	4.38	30	43	21	31.3	43.9	20.8
194	30	4.93	44	33	22	43	32.8	22.2
193	29	4.63	20	39	18	20.2	39.2	18.6
192	24	4.11	34	17	3	32.9	17.2	2.95
191	22	4.88	47	35	19	47.7	35	19.2
190	22	4.35	29	37	22	30	37.2	22.7
189	21	3.69	38	17	11	39.8	18.8	11.7
188	21	4.35	27	57	15	25.6	55.2	15
187	20	3.91	49	46	17	46.4	46.8	18.2
186	19	3.88	19	47	17	21.1	46.6	17.6
185	19	4.57	39	42	5	39.2	42	4.85
184	18	4.27	41	15	12	39.3	12.7	12.5
183	16	4.11	23	19	11	24.6	20	11.6
182	15	3.92	15	17	7	15.5	19.2	5.55
181	15	5.29	49	24	20	48.5	23.4	19.9
180	15	4.47	31	16	13	31.1	15.6	12.7
179	14	4.29	45	52	11	44.6	51.3	11
178	13	4.04	18	25	12	17.9	26.1	12.1
177	12	4.56	50	12	15	50	13.2	15
176	11	4.06	32	41	18	30.2	41.5	18.3
175	11	3.92	29	20	0	29.1	21.8	0.0828
174	11	4.44	22	52	16	21.8	51.6	15.8
173	10	4.8	24	47	15	24.5	47.2	15.2
172	10	4.34	25	23	2	25.6	22.8	1.8
171	9	4.6	17	25	20	17.3	24.9	20.3
170	9	4.14	37	49	11	36	47.1	11
169	9	3.71	37	57	13	36.6	55.6	12
168	8	3.7	23	35	21	23.1	34.5	22.1
167	8	4.2	36	4	13	36.7	4.7	13
166	8	4.36	20	9	15	19.6	9.49	15
165	8	3.83	39	24	1	40.5	24.5	1
164	8	3.67	27	45	9	26	44.9	9
163	8	3.88	33	57	11	31.1	54.5	11
162	7	3.71	49	23	17	47.7	23	17
161	7	3.87	35	37	23	35.7	37.1	22.4
160	7	4.04	25	41	5	25.3	41.6	5
159	7	4.24	48	28	25	47.7	27.6	25
158	6	4.66	15	44	13	15	44.5	13
157	6	4.62	46	10	13	45.8	10.3	13
156	6	4.27	51	28	23	51.2	27.9	23
155	6	3.63	28	6	9	26.5	6.49	9
154	6	4.09	47	43	15	46.9	43.2	15
153	5	3.54	13	20	11	13.4	18.8	11
152	5	4	37	32	13	36.8	32.3	13
151	5	4.07	48	23	13	48.4	24.2	13
150	5	4.18	28	17	17	27.8	17.4	17
149	5	3.59	30	51	13	29.6	50.8	13
148	5	4.15	23	7	13	23.7	6.58	13
147	5	4.03	37	23	28	36.6	22.8	28
146	5	4.48	34	40	7	34.1	39.6	7
145	5	3.74	23	44	7	21.3	45	7
144	5	3.67	36	10	22	35.8	10.8	22.6
143	5	3.32	24	27	20	24.6	27.8	20.2
142	4	3.25	50	21	23	50	20.7	22.7
141	4	3.18	46	12	8	47	12	8.25
140	4	3.62	53	24	21	53	25.4	21
139	4	3.66	49	15	21	49.5	16	21
138	4	3.35	44	11	21	43	12.2	21
137	4	3.98	30	40	9	30.2	40	9
136	4	3.54	42	43	7	43.2	43.7	6.77
135	4	3.74	34	42	9	33.5	42.5	9
134	4	3.36	50	40	11	49.5	40.5	11
133	4	3.46	16	44	19	16.5	44.5	19
132	4	3.77	48	25	5	47.3	24.7	5
131	4	3.93	38	52	13	38.5	52	13
130	4	3.96	47	21	15	48	20.5	15
129	4	3.59	30	56	13	29.5	56	13
128	3	3.65	16	22	15	16.6	22.3	15
127	3	3.56	25	28	13	25	29	13
126	3	3.3	48	14	11	48.7	14.3	11
125	3	3.27	46	46	16	46	46.3	15.7
124	3	4.07	30	36	7	30.9	36.3	7.32
123	3	3.57	50	23	8	50.3	22.3	8
122	3	3.78	46	15	23	46.6	15.3	23
121	3	4.12	50	27	8	50.3	26.7	8
120	3	3.39	32	42	13	32.7	41.7	13
119	3	3.35	18	33	8	18.7	32.7	7.68
118	3	3.61	43	27	21	42.7	27.3	21
117	3	3.75	39	20	15	38.7	19.7	15
116	3	3.38	33	57	13	32.7	56.7	13
115	3	3.48	19	22	15	19.3	22.7	15
114	3	3.46	49	44	11	49.3	43.7	11
113	3	3.69	52	27	15	52.6	26.7	15
112	3	3.34	51	42	17	50	42	17
