Cluster Index	Z	P	-log10(P)	x	y	z	
164	3.55	0.000191	3.72	27.3	29.1	-55.3
163	3.88	5.3e-05	4.28	-5.94	67.6	-63.4
163	3.83	6.35e-05	4.2	1.4	59.1	-58.8
162	3.71	0.000105	3.98	-54.9	-22	17.9
161	3.87	5.54e-05	4.26	-11.5	36	27.2
160	4.04	2.63e-05	4.58	25.5	7.76	-69.4
159	4.24	1.13e-05	4.95	-54.2	11.6	50.7
158	4.66	1.59e-06	5.8	57	37.1	-33.5
157	4.62	1.91e-06	5.72	-41.4	-69.2	17.4
156	4.27	9.97e-06	5	-64	6.42	40.6
155	3.63	0.000142	3.85	21.2	-87	3.44
155	3.62	0.00015	3.82	27.7	-83.7	1.95
154	4.09	2.16e-05	4.67	-51.5	32.9	-22.3
153	3.54	0.000197	3.71	68.8	-38.2	-7.4
153	3.53	0.00021	3.68	69.2	-44.1	-4.39
152	4	3.13e-05	4.5	-15.1	-2.45	-15.7
151	4.07	2.39e-05	4.62	-50.7	-31.1	-2.24
150	4.18	1.43e-05	4.84	17.3	-35.9	27.2
149	3.59	0.000167	3.78	4.92	55.1	-44.2
148	4.15	1.68e-05	4.78	37	-73.9	22.2
147	4.03	2.77e-05	4.56	-16.7	5.84	73.5
146	4.48	3.73e-06	5.43	-5.2	7.8	-57.9
145	3.74	9.2e-05	4.04	31.3	21.7	-63.8
144	3.67	0.000123	3.91	-9.54	-46.4	62.9
143	3.32	0.000449	3.35	28.3	1.44	27.3
142	3.25	0.000581	3.24	-59.2	-14.1	51.2
141	3.18	0.000729	3.14	-40.7	-74.9	-10.9
140	3.62	0.000148	3.83	-69.5	-10.4	36.5
139	3.66	0.000128	3.89	-54.3	-36.3	50.1
138	3.35	0.000405	3.39	-36.6	-47.3	56.2
138	3.33	0.000431	3.37	-33.6	-41.2	53.2
137	3.98	3.37e-05	4.47	7.9	13.2	-47.8
136	3.54	0.000202	3.69	-32.9	15.2	-62.6
135	3.74	9.06e-05	4.04	-6.02	18.4	-50.9
134	3.36	0.000391	3.41	-60.2	14.2	-38
133	3.46	0.000267	3.57	52.3	50.9	-3.25
132	3.77	8.06e-05	4.09	-49.3	-43.8	-45.6
131	3.93	4.32e-05	4.36	-22.3	56.5	-45.8
130	3.96	3.77e-05	4.42	-47.3	-32.2	10.9
129	3.59	0.000167	3.78	3.97	69.9	-51.8
128	3.65	0.000129	3.89	57.4	-23.5	9.73
127	3.56	0.000187	3.73	26.2	-12.1	-9.51
126	3.3	0.000482	3.32	-48.5	-62.4	1.24
125	3.27	0.000544	3.26	-48.9	44.3	-21.7
124	4.07	2.34e-05	4.63	9.1	-3.3	-51.9
124	3.49	0.000244	3.61	1.92	1.62	-48.4
123	3.57	0.00018	3.74	-56.3	-43.1	-27.5
122	3.78	7.91e-05	4.1	-44.6	-31.1	60.3
121	4.12	1.88e-05	4.73	-57.1	-31.3	-33.5
120	3.39	0.000351	3.45	-0.13	28.1	-30.7
119	3.35	0.000402	3.4	50.1	-7.64	-42.2
118	3.61	0.000152	3.82	-36.3	0.274	32.1
117	3.75	8.81e-05	4.06	-20.1	-33.7	12.5
116	3.38	0.000367	3.44	-6.38	72.3	-53.3
115	3.48	0.000252	3.6	47.2	-24.1	9.69
114	3.46	0.000274	3.56	-57.6	26.2	-44
113	3.69	0.00011	3.96	-65.4	-15.4	1.77
112	3.34	0.000418	3.38	-65.3	33.9	-10.7
111	3.39	0.000345	3.46	2.06	30.6	61.6
110	4.12	1.9e-05	4.72	64.3	27.3	-15.9
109	3.55	0.00019	3.72	-21.4	26.4	63
108	3.65	0.000132	3.88	-14.2	22.7	46.4
107	3.69	0.000112	3.95	67.3	-20.6	14.8
106	3.21	0.000667	3.18	49.1	-54.9	37.9
105	3.21	0.000658	3.18	-12.2	-52.3	34.6
104	3.68	0.000116	3.93	-36.4	-2.25	58.3
103	3.4	0.000341	3.47	45.8	42.1	25.9
102	3.4	0.000342	3.47	9.86	79.5	-31.6
101	3.94	4.13e-05	4.38	4.5	-49.1	39.7
100	3.94	4.05e-05	4.39	-14.3	26.9	31.8
99	3.96	3.7e-05	4.43	73.9	-18.6	26.4
98	3.84	6.16e-05	4.21	-14	75.1	1.11
97	3.59	0.000164	3.78	-7.09	78	-25.1
96	3.33	0.000442	3.35	35.1	50.4	21.4
95	3.29	0.000509	3.29	-0.301	24.3	8.62
94	3.53	0.000206	3.69	-56.6	-0.829	32.1
93	3.18	0.000729	3.14	-25	36.5	14.1
92	3.24	0.000603	3.22	35.4	-92	-24.7
91	3.79	7.45e-05	4.13	-61.8	37.8	-50
90	3.31	0.000474	3.32	-5.24	-94.9	-18.3
89	3.59	0.000165	3.78	16.7	-13.5	-58.9
88	3.34	0.000414	3.38	50	-2.79	-63.3
87	3.77	8.01e-05	4.1	20.9	24.1	-65.4
