Cluster Index	Z	P	-log10(P)	x	y	z	
70	3.53	0.000207	3.68	18	37	5
69	3.52	0.000213	3.67	45	40	16
68	3.39	0.000352	3.45	43	15	4
67	3.23	0.000621	3.21	40	5	15
66	3.71	0.000103	3.99	49	27	21
65	3.18	0.000747	3.13	17	40	5
64	3.42	0.000318	3.5	16	51	13
63	3.32	0.000447	3.35	32	44	17
62	3.13	0.000867	3.06	31	15	25
61	3.48	0.000247	3.61	36	12	9
60	3.2	0.000699	3.16	30	30	10
59	3.37	0.000381	3.42	40	25	9
58	3.16	0.00078	3.11	29	32	19
57	3.68	0.000116	3.93	27	45	25
56	3.52	0.000215	3.67	23	52	19
55	3.19	0.00071	3.15	38	20	19
54	3.59	0.000166	3.78	28	52	20
53	3.16	0.000777	3.11	25	56	20
52	3.16	0.000779	3.11	35	14	21
51	3.19	0.000706	3.15	16	20	21
50	3.71	0.000104	3.98	12	24	21
49	3.1	0.000962	3.02	41	25	25
48	3.18	0.000745	3.13	28	34	21
47	3.17	0.000768	3.11	46	20	25
46	3.2	0.000699	3.16	29	19	25
45	3.22	0.000639	3.19	20	18	25
44	3.3	0.000483	3.32	45	23	23
43	3.14	0.000847	3.07	46	25	23
42	3.19	0.000708	3.15	21	44	24
41	3.17	0.000771	3.11	26	28	24
40	3.25	0.00058	3.24	20	36	12
39	3.13	0.000886	3.05	15	36	12
38	3.29	0.000495	3.31	30	57	11
37	3.22	0.000643	3.19	17	44	11
36	3.46	0.000266	3.57	32	40	11
35	3.24	0.000597	3.22	24	40	11
34	3.57	0.000181	3.74	34	50	9
33	3.26	0.000565	3.25	21	42	9
32	3.13	0.000883	3.05	25	22	9
31	3.35	0.000406	3.39	41	17	9
30	3.35	0.00041	3.39	42	41	8
29	3.2	0.000683	3.17	46	46	7
28	3.22	0.00064	3.19	16	39	7
27	3.13	0.000862	3.06	21	34	7
26	3.27	0.000529	3.28	14	26	7
25	3.19	0.000708	3.15	25	17	6
24	3.52	0.000217	3.66	15	39	5
23	3.14	0.000855	3.07	20	35	5
22	3.17	0.000775	3.11	24	34	5
21	3.36	0.000385	3.41	31	14	1
20	3.1	0.000971	3.01	41	50	18
19	3.15	0.000821	3.09	51	30	17
18	3.25	0.000568	3.25	28	9	17
17	3.18	0.000725	3.14	36	6	17
16	3.24	0.000608	3.22	26	50	16
15	3.14	0.000835	3.08	38	36	16
14	3.1	0.000975	3.01	10	27	16
13	3.18	0.000727	3.14	41	56	15
12	3.53	0.000208	3.68	33	39	15
11	3.78	7.9e-05	4.1	11	29	15
10	3.14	0.000838	3.08	54	23	15
9	3.18	0.000736	3.13	15	17	15
8	3.13	0.000888	3.05	41	10	15
7	3.32	0.000455	3.34	39	9	15
6	3.18	0.000734	3.13	47	52	14
5	3.36	0.000392	3.41	12	37	14
4	3.39	0.000354	3.45	11	39	13
3	3.17	0.000754	3.12	33	37	13
2	3.54	0.000198	3.7	40	27	13
1	3.1	0.000972	3.01	13	41	12
