Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
145	385	5.13	-34.4	31.5	-27.3	-22	38.4	-14.1	889	-40.1	18.2	-39.4	416
144	314	6.12	39.8	-64.8	17.7	35.7	-46.4	11.2	949	39.4	-52.8	-19.6	343
143	182	5	30	35.6	-33.6	18.8	33.5	-35.2	1.35e+03	22.7	45.4	-51.2	436
142	140	5.96	-45.1	-61	-11.9	-39.9	-56.1	-18.4	1.63e+03	-34.7	-62.1	-23.4	484
141	96	4.93	-32.3	-55.1	23	-28.6	-43.6	35.4	668	-19.6	-45.1	43.2	349
140	58	4.77	40	33	-0.805	38.8	35.7	6.1	804	48.9	50.7	-3.26	373
139	47	4.42	-25.2	-55.8	4.85	-20.4	-52.5	3.89	482	-29.4	-44.2	-1.18	327
138	43	4.94	25.6	49	-28	29.7	52.3	-17.7	590	41.8	56.9	-12.8	335
137	34	5.07	-41	20.2	28.1	-37.5	20.4	29.5	411	-41	20.2	28.1	279
136	31	5.01	-50.9	18.6	9.95	-53.7	18.6	11.5	590	-47.5	18.7	9.96	319
135	23	4.5	13.5	78	-43.1	17.8	72.6	-40.3	669	17.5	69.3	-38.6	503
134	20	5.42	-55.8	-12	31.5	-52.6	-14.4	32.3	455	-55.6	-15	33.1	302
133	19	4.1	-14.3	26.9	31.8	-14.9	33.5	24.2	383	-11.5	36	27.2	244
132	19	4.2	50.7	-22	-9.95	50	-17.5	-10.1	347	56.7	-9.8	-16	242
131	18	4.59	-7.17	36.1	-59.9	-1.44	23.4	-53.3	900	-3.02	24.5	-53.9	507
130	17	4.32	15.1	-92.5	-31.4	3.06	-94.1	-31.6	424	4.97	-93.1	-31.4	301
129	16	4.44	-45.6	50.6	-56	-42.9	48.5	-54.9	1.1e+03	-48.8	47.5	-54.5	765
128	15	4.59	31.2	66.5	-30.5	32.5	64.9	-30.4	895	34.8	64.3	-35.5	545
127	15	4.04	-5.94	67.6	-63.4	1.16	61.4	-60	749	4.79	59.3	-58.8	536
126	14	3.84	17.1	28.5	-55.3	22.1	25.9	-53.8	895	27.3	29.1	-55.3	575
125	13	4.23	-50.7	-31.1	-2.24	-51	-31	3.47	375	-50.7	-32.4	10.9	305
124	10	4.75	52.3	-3.19	30.4	51.1	-3.05	32	336	52.3	-3.19	30.4	244
123	9	4.42	-64	6.42	40.6	-63.7	5.27	41.2	535	-63.8	3.46	42.1	357
122	9	4.19	-15.6	-86.4	-54.1	-12.5	-86.9	-53.8	1.08e+03	-15.6	-86.4	-54.1	685
121	9	4.76	-41.4	-69.2	17.4	-40.5	-67.8	15.5	727	-41.2	-72.2	18.9	399
120	9	3.76	4.92	55.1	-44.2	4.98	55.3	-43.7	521	1.35	57.8	-45.7	457
119	9	4.39	-54.2	11.6	50.7	-52.7	9.93	51.7	586	-50.9	11.8	50.8	430
118	8	3.64	-57.6	26.2	-44	-58.5	19.9	-40.8	726	-57.4	23.2	-42.5	561
117	8	3.88	-54.9	-22	17.9	-51.1	-22.2	18.1	368	-51.5	-21.8	17.9	285
116	8	3.54	-36.6	-47.3	56.2	-34.6	-43.8	54.5	1.21e+03	-33.4	-44.1	54.7	688
115	8	3.83	57.4	-23.5	9.73	49.8	-22.8	9.14	304	54	-23.7	9.71	252
114	7	3.65	28.6	-86.9	-52.5	28.4	-84.8	-53.6	681	31.8	-83.8	-54	479
113	6	3.79	-69.5	-10.4	36.5	-70.2	-7.89	34.2	572	-69.7	-7.48	35	389
112	6	3.51	28.3	1.44	27.3	25.8	5.46	27.2	178	24.1	12.5	27.8	164
111	6	3.94	-49.3	-43.8	-45.6	-47.1	-44.2	-45.3	687	-49.3	-43.8	-45.6	468
110	6	4.8	57	37.1	-33.5	56.9	38.5	-34.2	766	53.6	36.9	-33.5	426
109	5	3.58	45.8	42.1	25.9	44.5	41	25.2	297	45.9	42.7	19.4	272
108	5	3.95	-44.6	-31.1	60.3	-44.7	-31.1	60.2	491	-44.6	-31.1	60.3	400
107	5	3.58	9.86	79.5	-31.6	8.06	77.1	-30.4	1.18e+03	9.86	79.5	-31.6	723
106	5	3.58	25.5	41.6	19.3	30.8	44.2	19.5	364	35.1	50.4	21.4	258
105	5	3.84	-9.54	-46.4	62.9	-9.13	-42.7	64.7	761	-6.75	-38	64.9	391
104	5	3.54	50.1	-7.64	-42.2	48.2	-9.28	-43.9	376	46.7	-7.83	-42.2	275
103	5	3.53	-65.3	33.9	-10.7	-62	34.5	-9.76	449	-61.9	34.1	-10.7	350
102	5	4.28	-57.1	-31.3	-33.5	-57.7	-32.4	-32.9	355	-57.1	-31.3	-33.5	264
101	5	3.89	-19.9	71.5	-53.3	-22.4	69.6	-52.5	616	-19.7	68.6	-51.8	446
100	5	3.48	-0.301	24.3	8.62	0.966	24.3	9.88	284	-3.88	27	7.1	237
99	5	3.41	-12.2	-52.3	34.6	-11.5	-52.8	34.9	480	-8.82	-52.1	34.6	438
98	5	3.83	-54.3	-36.3	50.1	-55.8	-33	48.4	926	-54.5	-33.4	48.6	620
97	5	3.91	31.3	21.7	-63.8	36.9	24.8	-65.3	600	31.3	21.7	-63.8	455
96	4	3.8	-15.7	61.1	-60.4	-14	59.8	-59.7	624	-12.3	61.3	-60.4	535
95	4	3.44	-59.2	-14.1	51.2	-59.1	-15.5	50.3	637	-59.4	-11.2	49.7	483
94	4	3.74	26.2	-12.1	-9.51	26	-7.83	-11.7	204	26.2	-12.1	-9.51	175
93	4	3.92	-20.1	-33.7	12.5	-18.4	-35	13.2	244	-20.1	-33.7	12.5	203
92	4	3.75	-56.3	-43.1	-27.5	-57.8	-44.7	-26.7	442	-56.3	-43.1	-27.5	337
91	4	3.4	-4.3	-8.26	-37.3	-1.89	-6.84	-36.4	1.37e+03	-0.92	-8.07	-37.3	1.01e+03
90	4	4.13	73.9	-18.6	26.4	69.9	-18.9	26.5	305	67.1	-18.9	26.4	239
89	4	3.39	-37.1	25.6	-55.5	-35.3	24.2	-54.7	742	-37.1	25.6	-55.5	576
88	3	3.43	35.4	-92	-24.7	33.1	-91.4	-23.1	294	31.8	-89.9	-19.7	269
87	3	3.79	-36.3	0.274	32.1	-35.2	1.28	31.7	247	-36.3	0.274	32.1	207
86	3	3.86	67.3	-20.6	14.8	68.4	-21.6	15.3	400	70.7	-20.5	14.8	317
85	3	3.56	-6.38	72.3	-53.3	-5.19	71.3	-52.8	747	-6.38	72.3	-53.3	640
84	3	4.02	21	-75.5	-58.5	19.9	-76.4	-58.1	377	21	-75.5	-58.5	307
83	3	3.53	-13.5	-78.3	10.4	-9.98	-81.6	8.11	448	-6.33	-83.2	6.88	373
82	3	3.28	-49.7	-5.94	59.8	-48.7	-4.88	59.3	821	-46.3	-5.76	59.8	594
81	3	3.42	-20.7	21.9	21.6	-18.4	21.1	22.1	167	-17.3	22.1	21.7	158
80	3	3.55	5.25	0.541	-35.3	2.93	2.12	-34.1	758	1.86	0.357	-35.3	743
79	3	3.49	-48.5	-62.4	1.24	-50.8	-61.5	0.727	320	-51.9	-62.6	1.22	308
78	3	3.51	-58.7	-62.9	1.2	-59.9	-60.2	-0.253	195	-58.8	-60	-0.305	167
77	3	3.96	41.4	-31.9	-30.2	42.4	-30.8	-30.6	299	41.4	-31.9	-30.2	256
76	3	3.49	-70.9	-31	-15.4	-69.9	-29	-16.4	258	-67.7	-27.8	-16.9	225
75	3	3.72	-32.9	15.2	-62.6	-36.2	16	-63.1	580	-36.2	15	-62.6	540
74	3	4.1	4.5	-49.1	39.7	3.44	-48.2	39.2	357	4.5	-49.1	39.7	330
73	2	3.82	-14.2	22.7	46.4	-14.1	21.3	47.1	266	-14	19.8	47.9	250
72	2	3.82	30.8	10.3	54	29.2	10.2	54	347	30.8	10.3	54	343
71	2	3.5	-5.24	-94.9	-18.3	-6.9	-95	-18.3	411	-8.62	-95.1	-18.3	389
70	2	3.53	50	-2.79	-63.3	50.1	-4.23	-62.6	365	50	-2.79	-63.3	351
69	2	3.52	-44.4	26.7	-12.7	-42.8	26.8	-12.7	178	-44.4	26.7	-12.7	170
68	2	3.39	-30.2	-74.8	-35.5	-28.6	-74.7	-35.5	414	-30.2	-74.8	-35.5	388
67	2	3.23	-20.6	-78.2	35.1	-20.7	-76.8	34.3	660	-20.8	-75.3	33.6	453
66	2	3.71	-56.6	-0.829	32.1	-54.9	-0.739	32.1	228	-56.6	-0.829	32.1	207
65	2	3.18	52.8	6.27	-67.8	51.1	6.18	-67.8	292	49.4	6.08	-67.9	271
64	2	3.42	52.3	57.6	-44.1	52.4	56.2	-43.3	295	52.3	57.6	-44.1	279
63	2	3.32	-1.39	43.3	-13.5	0.0579	45.9	-11.8	369	1.59	48.8	-9.97	348
62	2	3.13	5.77	-23.7	70.5	5.68	-22.2	69.8	961	5.77	-23.7	70.5	872
61	2	3.48	-7.07	-70.8	-5.7	-6.97	-72.2	-4.95	345	-7.07	-70.8	-5.7	329
