Cluster Index	Z	P	-log10(P)	x	y	z	
149	7.47	3.99e-14	13.4	40.6	25	15
149	6.3	1.54e-10	9.81	28.1	9.38	35
149	6.1	5.36e-10	9.27	28.1	37.5	-10
149	6.03	8.05e-10	9.09	-12.5	15.6	40
149	5.43	2.78e-08	7.56	50	31.2	5
149	5.32	5.29e-08	7.28	3.12	21.9	35
148	7.49	3.47e-14	13.5	50	-21.9	25
148	6.19	2.98e-10	9.53	53.1	-37.5	35
148	6	1.01e-09	9	59.4	-28.1	35
148	5.86	2.34e-09	8.63	59.4	-28.1	15
148	5.58	1.2e-08	7.92	37.5	-50	25
148	5.35	4.45e-08	7.35	46.9	-40.6	45
147	4.56	2.53e-06	5.6	-31.2	34.4	-5
147	4.55	2.71e-06	5.57	-28.1	53.1	10
147	4.53	2.97e-06	5.53	0	12.5	-20
147	4.41	5.27e-06	5.28	-15.6	43.8	10
147	4.35	6.7e-06	5.17	-12.5	15.6	-15
147	4.31	8.03e-06	5.1	-25	21.9	-25
146	7.26	1.97e-13	12.7	-53.1	6.25	25
146	6.52	3.51e-11	10.5	-37.5	3.12	35
146	5.93	1.49e-09	8.83	-62.5	15.6	10
146	5.78	3.75e-09	8.43	-37.5	9.38	35
146	5.63	8.86e-09	8.05	-46.9	12.5	15
146	4.88	5.39e-07	6.27	-53.1	6.25	35
145	6.76	6.75e-12	11.2	34.4	-68.8	-20
145	6.69	1.08e-11	11	28.1	-68.8	-25
145	5.86	2.33e-09	8.63	21.9	-71.9	-5
145	5.7	5.99e-09	8.22	28.1	-68.8	-10
145	5.18	1.13e-07	6.95	34.4	-56.2	-30
145	4.51	3.26e-06	5.49	40.6	-53.1	-30
144	5.04	2.37e-07	6.62	-43.8	-28.1	25
144	5	2.82e-07	6.55	-21.9	-50	25
144	4.78	8.96e-07	6.05	-62.5	-43.8	25
144	4.71	1.27e-06	5.9	-65.6	-25	25
144	4.48	3.68e-06	5.43	-62.5	-31.2	25
143	4.95	3.67e-07	6.44	-53.1	43.8	10
143	3.83	6.53e-05	4.18	-59.4	37.5	5
143	3.44	0.000292	3.53	-59.4	28.1	20
142	4.03	2.83e-05	4.55	-12.5	-78.1	-45
142	3.99	3.3e-05	4.48	-21.9	-71.9	-65
142	3.95	3.95e-05	4.4	-9.38	-75	-60
142	3.91	4.65e-05	4.33	-21.9	-75	-55
142	3.86	5.63e-05	4.25	3.12	-75	-55
142	3.64	0.000134	3.87	-18.8	-75	-45
141	4.41	5.14e-06	5.29	15.6	-43.8	10
141	4.24	1.11e-05	4.95	3.12	-62.5	15
141	4.09	2.15e-05	4.67	15.6	-53.1	10
141	3.85	5.87e-05	4.23	12.5	-59.4	15
140	4.77	9.28e-07	6.03	-46.9	-34.4	0
139	4.71	1.21e-06	5.92	-21.9	-75	-15
139	4.16	1.63e-05	4.79	-34.4	-68.8	-25
138	4.67	1.48e-06	5.83	12.5	-59.4	-75
138	4.52	3.07e-06	5.51	18.8	-53.1	-75
138	3.95	3.95e-05	4.4	31.2	-53.1	-75
137	4.72	1.17e-06	5.93	-25	-56.2	-75
137	4.65	1.69e-06	5.77	-12.5	-53.1	-75
137	3.67	0.000119	3.92	-34.4	-56.2	-75
136	4.48	3.66e-06	5.44	-46.9	-50	-25
135	4.37	6.22e-06	5.21	-50	-31.2	-35
135	3.88	5.19e-05	4.28	-37.5	-31.2	-35
134	3.91	4.64e-05	4.33	-37.5	-56.2	-35
134	3.68	0.000116	3.93	-37.5	-50	-40
134	3.56	0.000189	3.72	-31.2	-43.8	-45
133	4.03	2.81e-05	4.55	0	12.5	20
133	3.81	6.98e-05	4.16	6.25	0	20
132	3.71	0.000104	3.98	-31.2	-46.9	-25
132	3.54	0.0002	3.7	-25	-65.6	-25
132	3.52	0.000215	3.67	-34.4	-59.4	-25
131	4.39	5.57e-06	5.25	-12.5	15.6	5
131	3.9	4.86e-05	4.31	-18.8	12.5	5
130	4.32	7.7e-06	5.11	50	-9.38	-15
129	4.64	1.74e-06	5.76	-56.2	-40.6	35
129	3.5	0.000231	3.64	-56.2	-50	30
128	4.53	2.89e-06	5.54	-40.6	-62.5	-15
128	4.08	2.23e-05	4.65	-34.4	-68.8	-15
127	4.45	4.3e-06	5.37	-59.4	-15.6	-35
126	4.87	5.55e-07	6.26	-62.5	-9.38	10
125	4.26	1e-05	5	31.2	75	10
124	3.64	0.000136	3.87	-21.9	68.8	-15
124	3.28	0.000519	3.29	-21.9	75	-10
