Cluster Index	Z	P	-log10(P)	x	y	z	
134	3.36	0.000391	3.41	50	40	11
133	3.46	0.000267	3.57	16	44	19
132	3.77	8.06e-05	4.09	48	25	5
131	3.93	4.32e-05	4.36	38	52	13
130	3.96	3.77e-05	4.42	47	21	15
129	3.59	0.000167	3.78	30	56	13
128	3.65	0.000129	3.89	16	22	15
127	3.56	0.000187	3.73	25	28	13
126	3.3	0.000482	3.32	48	14	11
125	3.27	0.000544	3.26	46	46	16
124	4.07	2.34e-05	4.63	30	36	7
124	3.49	0.000244	3.61	32	37	8
123	3.57	0.00018	3.74	50	23	8
122	3.78	7.91e-05	4.1	46	15	23
121	4.12	1.88e-05	4.73	50	27	8
120	3.39	0.000351	3.45	32	42	13
119	3.35	0.000402	3.4	18	33	8
118	3.61	0.000152	3.82	43	27	21
117	3.75	8.81e-05	4.06	39	20	15
116	3.38	0.000367	3.44	33	57	13
115	3.48	0.000252	3.6	19	22	15
114	3.46	0.000274	3.56	49	44	11
113	3.69	0.00011	3.96	52	27	15
112	3.34	0.000418	3.38	51	42	17
111	3.39	0.000345	3.46	31	31	28
110	4.12	1.9e-05	4.72	13	39	15
109	3.55	0.00019	3.72	38	30	28
108	3.65	0.000132	3.88	36	31	25
107	3.69	0.000112	3.95	13	22	16
106	3.21	0.000667	3.18	19	10	17
105	3.21	0.000658	3.18	37	12	17
104	3.68	0.000116	3.93	43	23	25
103	3.4	0.000341	3.47	18	38	23
102	3.4	0.000342	3.47	28	56	17
101	3.94	4.13e-05	4.38	32	12	18
100	3.94	4.05e-05	4.39	36	34	23
99	3.96	3.7e-05	4.43	11	21	18
98	3.84	6.16e-05	4.21	35	51	22
97	3.59	0.000164	3.78	33	55	18
96	3.33	0.000442	3.35	21	41	23
95	3.29	0.000509	3.29	32	36	19
94	3.53	0.000206	3.69	49	27	21
93	3.18	0.000729	3.14	39	39	21
92	3.24	0.000603	3.22	24	8	4
91	3.79	7.45e-05	4.13	50	48	11
90	3.31	0.000474	3.32	36	7	5
89	3.59	0.000165	3.78	28	34	5
88	3.34	0.000414	3.38	18	37	5
87	3.77	8.01e-05	4.1	26	45	7
86	3.79	7.43e-05	4.13	21	25	8
85	3.29	0.000495	3.31	51	23	11
84	3.66	0.000125	3.9	34	37	8
83	3.32	0.000454	3.34	51	14	11
82	3.98	3.39e-05	4.47	38	5	9
81	3.35	0.000411	3.39	38	8	11
80	3.58	0.000174	3.76	22	8	9
79	3.29	0.000494	3.31	36	12	9
78	4.45	4.34e-06	5.36	34	48	9
77	3.21	0.000669	3.17	34	33	9
76	3.28	0.000527	3.28	24	42	9
75	3.85	5.86e-05	4.23	28	17	0
74	3.51	0.000227	3.64	48	43	13
73	4.16	1.61e-05	4.79	34	7	15
72	3.32	0.000445	3.35	10	32	13
71	3.34	0.000423	3.37	34	25	0
70	3.13	0.000862	3.06	31	27	27
69	3.23	0.000618	3.21	38	34	21
68	3.15	0.000821	3.09	42	41	8
67	3.38	0.000364	3.44	28	29	27
66	3.23	0.000609	3.22	50	31	21
65	3.36	0.000384	3.42	31	25	28
64	3.56	0.000184	3.74	40	28	28
63	3.15	0.000811	3.09	41	17	9
62	3.53	0.000208	3.68	12	24	21
61	3.12	0.000904	3.04	34	19	0
60	3.17	0.000763	3.12	40	25	9
59	3.4	0.000333	3.48	28	52	20
58	3.49	0.000242	3.62	41	42	20
57	3.21	0.000675	3.17	31	17	26
56	3.32	0.000457	3.34	36	40	21
55	3.5	0.000232	3.63	27	45	25
54	3.17	0.000769	3.11	31	14	1
53	3.09	0.000995	3	17	45	5
52	3.33	0.000435	3.36	15	39	5
51	3.39	0.000347	3.46	24	39	22
50	3.35	0.000403	3.39	26	30	2
49	3.65	0.000132	3.88	23	26	25
48	3.1	0.000966	3.02	45	23	23
47	3.19	0.000705	3.15	43	15	4
46	3.27	0.000537	3.27	39	8	3
45	3.1	0.000978	3.01	24	19	25
44	3.64	0.000138	3.86	37	33	3
43	3.11	0.00095	3.02	27	17	25
42	3.37	0.00037	3.43	30	15	17
41	3.46	0.00027	3.57	41	47	11
40	3.16	0.000789	3.1	35	12	17
39	3.11	0.000928	3.03	47	11	17
38	3.27	0.000537	3.27	39	7	17
37	3.33	0.000427	3.37	45	40	16
36	3.17	0.00077	3.11	55	26	16
35	3.09	0.00099	3	30	57	11
34	3.38	0.000361	3.44	45	13	12
33	3.12	0.000901	3.05	44	51	15
32	3.35	0.000406	3.39	17	13	13
31	3.35	0.000397	3.4	40	27	13
