Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
91	3	4.35	-28.5	-53.5	-21.4	-28.5	-53.3	-21.4	200	-28.5	-53.5	-21.4	169
90	3	3.55	38.8	-44.5	-17.6	38.8	-44.5	-17.6	132	38.8	-44.5	-17.6	121
89	3	3.73	-71.6	-18.5	-28	-70.7	-17.4	-28.5	113	-68.3	-18.3	-28	82.1
88	3	3.87	54	23	23.4	55.2	22.4	21.9	122	57.4	23.2	23.4	102
87	3	3.37	-60.4	-36.3	-12.4	-57.1	-36.1	-12.3	131	-60.4	-36.3	-12.4	118
86	2	4.26	-28	-70.4	37.1	-27.9	-71.7	37.7	190	-28	-70.4	37.1	138
85	2	3.33	-20.7	14.5	69	-19.1	16.1	68.3	154	-20.7	14.5	69	141
84	2	3.15	2.41	38.2	-17	0.728	38.1	-17.1	190	-0.978	38	-17.1	161
83	2	3.72	-22.7	47.7	45.9	-22.6	46.2	46.6	95.2	-22.6	44.8	47.4	86.9
82	2	4.1	41.6	53.1	26.5	41.7	51.8	27.1	96.4	41.8	50.1	28	87.6
81	2	3.47	-24.7	28.7	36.8	-23.1	28.8	36.8	94	-21.3	28.9	36.8	88.7
80	2	3.21	-20.9	23	39.8	-20.8	21.5	40.5	72.9	-20.8	20	41.3	66.7
79	2	3.46	14.5	57.7	-7.9	16.2	57.8	-7.89	134	17.9	57.9	-7.89	130
78	2	3.82	-8.72	-57	55.8	-8.81	-55.6	55.1	125	-8.91	-54	54.3	113
77	2	4.09	29.6	83.4	-1.75	28.1	83.3	-1.76	93.6	29.6	83.4	-1.75	87.2
76	2	3.31	-33.1	2.79	37.2	-31.4	2.88	37.2	74.5	-33.1	2.79	37.2	68.3
75	2	3.47	17.7	6.81	24.3	17.8	5.4	25	69.7	17.7	6.81	24.3	67.8
74	2	4.32	-33.4	-44.7	61.3	-31.9	-44.7	61.3	127	-30	-44.6	61.3	103
73	2	4.51	-23.1	-47.1	62.8	-23.2	-45.9	62.2	164	-23.3	-44.2	61.3	136
72	2	3.36	-20.7	21.9	21.6	-20.6	20.4	22.4	48.1	-20.5	18.9	23.2	48
71	2	3.58	71.1	-19	-29.5	69.5	-19.1	-29.5	101	67.7	-19.2	-29.5	95.2
70	2	3.61	76.3	4.4	-35	74.6	5.4	-32.7	106	72.7	6.55	-30	86.2
69	2	3.3	44.8	23	-70.4	43.1	24.4	-71.1	173	41.3	25.8	-71.9	163
68	2	3.58	-42.5	-44.1	-39	-44.1	-45.6	-38.3	181	-42.5	-44.1	-39	164
67	2	3.55	2.58	42	-56.3	2.67	40.5	-55.6	300	2.58	42	-56.3	227
66	2	3.72	-26	-90.7	-14.9	-24.4	-90.6	-14.9	105	-26	-90.7	-14.9	93.5
65	2	3.94	62.6	-48.1	3.65	64.2	-48	3.65	82.8	62.6	-48.1	3.65	70.5
64	2	3.96	80.6	-11.5	-14.4	80.5	-10	-15.1	51.6	80.6	-11.5	-14.4	49.6
63	2	4.08	-32.9	-87.5	-22.9	-31.4	-86	-23.7	157	-29.7	-84.3	-24.4	127
62	2	4.19	17.1	-81.5	31.7	15.5	-81.6	31.6	89.7	17.1	-81.5	31.7	79
61	2	3.51	-60.8	-32.3	4.28	-60.9	-30.8	3.53	127	-60.8	-32.3	4.28	123
60	2	3.7	-62.6	-5.66	-9.28	-64.2	-5.75	-9.29	123	-65.9	-5.84	-9.3	114
59	2	3.22	11.7	1.35	-10.5	9.93	2.73	-11.3	87.4	11.7	1.35	-10.5	86.5
58	2	4.73	21	-75.5	-58.5	19.5	-75.5	-58.5	196	21	-75.5	-58.5	166
57	2	4.41	35.4	-92	-24.7	33.8	-92.1	-24.8	165	32	-92.2	-24.8	147
56	2	3.22	-33.6	-75	-35.5	-31.9	-74.9	-35.5	176	-33.6	-75	-35.5	172
55	2	3.31	16.8	-25.7	9.59	16.7	-24.6	12	71.6	16.8	-25.7	9.59	68.9
54	1	3.4	59.1	-37.3	-51.8	59.1	-37.3	-51.8	226	59.1	-37.3	-51.8	226
53	1	3.11	57.2	-13.2	-39.1	57.2	-13.2	-39.1	119	57.2	-13.2	-39.1	119
52	1	3.17	-11.6	-13.9	46.3	-11.6	-13.9	46.3	167	-11.6	-13.9	46.3	167
51	1	3.51	-59.5	-46.3	-26	-59.5	-46.3	-26	123	-59.5	-46.3	-26	123
50	1	3.29	29.4	-56.3	-18.1	29.4	-56.3	-18.1	180	29.4	-56.3	-18.1	180
49	1	3.13	-26.5	21.5	-65.6	-26.5	21.5	-65.6	79	-26.5	21.5	-65.6	79
48	1	3.38	63	40.7	21	63	40.7	21	46.1	63	40.7	21	46.1
47	1	3.1	40.2	-56.6	-67.5	40.2	-56.6	-67.5	204	40.2	-56.6	-67.5	204
46	1	3.14	62	-33.1	-35.1	62	-33.1	-35.1	163	62	-33.1	-35.1	163
45	1	3.44	-13	6.22	42.3	-13	6.22	42.3	67.9	-13	6.22	42.3	67.9
44	1	3.25	30.3	15	64.1	30.3	15	64.1	122	30.3	15	64.1	122
43	1	3.35	39.7	28	51.6	39.7	28	51.6	61.9	39.7	28	51.6	61.9
42	1	3.43	11.2	-82.6	-49	11.2	-82.6	-49	113	11.2	-82.6	-49	113
41	1	3.18	-20.8	73.5	14.2	-20.8	73.5	14.2	76.9	-20.8	73.5	14.2	76.9
40	1	3.09	8.23	-8.1	56.5	8.23	-8.1	56.5	87.7	8.23	-8.1	56.5	87.7
39	1	3.2	-46.5	51.3	24.6	-46.5	51.3	24.6	63.2	-46.5	51.3	24.6	63.2
38	1	3.48	28.2	-87.7	-14.7	28.2	-87.7	-14.7	190	28.2	-87.7	-14.7	190
37	1	3.38	3.05	71.2	22.3	3.05	71.2	22.3	141	3.05	71.2	22.3	141
