Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	1	3.53	15.6	81.2	10	15.6	81.2	10	159	15.6	81.2	10	159
19	1	4.22	15.6	-78.1	15	15.6	-78.1	15	137	15.6	-78.1	15	137
18	1	3.2	-43.8	-43.8	15	-43.8	-43.8	15	90.5	-43.8	-43.8	15	90.5
17	1	3.36	68.8	-18.8	-5	68.8	-18.8	-5	57.7	68.8	-18.8	-5	57.7
16	1	3.17	-21.9	-59.4	20	-21.9	-59.4	20	240	-21.9	-59.4	20	240
15	1	3.62	-71.9	-21.9	-10	-71.9	-21.9	-10	74.1	-71.9	-21.9	-10	74.1
14	1	3.81	59.4	18.8	20	59.4	18.8	20	85.1	59.4	18.8	20	85.1
13	1	3.09	-62.5	-50	-20	-62.5	-50	-20	54.1	-62.5	-50	-20	54.1
12	1	3.26	12.5	-81.2	-20	12.5	-81.2	-20	148	12.5	-81.2	-20	148
11	1	3.54	28.1	-68.8	25	28.1	-68.8	25	126	28.1	-68.8	25	126
10	1	3.1	-56.2	-40.6	25	-56.2	-40.6	25	126	-56.2	-40.6	25	126
9	1	3.5	-68.8	-15.6	25	-68.8	-15.6	25	76.2	-68.8	-15.6	25	76.2
8	1	3.09	-53.1	46.9	-25	-53.1	46.9	-25	61.4	-53.1	46.9	-25	61.4
7	1	3.1	9.38	15.6	25	9.38	15.6	25	80.7	9.38	15.6	25	80.7
6	1	3.42	-21.9	-59.4	30	-21.9	-59.4	30	161	-21.9	-59.4	30	161
5	1	3.31	-68.8	-18.8	-25	-68.8	-18.8	-25	92	-68.8	-18.8	-25	92
4	1	3.78	34.4	-37.5	30	34.4	-37.5	30	135	34.4	-37.5	30	135
3	1	3.35	-65.6	-9.38	30	-65.6	-9.38	30	66.4	-65.6	-9.38	30	66.4
2	1	3.55	-56.2	-59.4	-25	-56.2	-59.4	-25	74.1	-56.2	-59.4	-25	74.1
1	1	3.46	-6.25	56.2	-30	-6.25	56.2	-30	148	-6.25	56.2	-30	148
