Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
113	3	3.69	-65.4	-15.4	1.77	-67.5	-16.4	2.23
112	3	3.34	-65.3	33.9	-10.7	-62	34.1	-10.7
111	2	3.39	2.06	30.6	61.6	3.72	30.7	61.6
110	2	4.12	64.3	27.3	-15.9	65.9	27.4	-15.8
109	2	3.55	-21.4	26.4	63	-21.3	25	63.7
108	2	3.65	-14.2	22.7	46.4	-14.1	21.3	47.1
107	2	3.69	67.3	-20.6	14.8	67.4	-22.1	15.5
106	2	3.21	49.1	-54.9	37.9	47.4	-55	37.9
105	2	3.21	-12.2	-52.3	34.6	-13.9	-52.4	34.6
104	2	3.68	-36.4	-2.25	58.3	-38	-2.34	58.3
103	2	3.4	45.8	42.1	25.9	44.1	42	25.9
102	2	3.4	9.86	79.5	-31.6	9.95	78.1	-30.8
101	2	3.94	4.5	-49.1	39.7	4.41	-47.7	39.1
100	2	3.94	-14.3	26.9	31.8	-12.8	27	31.8
99	2	3.96	73.9	-18.6	26.4	72.3	-20.1	27.1
98	2	3.84	-14	75.1	1.11	-15.6	75	1.11
97	2	3.59	-7.09	78	-25.1	-7	76.5	-24.3
96	2	3.33	35.1	50.4	21.4	33.7	47.8	19.7
95	2	3.29	-0.301	24.3	8.62	-2.04	25.6	7.88
94	2	3.53	-56.6	-0.829	32.1	-54.9	-0.74	32.1
93	2	3.18	-25	36.5	14.1	-23.3	36.6	14.1
92	2	3.24	35.4	-92	-24.7	33.6	-91	-22.3
91	2	3.79	-61.8	37.8	-50	-61.7	36.4	-49.3
90	2	3.31	-5.24	-94.9	-18.3	-6.9	-95	-18.3
89	2	3.59	16.7	-13.5	-58.9	15.1	-13.6	-58.9
88	2	3.34	50	-2.79	-63.3	50.1	-4.23	-62.6
87	2	3.77	20.9	24.1	-65.4	22.5	25.6	-66.1
86	2	3.79	41.4	-31.9	-30.2	41.4	-30.5	-30.8
85	2	3.29	-60.4	-36.3	-12.4	-58.7	-36.2	-12.4
84	2	3.66	-4.85	1.25	-48.4	-6.48	1.16	-48.4
83	2	3.32	-58.7	-62.9	1.2	-58.8	-61.5	0.467
82	2	3.98	-12.5	-91.8	4.83	-11	-91.8	4.83
81	2	3.35	-13.5	-78.3	10.4	-11.7	-80.8	8.68
80	2	3.58	41.1	-80	0.491	39.5	-80.1	0.486
79	2	3.29	-7.07	-70.8	-5.7	-6.97	-72.2	-4.95
78	2	4.45	-7.17	36.1	-59.9	-5.56	36.2	-59.9
77	2	3.21	-4.3	-8.26	-37.3	-2.63	-8.17	-37.3
76	2	3.28	27.8	20.2	-50.8	26.3	18.7	-50
75	2	3.85	21	-75.5	-58.5	19.4	-75.5	-58.5
74	2	3.51	-54.5	28.1	-32.4	-54.6	29.5	-33.1
73	2	4.16	-0.661	-71.2	32.1	0.906	-71.1	32.1
72	2	3.32	76.2	2.51	-15.4	74.8	-0.162	-17.1
71	2	3.34	-0.805	-52.9	-70.7	-2.45	-53	-70.7
70	1	3.13	3.05	16.5	62.5	3.05	16.5	62.5
69	1	3.23	-20.7	21.9	21.6	-20.7	21.9	21.6
68	1	3.15	-32.7	11.6	-54.5	-32.7	11.6	-54.5
67	1	3.38	12.8	22.9	59.6	12.8	22.9	59.6
66	1	3.23	-60.7	10.8	26	-60.7	10.8	26
65	1	3.36	3.21	12.9	70.6	3.21	12.9	70.6
64	1	3.56	-27.8	20.1	66	-27.8	20.1	66
63	1	3.15	-24.9	-56.9	-13.3	-24.9	-56.9	-13.3
62	1	3.53	69.2	-2.9	37	69.2	-2.9	37
61	1	3.12	0.34	-70.6	-61.6	0.34	-70.6	-61.6
60	1	3.17	-23.1	-33	-25.3	-23.1	-33	-25.3
59	1	3.4	9.97	74.7	-10.4	9.97	74.7	-10.4
58	1	3.49	-32.1	42.7	4.52	-32.1	42.7	4.52
57	1	3.21	5.17	-15.5	72.6	5.17	-15.5	72.6
56	1	3.32	-15	40	12.6	-15	40	12.6
55	1	3.5	13.6	65.8	25.4	13.6	65.8	25.4
54	1	3.17	11.2	-82.6	-49	11.2	-82.6	-49
53	1	3.09	51.8	21.1	-75.4	51.8	21.1	-75.4
52	1	3.33	59.7	3.68	-66.3	59.7	3.68	-66.3
51	1	3.39	25.5	41.6	19.3	25.5	41.6	19.3
50	1	3.35	24.9	-32	-68	24.9	-32	-68
49	1	3.65	30.8	10.3	54	30.8	10.3	54
48	1	3.1	-42.7	-7.27	48.2	-42.7	-7.27	48.2
47	1	3.19	-30.2	-74.8	-35.5	-30.2	-74.8	-35.5
46	1	3.27	-15.1	-97.1	-30	-15.1	-97.1	-30
45	1	3.1	28.7	-10.6	64.6	28.7	-10.6	64.6
44	1	3.64	-13.1	-22.8	-67.6	-13.1	-22.8	-67.6
43	1	3.11	18.9	-17.1	67.6	18.9	-17.1	67.6
42	1	3.37	10.9	-42.2	30.2	10.9	-42.2	30.2
41	1	3.46	-31.1	36.5	-48.4	-31.1	36.5	-48.4
40	1	3.16	-5.44	-52	34.7	-5.44	-52	34.7
39	1	3.11	-45.9	-57.1	36	-45.9	-57.1	36
38	1	3.27	-18	-67.5	42.1	-18	-67.5	42.1
37	1	3.33	-44.4	26.7	-12.7	-44.4	26.7	-12.7
36	1	3.17	-75.6	-16.5	8.29	-75.6	-16.5	8.29
35	1	3.09	4.22	68.2	-63.3	4.22	68.2	-63.3
34	1	3.38	-38.4	-62.5	7.82	-38.4	-62.5	7.82
33	1	3.12	-42.9	57.1	-34.3	-42.9	57.1	-34.3
32	1	3.35	56.2	-55	13.2	56.2	-55	13.2
