Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
72	2	3.32	68.8	0	-10	67.2	-1.53	-12.4
71	2	3.34	-6.25	-21.9	-75	-7.77	-21.9	-75
70	1	3.13	3.12	-15.6	60	3.12	-15.6	60
69	1	3.23	-18.8	6.25	30	-18.8	6.25	30
68	1	3.15	-31.2	28.1	-35	-31.2	28.1	-35
67	1	3.38	12.5	-9.38	60	12.5	-9.38	60
66	1	3.23	-56.2	-3.12	30	-56.2	-3.12	30
65	1	3.36	3.12	-21.9	65	3.12	-21.9	65
64	1	3.56	-25	-12.5	65	-25	-12.5	65
63	1	3.15	-28.1	-46.9	-30	-28.1	-46.9	-30
62	1	3.53	62.5	-25	30	62.5	-25	30
61	1	3.12	-6.25	-40.6	-75	-6.25	-40.6	-75
60	1	3.17	-25	-21.9	-30	-25	-21.9	-30
59	1	3.4	12.5	62.5	25	12.5	62.5	25
58	1	3.49	-28.1	31.2	25	-28.1	31.3	25
57	1	3.21	3.12	-46.9	55	3.12	-46.9	55
56	1	3.32	-12.5	25	30	-12.5	25	30
55	1	3.5	15.6	40.6	50	15.6	40.6	50
54	1	3.17	3.12	-56.2	-70	3.12	-56.2	-70
53	1	3.09	46.9	40.6	-50	46.9	40.6	-50
52	1	3.33	53.1	21.9	-50	53.1	21.9	-50
51	1	3.39	25	21.9	35	25	21.9	35
50	1	3.35	18.8	-6.25	-65	18.8	-6.25	-65
49	1	3.65	28.1	-18.8	50	28.1	-18.8	50
48	1	3.1	-40.6	-28.1	40	-40.6	-28.1	40
47	1	3.19	-34.4	-53.1	-55	-34.4	-53.1	-55
46	1	3.27	-21.9	-75	-60	-21.9	-75	-60
45	1	3.1	25	-40.6	50	25	-40.6	50
44	1	3.64	-15.6	3.12	-60	-15.6	3.12	-60
43	1	3.11	15.6	-46.9	50	15.6	-46.9	50
42	1	3.37	6.25	-53.1	10	6.25	-53.1	10
41	1	3.46	-28.1	46.9	-20	-28.1	46.9	-20
40	1	3.16	-9.38	-62.5	10	-9.38	-62.5	10
39	1	3.11	-46.9	-65.6	10	-46.9	-65.6	10
38	1	3.27	-21.9	-78.1	10	-21.9	-78.1	10
37	1	3.33	-40.6	25	5	-40.6	25	5
36	1	3.17	-71.9	-18.8	5	-71.9	-18.8	5
35	1	3.09	6.25	78.1	-20	6.25	78.1	-20
34	1	3.38	-40.6	-59.4	-15	-40.6	-59.4	-15
33	1	3.12	-37.5	59.4	0	-37.5	59.4	0
32	1	3.35	46.9	-59.4	-10	46.9	-59.4	-10
31	1	3.35	-25	-15.6	-10	-25	-15.6	-10
30	1	3.19	65.6	21.9	-10	65.6	21.9	-10
29	1	3.34	-3.12	21.9	0	-3.12	21.9	0
28	1	3.6	65.6	-9.38	0	65.6	-9.38	0
