Cluster Index	Z	x	y	z	
44	3.13	25.2	-49.3	-15.1
43	3.26	39.6	15.8	-26.8
42	3.15	-61.7	-13.9	26.4
41	3.1	-26.9	51.5	19.7
40	3.19	-18	-46.2	42.1
39	3.16	12.9	-7.78	34.5
38	3.52	34.1	57.1	22.6
37	3.59	17.3	58.5	28.5
36	3.16	27.6	71.3	26
35	3.16	-8	-64.5	56.3
34	3.19	56.5	-46.6	51.4
33	3.19	-47.4	55.2	-2.97
32	3.18	16.6	0.364	44.3
31	3.3	-41.2	-32.3	63
30	3.14	-44.5	-25.7	61.9
29	3.17	23.3	-16.9	64.1
28	3.19	40.9	35	54.6
27	3.22	43.2	-49.4	74.8
26	3.19	12.8	-45.3	75
25	3.17	-44.6	-40.4	75.8
24	3.1	-27.5	-24.5	72.5
23	3.68	20.7	39.7	60
22	3.71	70.2	-33.9	48.8
21	3.24	29.6	11.2	-14.5
20	3.46	2.51	12	-13.8
19	3.22	53.4	23.6	-17.3
18	3.27	10	67.4	-23.7
17	3.12	59.9	-1.92	-7.38
16	3.25	43	-1.44	-6.98
15	3.54	-25	-28.2	5.24
14	3.17	-0.85	3.92	-1.02
13	3.34	70.2	2.75	2.82
12	3.26	15.1	-84.9	36.6
11	3.13	-28.9	-82	26
10	3.19	59.3	-61.6	20
9	3.14	-72.3	-38.2	19.6
8	3.77	73.3	-22.7	12.8
7	3.53	-0.602	12.2	8.85
6	3.18	-26.9	68.6	-0.225
5	3.1	76.7	-28.5	19.4
4	3.14	-17.6	3.65	16.5
3	3.23	23.6	48.3	7.52
2	3.19	-12	-93.9	38.9
1	3.32	-22.2	-85.5	26.5
