Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
94	86	2.54e-06	5.6	4.56	42	43	14	38.8	43.1	14.8	315	35	37	13	200
93	57	5.31e-10	9.28	6.1	23	44	13	24.8	42.1	13.8	250	23	43	13	157
92	55	5.78e-07	6.24	4.86	31	38	23	31	40.7	21.8	367	32	44	21	188
91	36	3.99e-14	13.4	7.47	19	40	18	19.1	40.3	18.6	420	18	42	19	233
90	33	6.78e-12	11.2	6.76	21	10	11	21.8	11.6	10.6	323	23	9	10	175
89	28	1.97e-13	12.7	7.26	49	34	20	48	34.8	19.3	209	46	35	19	147
88	23	3.5e-11	10.5	6.52	44	33	22	43.8	33.5	22.2	200	44	33	22	122
87	21	3.85e-06	5.41	4.47	27	48	11	26.7	47.9	11.1	411	24	49	11	250
86	17	3.65e-07	6.44	4.95	49	46	17	46.9	46.3	18.1	355	47	47	18	226
85	17	1.22e-08	7.91	5.58	20	16	20	20.3	16.1	20.2	218	20	15	20	137
84	16	8.04e-10	9.09	6.03	36	37	23	35.7	37	22.4	222	35	37	23	132
83	13	6.28e-06	5.2	4.37	48	22	8	45.9	22.2	8	223	48	22	8	166
82	13	2.37e-07	6.62	5.04	46	23	20	47.4	22.9	19.8	147	45	22	19	109
81	12	4.63e-05	4.33	3.91	44	14	8	43.7	16	7.02	533	43	16	7	307
80	11	1.53e-10	9.81	6.3	23	35	22	23	34.7	22	243	23	35	22	158
79	9	8.86e-05	4.05	3.75	42	17	21	41.4	16.3	20.8	242	41	16	21	174
78	9	1.09e-06	5.96	4.74	40	14	0	38.1	13.8	0	591	40	14	0	368
77	8	9.27e-07	6.03	4.77	47	21	15	47.7	20.9	14.7	160	48	21	15	133
76	8	5.63e-06	5.25	4.39	16	22	15	18.1	22.4	15	128	17	22	15	106
75	8	7.77e-05	4.11	3.78	31	8	4	31.5	8.96	3.04	200	31	8	4	136
74	7	3.65e-06	5.44	4.48	47	16	10	47	15.8	9.6	179	47	16	10	151
73	7	4.84e-05	4.31	3.9	20	47	17	19.3	47	17.1	217	20	47	17	150
72	7	3.42e-14	13.5	7.49	16	25	20	17	25.1	20	222	16	25	20	134
71	6	3.08e-06	5.51	4.52	26	15	0	25.8	13.7	0	415	25	14	0	286
70	6	1.83e-05	4.74	4.13	36	43	21	36.2	43.8	21	241	35	44	21	200
69	5	4.02e-05	4.4	3.94	23	54	15	24	54.4	15	264	25	54	15	198
68	5	3.23e-05	4.49	4	22	52	16	22	51.6	15.4	356	22	51	15	265
67	5	1.11e-05	4.95	4.24	22	46	17	22.6	45.6	17.2	236	22	46	17	191
66	5	9.29e-06	5.03	4.28	17	23	10	16.5	23.2	10	120	17	23	10	95.1
65	5	8.21e-05	4.09	3.77	39	8	3	37.6	8.4	2.6	167	38	9	2	144
64	5	5.14e-06	5.29	4.41	27	18	17	27	16.6	17	169	27	17	17	138
63	4	2.5e-07	6.6	5.03	18	37	23	18.4	37.4	23	164	18	37	23	115
62	4	7.11e-08	7.15	5.26	21	41	23	22.4	39.8	22.3	221	21	41	23	148
61	4	3.3e-06	5.48	4.51	28	55	17	28.4	55	17	632	28	56	17	344
60	4	0.00013	3.89	3.65	24	49	15	23.8	47.6	15	146	24	49	15	118
59	4	0.000364	3.44	3.38	30	41	18	30	41.2	18.2	206	30	42	18	163
58	4	7.7e-06	5.11	4.32	16	29	12	16	28.8	12	155	15	29	12	133
57	4	0.000436	3.36	3.33	50	41	18	49.8	42	17.3	175	50	42	17	143
56	4	2.81e-05	4.55	4.03	32	36	19	31.8	35.8	19.2	129	32	36	19	103
55	4	0.000543	3.26	3.27	21	50	11	21.2	50.2	11	283	20	50	11	231
54	4	0.000133	3.88	3.65	23	16	19	23.2	16	19	136	24	16	19	111
53	3	0.000249	3.6	3.48	36	32	13	36.3	32.3	13	69.4	36	32	13	65.8
52	3	0.000373	3.43	3.37	51	23	11	50	23	11	131	51	23	11	118
51	3	1.33e-05	4.88	4.2	19	44	12	18.7	44.9	11.7	171	18	46	11	143
50	3	4.62e-05	4.34	3.91	33	42	9	33.6	42.3	9	244	33	42	9	198
49	3	0.000194	3.71	3.55	22	20	9	22	20	9	132	22	20	9	121
48	3	3e-05	4.52	4.01	48	22	17	47.7	22.3	17	126	48	22	17	109
47	3	4.34e-06	5.36	4.45	51	27	8	50.7	26.7	8	140	51	27	8	118
46	2	5.15e-06	5.29	4.41	24	8	4	24.5	8	4	165	25	8	4	147
45	2	6.84e-06	5.16	4.35	42	19	8	42	19.5	8	200	42	19	8	193
44	2	1.12e-06	5.95	4.73	28	17	0	28.5	17	0	196	28	17	0	166
43	2	0.000231	3.64	3.5	50	16	21	50	16.5	21	250	50	17	21	208
42	2	0.000221	3.65	3.51	43	50	13	43	49.5	13	168	43	50	13	168
41	2	0.000516	3.29	3.28	39	56	13	38.5	56	13	243	38	56	13	183
40	2	3.8e-08	7.42	5.38	13	22	18	13	21.6	18	182	13	22	18	163
39	2	0.000754	3.12	3.17	27	45	9	26.5	44.5	9	320	26	44	9	254
38	1	0.000996	3	3.09	52	16	11	52	16	11	54.1	52	16	11	54.1
37	1	0.000961	3.02	3.1	17	40	5	17	40	5	96	17	40	5	96
36	1	0.000224	3.65	3.51	51	22	8	51	22	8	123	51	22	8	123
35	1	7.3e-05	4.14	3.8	36	7	5	36	7	5	192	36	7	5	192
34	1	0.000792	3.1	3.16	43	15	4	43	15	4	168	43	15	4	168
33	1	0.000301	3.52	3.43	31	14	1	31	14	1	113	31	14	1	113
32	1	0.000499	3.3	3.29	25	17	8	25	17	8	180	25	17	8	180
31	1	2.97e-06	5.53	4.53	32	36	11	32	36	11	408	32	36	11	408
30	1	0.000191	3.72	3.55	16	39	7	16	39	7	153	16	39	7	153
29	1	0.000268	3.57	3.46	34	50	9	34	50	9	148	34	50	9	148
28	1	3.78e-05	4.42	3.96	20	18	25	20	18	25	147	20	18	25	147
27	1	0.000281	3.55	3.45	31	15	25	31	15	25	437	31	15	25	437
26	1	9.6e-06	5.02	4.27	50	20	22	50	20	22	245	50	20	22	245
25	1	0.000384	3.42	3.36	38	34	21	38	34	21	47.8	38	34	21	47.8
24	1	3.12e-06	5.51	4.52	12	24	21	12	24	21	88.4	12	24	21	88.4
23	1	3.31e-09	8.48	5.8	16	20	21	16	20	21	176	16	20	21	176
22	1	0.000315	3.5	3.42	39	13	21	39	13	21	161	39	13	21	161
21	1	3.55e-05	4.45	3.97	23	52	19	23	52	19	155	23	52	19	155
20	1	0.000343	3.47	3.4	26	47	19	26	47	19	134	26	47	19	134
19	1	0.000421	3.38	3.34	29	32	19	29	32	19	67	29	32	19	67
18	1	0.000771	3.11	3.17	39	13	19	39	13	19	240	39	13	19	240
17	1	0.000943	3.03	3.11	21	51	18	21	51	18	92.8	21	51	18	92.8
16	1	4.24e-05	4.37	3.93	41	50	18	41	50	18	178	41	50	18	178
15	1	0.000631	3.2	3.22	30	54	15	30	54	15	176	30	54	15	176
14	1	0.000101	4	3.72	32	12	18	32	12	18	122	32	12	18	122
13	1	1.33e-05	4.88	4.2	51	30	17	51	30	17	130	51	30	17	130
12	1	4.86e-05	4.31	3.9	38	36	16	38	36	16	109	38	36	16	109
11	1	1.44e-05	4.84	4.18	28	36	16	28	36	16	121	28	36	16	121
10	1	0.00032	3.49	3.41	10	27	16	10	27	16	53.6	10	27	16	53.6
9	1	0.000569	3.24	3.25	13	21	16	13	21	16	91.8	13	21	16	91.8
8	1	0.00027	3.57	3.46	41	56	15	41	56	15	67.1	41	56	15	67.1
7	1	0.00067	3.17	3.21	44	51	15	44	51	15	178	44	51	15	178
6	1	2.74e-05	4.56	4.03	33	39	15	33	39	15	417	33	39	15	417
5	1	6.66e-05	4.18	3.82	42	13	15	42	13	15	86.6	42	13	15	86.6
4	1	0.000399	3.4	3.35	29	52	13	29	52	13	206	29	52	13	206
3	1	0.000142	3.85	3.63	45	13	12	45	13	12	94.8	45	13	12	94.8
2	1	0.000822	3.08	3.15	30	54	11	30	54	11	256	30	54	11	256
1	1	0.000591	3.23	3.24	11	21	18	11	21	18	44.7	11	21	18	44.7
