Cluster Index	Z	P	-log10(P)	x	y	z	
69	3.17	0.000751	3.12	17	40	5
68	3.39	0.000353	3.45	43	15	4
67	3.5	0.000235	3.63	36	7	5
66	3.11	0.000934	3.03	13	41	12
65	3.53	0.00021	3.68	45	40	16
64	3.32	0.000449	3.35	32	44	17
63	3.4	0.000338	3.47	16	51	13
62	3.48	0.000247	3.61	36	12	9
61	3.82	6.62e-05	4.18	36	31	25
60	3.71	0.000104	3.98	49	27	21
59	3.23	0.000622	3.21	40	5	15
58	3.2	0.000699	3.16	30	30	10
57	3.37	0.00038	3.42	40	25	9
56	3.82	6.54e-05	4.18	23	26	25
55	3.57	0.00018	3.74	34	50	9
54	3.13	0.000867	3.06	21	34	7
53	3.22	0.000636	3.2	16	39	7
52	3.31	0.000475	3.32	14	26	7
51	3.36	0.000385	3.41	31	14	1
50	3.19	0.000707	3.15	25	17	6
49	3.2	0.000688	3.16	46	46	7
48	3.5	0.000229	3.64	15	39	5
47	3.34	0.000417	3.38	42	41	8
46	3.35	0.000406	3.39	41	17	9
45	3.23	0.000609	3.22	24	34	5
44	3.13	0.000884	3.05	25	22	9
43	3.26	0.000566	3.25	21	42	9
42	3.15	0.000825	3.08	51	30	17
41	3.1	0.000975	3.01	41	50	18
40	3.19	0.000714	3.15	38	20	19
39	3.16	0.000781	3.11	29	32	19
38	3.52	0.000215	3.67	23	52	19
37	3.59	0.000167	3.78	28	52	20
36	3.16	0.000779	3.11	25	56	20
35	3.16	0.000777	3.11	35	14	21
34	3.19	0.000704	3.15	16	20	21
33	3.19	0.000716	3.15	47	52	14
32	3.18	0.000744	3.13	28	34	21
31	3.3	0.000481	3.32	45	23	23
30	3.14	0.000843	3.07	46	25	23
29	3.17	0.000771	3.11	26	28	24
28	3.19	0.000718	3.14	21	44	24
27	3.22	0.000636	3.2	20	18	25
26	3.19	0.000713	3.15	29	19	25
25	3.17	0.000769	3.11	46	20	25
24	3.1	0.000957	3.02	41	25	25
23	3.68	0.000116	3.93	27	45	25
22	3.71	0.000103	3.99	12	24	21
21	3.24	0.000597	3.22	24	40	11
20	3.46	0.000266	3.58	32	40	11
19	3.22	0.000643	3.19	17	44	11
18	3.27	0.000533	3.27	30	57	11
17	3.12	0.000897	3.05	15	36	12
16	3.25	0.00058	3.24	20	36	12
15	3.54	0.0002	3.7	40	27	13
14	3.17	0.000752	3.12	33	37	13
13	3.34	0.000422	3.37	12	37	14
12	3.26	0.000565	3.25	28	9	17
11	3.13	0.000889	3.05	41	10	15
10	3.19	0.000722	3.14	15	17	15
9	3.14	0.00085	3.07	54	23	15
8	3.77	8.1e-05	4.09	11	29	15
7	3.53	0.000209	3.68	33	39	15
6	3.18	0.000741	3.13	41	56	15
5	3.1	0.000956	3.02	10	27	16
4	3.14	0.000834	3.08	38	36	16
3	3.23	0.00061	3.21	26	50	16
2	3.19	0.000722	3.14	36	6	17
1	3.32	0.000457	3.34	39	9	15
