Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
34	1	3.16	-36.3	-74.7	-37.2	-36.3	-74.7	-37.2	168	-36.3	-74.7	-37.2	168
33	1	3.43	3.94	-81.7	-54.1	3.94	-81.7	-54.1	113	3.94	-81.7	-54.1	113
32	1	3.29	24.9	-66.5	-17.8	24.9	-66.5	-17.8	180	24.9	-66.5	-17.8	180
31	1	4.53	2.33	-1.14	-11.5	2.33	-1.14	-11.5	408	2.33	-1.14	-11.5	408
30	1	3.55	56.2	3.78	-36.5	56.2	3.78	-36.5	153	56.2	3.78	-36.5	153
29	1	3.46	-3.97	43.2	-30.4	-3.97	43.2	-30.4	148	-3.97	43.2	-30.4	148
28	1	3.96	43.2	-49.4	74.8	43.2	-49.4	74.8	147	43.2	-49.4	74.8	147
27	1	3.45	5.89	-58.2	77.4	5.89	-58.2	77.4	437	5.89	-58.2	77.4	437
26	1	4.27	-58.4	-42.5	59.6	-58.4	-42.5	59.6	245	-58.4	-42.5	59.6	245
25	1	3.36	-17.3	1.32	45.1	-17.3	1.32	45.1	47.8	-17.3	1.32	45.1	47.8
24	1	4.52	70.2	-33.9	48.8	70.2	-33.9	48.8	88.4	70.2	-33.9	48.8	88.4
23	1	5.8	56.5	-46.6	51.4	56.5	-46.6	51.4	176	56.5	-46.6	51.4	176
22	1	3.42	-21.6	-67.3	57.2	-21.6	-67.3	57.2	161	-21.6	-67.3	57.2	161
21	1	3.97	34.1	57.1	22.6	34.1	57.1	22.6	155	34.1	57.1	22.6	155
20	1	3.4	23.7	41.1	25.7	23.7	41.1	25.7	134	23.7	41.1	25.7	134
19	1	3.34	12.9	-7.78	34.5	12.9	-7.78	34.5	67	12.9	-7.78	34.5	67
18	1	3.17	-21.7	-69	46.2	-21.7	-69	46.2	240	-21.7	-69	46.2	240
17	1	3.11	40.7	52.8	17.6	40.7	52.8	17.6	92.8	40.7	52.8	17.6	92.8
16	1	3.93	-26.9	51.5	19.7	-26.9	51.5	19.7	178	-26.9	51.5	19.7	178
15	1	3.22	10.2	61	0.0445	10.2	61	0.0445	176	10.2	61	0.0445	176
14	1	3.72	1.82	-73.8	40.7	1.82	-73.8	40.7	122	1.82	-73.8	40.7	122
13	1	4.2	-61.7	-13.9	26.4	-61.7	-13.9	26.4	130	-61.7	-13.9	26.4	130
12	1	3.9	-17.6	3.65	16.5	-17.6	3.65	16.5	109	-17.6	3.65	16.5	109
11	1	4.18	16.2	2.7	15.7	16.2	2.7	15.7	121	16.2	2.7	15.7	121
10	1	3.41	76.7	-28.5	19.4	76.7	-28.5	19.4	53.6	76.7	-28.5	19.4	53.6
9	1	3.25	66.3	-47.9	23	66.3	-47.9	23	91.8	66.3	-47.9	23	91.8
8	1	3.46	-26.9	68.6	-0.225	-26.9	68.6	-0.225	67.1	-26.9	68.6	-0.225	67.1
7	1	3.21	-37.3	52.5	2.87	-37.3	52.5	2.87	178	-37.3	52.5	2.87	178
6	1	4.03	-0.602	12.2	8.85	-0.602	12.2	8.85	417	-0.602	12.2	8.85	417
5	1	3.82	-32.2	-72.1	24.4	-32.2	-72.1	24.4	86.6	-32.2	-72.1	24.4	86.6
4	1	3.35	13.3	52.7	-9.9	13.3	52.7	-9.9	206	13.3	52.7	-9.9	206
3	1	3.63	-42.6	-74.4	8.13	-42.6	-74.4	8.13	94.8	-42.6	-74.4	8.13	94.8
2	1	3.15	9.89	57.6	-22	9.89	57.6	-22	256	9.89	57.6	-22	256
1	1	3.24	73.2	-46.4	33.9	73.2	-46.4	33.9	44.7	73.2	-46.4	33.9	44.7
