Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
56	1	3.16	25	56	20	25	56	20	172	25	56	20	172
55	1	3.13	25	22	9	25	22	9	204	25	22	9	204
54	1	3.16	35	14	21	35	14	21	315	35	14	21	315
53	1	3.35	41	17	9	41	17	9	315	41	17	9	315
52	1	3.19	16	20	21	16	20	21	245	16	20	21	245
51	1	3.71	12	24	21	12	24	21	184	12	24	21	184
50	1	3.35	42	41	8	42	41	8	431	42	41	8	431
49	1	3.2	46	46	7	46	46	7	240	46	46	7	240
48	1	3.22	16	39	7	16	39	7	364	16	39	7	364
47	1	3.18	28	34	21	28	34	21	148	28	34	21	148
46	1	3.27	14	26	7	14	26	7	214	14	26	7	214
45	1	3.19	25	17	6	25	17	6	313	25	17	6	313
44	1	3.1	41	25	25	41	25	25	272	41	25	25	272
43	1	3.52	15	39	5	15	39	5	194	15	39	5	194
42	1	3.3	45	23	23	45	23	23	314	45	23	23	314
41	1	3.14	46	25	23	46	25	23	278	46	25	23	278
40	1	3.14	20	35	5	20	35	5	198	20	35	5	198
39	1	3.17	46	20	25	46	20	25	494	46	20	25	494
38	1	3.17	26	28	24	26	28	24	167	26	28	24	167
37	1	3.19	21	44	24	21	44	24	212	21	44	24	212
36	1	3.17	24	34	5	24	34	5	254	24	34	5	254
35	1	3.22	20	18	25	20	18	25	312	20	18	25	312
34	1	3.2	29	19	25	29	19	25	243	29	19	25	243
33	1	3.13	21	34	7	21	34	7	455	21	34	7	455
32	1	3.18	15	17	15	15	17	15	298	15	17	15	298
31	1	3.13	41	10	15	41	10	15	290	41	10	15	290
30	1	3.14	54	23	15	54	23	15	407	54	23	15	407
29	1	3.78	11	29	15	11	29	15	244	11	29	15	244
28	1	3.53	33	39	15	33	39	15	986	33	39	15	986
27	1	3.32	39	9	15	39	9	15	291	39	9	15	291
26	1	3.18	47	52	14	47	52	14	357	47	52	14	357
25	1	3.18	41	56	15	41	56	15	167	41	56	15	167
24	1	3.36	12	37	14	12	37	14	198	12	37	14	198
23	1	3.1	10	27	16	10	27	16	138	10	27	16	138
22	1	3.14	38	36	16	38	36	16	242	38	36	16	242
21	1	3.24	26	50	16	26	50	16	268	26	50	16	268
20	1	3.18	36	6	17	36	6	17	346	36	6	17	346
19	1	3.25	28	9	17	28	9	17	400	28	9	17	400
18	1	3.39	11	39	13	11	39	13	185	11	39	13	185
17	1	3.68	27	45	25	27	45	25	275	27	45	25	275
16	1	3.15	51	30	17	51	30	17	256	51	30	17	256
15	1	3.54	40	27	13	40	27	13	183	40	27	13	183
14	1	3.1	13	41	12	13	41	12	210	13	41	12	210
13	1	3.25	20	36	12	20	36	12	523	20	36	12	523
12	1	3.13	15	36	12	15	36	12	211	15	36	12	211
11	1	3.29	30	57	11	30	57	11	197	30	57	11	197
10	1	3.22	17	44	11	17	44	11	586	17	44	11	586
9	1	3.46	32	40	11	32	40	11	463	32	40	11	463
8	1	3.1	41	50	18	41	50	18	332	41	50	18	332
7	1	3.19	38	20	19	38	20	19	200	38	20	19	200
6	1	3.24	24	40	11	24	40	11	252	24	40	11	252
5	1	3.16	29	32	19	29	32	19	183	29	32	19	183
4	1	3.57	34	50	9	34	50	9	369	34	50	9	369
3	1	3.52	23	52	19	23	52	19	339	23	52	19	339
2	1	3.26	21	42	9	21	42	9	331	21	42	9	331
1	1	3.17	33	37	13	33	37	13	518	33	37	13	518
