Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
96	5	0.000174	3.76	3.58	30.4	17.2	46.7	35.8	19.2	47.3	364	40.7	24.3	50.8	258
95	5	0.000329	3.48	3.41	-15.2	-74.2	35.6	-14.5	-74.8	35.7	480	-11.8	-74.3	35.5	438
94	4	0.000291	3.54	3.44	-58.2	-38.4	64.5	-58.3	-39.5	63.3	637	-58.2	-35.1	63.9	483
93	4	0.000358	3.45	3.38	-34.6	27.7	-26.8	-33	26	-26.6	741	-34.6	27.7	-26.8	575
92	4	0.000207	3.68	3.53	49.2	-4.26	-46.2	46.8	-7.37	-45.6	365	49.2	-4.26	-46.2	302
91	4	7.2e-05	4.14	3.8	-10.4	61.5	-22.1	-8.74	59.8	-21.8	624	-6.97	61.4	-22.1	535
90	4	4.46e-05	4.35	3.92	-21.7	-49.5	20.2	-20.1	-51.1	20.4	244	-21.7	-49.5	20.2	203
89	4	1.84e-05	4.73	4.13	73.2	-46.4	33.9	69.3	-46.4	34	306	66.5	-46.2	34.1	239
88	4	9.14e-05	4.04	3.74	-59.3	-44.5	-19.2	-61	-46.1	-18.9	442	-59.3	-44.5	-19.2	337
87	4	9.31e-05	4.03	3.74	25.8	-26.3	3.48	25.9	-21.6	2.66	204	25.8	-26.3	3.48	175
86	4	1.67e-05	4.78	4.15	9.11	10.1	-25	8.29	10.1	-25	533	9.11	10.1	-25	456
85	3	0.000182	3.74	3.57	0.0375	69.4	-12.4	1.14	68.3	-12.3	748	0.0375	69.4	-12.4	640
84	3	0.000526	3.28	3.28	-47.9	-33.7	74.7	-46.8	-32.7	74.5	821	-44.5	-33.8	74.6	594
83	3	2.93e-05	4.53	4.02	14.1	-73	-61.6	13	-73.9	-61.4	377	14.1	-73	-61.6	308
82	3	0.000206	3.69	3.53	-19.2	-92.2	4.92	-16	-95	1.65	448	-12.6	-96.6	-0.168	374
81	3	0.000242	3.62	3.49	-72.5	-35	-3.51	-71.4	-33	-3.91	258	-69.1	-31.9	-4.16	225
80	3	0.000231	3.64	3.5	-62.9	-71.4	2.53	-63.9	-68.2	2	195	-62.8	-68.1	1.96	166
79	3	0.000243	3.61	3.49	-52.7	-71.6	2.29	-55	-70.5	2.15	320	-56.1	-71.5	2.37	308
78	3	0.000303	3.52	3.43	27.6	-99.5	-34.7	25.4	-99.1	-32.8	293	24.3	-98.5	-29.1	269
77	3	0.000192	3.72	3.55	5.58	-5.35	-16.6	3.44	-3.97	-14.9	758	2.2	-5.25	-16.5	743
76	3	0.000309	3.51	3.42	-17.3	1.32	45.1	-15.1	0.203	45.3	167	-13.9	1.23	45	158
75	3	2.09e-05	4.68	4.1	1.82	-73.8	40.7	0.842	-72.7	40.5	357	1.82	-73.8	40.7	330
