Cluster Index	Z	x	y	z	
33	3.09	6.7	6.46	60.5
32	3.61	20.6	35.5	55.1
31	3.74	9.36	-51.7	76.2
30	3.13	-37.8	-37.3	75
29	3.56	-24.2	-31.1	73.6
28	3.43	50.6	-0.495	66.1
27	3.34	13.7	17.8	69.6
26	3.62	3.14	-26.1	88.9
25	3.09	-2.93	59.9	34.5
24	3.17	53	3.13	-19.4
23	3.24	52.1	-74.6	-0.166
22	3.26	11.5	-73.5	0.785
21	3.4	-11.8	-43.3	-3.8
20	3.17	-21.6	-20.1	-7.56
19	3.22	-48	29.8	-15.5
18	3.25	69.4	-44.8	-0.197
17	3.37	19	-27	-1.86
16	3.12	8.36	-65.1	10.7
15	3.29	15.2	-58.8	9.43
14	3.11	-48.8	-43.9	8.65
13	3.11	-51.1	18.6	20.5
12	3.15	-22.2	-76.5	19.2
11	3.33	-38.1	-7.28	7.64
10	3.09	-38.9	-68.6	24
9	3.14	-72.4	-48	21.4
8	3.36	5.45	-40.4	17.8
7	3.19	-7.85	-23.7	15.3
6	3.29	2.42	-14.1	13.3
5	3.6	49.6	-34.3	21.2
4	3.3	63.6	1.36	14.6
3	3.33	-28.9	-86.9	38.2
2	3.27	-1.02	-28.7	27.3
1	3.34	56.9	21.9	-5.79
