Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
106	325	1.57e-06	5.8	4.66	0.14	36.9	38.4	-8.08	39.8	34.5	4.32	0.14	36.9	38.4	2.26
105	116	1.27e-06	5.9	4.71	43.7	20	23.2	44.4	34.6	16.8	4.64	43.9	53.5	0.394	2.31
104	71	1.22e-06	5.91	4.71	23.1	14.8	7.72	20.5	12.9	4.04	3.62	13	6.91	20.7	1.86
103	67	2.79e-07	6.55	5.01	30.3	2.51	60.5	15.9	10.1	59.7	4.79	30.4	6.63	65.5	1.99
102	59	1.52e-05	4.82	4.17	-24.5	7.02	-6.54	-21.3	12.5	-3.82	4.82	-7.61	4.11	-0.862	2.42
101	27	5.25e-07	6.28	4.88	63.5	-36.2	55	57.8	-38	54.4	3.68	53.2	-48.1	63	2.12
100	11	3.5e-05	4.46	3.98	22.9	26.1	-28.2	22.6	28.8	-27.6	4.54	22.8	22.8	-27.6	2.79
99	10	0.000326	3.49	3.41	17	4.58	71.9	13.5	2.21	66.7	2.47	13.5	1.4	72.5	1.57
98	9	3.29e-06	5.48	4.51	33.4	38.1	-13.6	34.4	35	-13.1	2.27	33.4	38.1	-13.6	1.78
97	8	4.49e-06	5.35	4.44	39.4	-62.5	54.6	40.9	-66.6	56.6	2.82	42.6	-70	50.2	1.82
96	7	5.17e-06	5.29	4.41	-47.3	39.8	28	-45.5	42.3	27.5	2.83	-47.3	39.8	28	1.89
95	7	0.000298	3.53	3.43	63	3.59	-36.7	59.7	5.41	-34.6	2.6	59.7	7.8	-31.7	1.72
94	7	0.000135	3.87	3.64	50.7	10.9	52.8	46.3	7.4	53.6	1.94	47.2	7.74	53.5	1.64
93	6	4.05e-05	4.39	3.94	10.2	61	0.0445	11.8	59.3	0.288	2.52	16.9	57.5	0.457	2.43
92	6	3.9e-05	4.41	3.95	47.5	35.5	37.3	44.7	37.8	37	3.01	47.4	32.2	37.9	2.09
91	6	0.000231	3.64	3.5	40.2	-23.1	70.4	37.5	-24.1	70.6	1.7	33.4	-26.2	71.1	1.57
90	5	6.85e-05	4.16	3.81	-55.3	-59.8	56.8	-55.3	-58.8	55.5	4.05	-55.2	-53.3	55.7	2.5
89	5	4.92e-05	4.31	3.89	46.8	19.8	0.519	47.4	20.3	-0.567	2.62	50.1	18.9	-5.06	2.08
88	5	7.63e-05	4.12	3.79	6.49	21	24.1	10.4	21.1	25	2.02	6.49	21	24.1	1.49
87	4	0.000541	3.27	3.27	-51.2	3.87	34.3	-56.2	2.59	36.1	1.66	-51.2	3.87	34.3	1.38
86	4	0.000284	3.55	3.45	-39.4	-68.8	-21.2	-37.7	-67.3	-21.5	5.33	-36.1	-68.9	-21.3	4.84
85	4	0.000154	3.81	3.61	-10.8	6.74	15.7	-12.4	8.39	15.5	4.37	-10.8	6.74	15.7	3.4
84	4	2.76e-05	4.56	4.03	53.9	48.2	-10.3	49.7	47.6	-10.1	2.77	50.5	48.3	-10.2	2.12
83	4	3.19e-06	5.5	4.51	60.4	20.3	5.71	58.8	18.8	6	3.05	60.4	20.3	5.71	2.41
82	4	3.07e-05	4.51	4.01	50.1	24.6	-11.7	50.1	26.1	-12	2.1	53.5	24.5	-11.8	1.77
