Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
69	2	3.21	25	24	10	24.5	24	10	1.27	25	24	10	1.23
68	2	3.65	51	20	7	51	19.5	7	1.37	51	20	7	1.32
67	2	3.28	43	25	13	43	25.5	13	0.824	43	25	13	0.797
66	2	3.41	35	10	9	34.5	10	9	1.77	34	10	9	1.56
65	2	3.74	43	44	4	42.5	44	4	1.73	43	44	4	1.53
64	2	3.26	31	28	9	30.5	28	8.51	0.909	30	28	8	0.841
63	2	4.07	38	26	13	37.5	26	13	1.42	38	26	13	1.33
62	2	3.39	43	19	12	42.5	19	11.5	1.73	43	19	12	1.43
61	2	4.04	34	7	11	34	7.45	11	1.87	34	7	11	1.77
60	1	3.1	16	41	21	16	41	21	2.58	16	41	21	2.58
59	1	3.36	46	44	21	46	44	21	1.68	46	44	21	1.68
58	1	3.15	52	30	21	52	30	21	1.5	52	30	21	1.5
57	1	3.39	50	30	21	50	30	21	1.6	50	30	21	1.6
56	1	3.09	34	52	21	34	52	21	3.38	34	52	21	3.38
55	1	3.11	23	47	19	23	47	19	0.903	23	47	19	0.903
54	1	3.26	17	47	19	17	47	19	1.83	17	47	19	1.83
53	1	3.3	47	20	5	47	20	5	0.955	47	20	5	0.955
52	1	3.49	25	11	1	25	11	1	0.91	25	11	1	0.91
51	1	3.34	29	38	26	29	38	26	3.51	29	38	26	3.51
50	1	3.44	37	30	1	37	30	1	1.49	37	30	1	1.49
49	1	3.43	18	33	25	18	33	25	0.828	18	33	25	0.828
48	1	3.56	40	23	25	40	23	25	1.42	40	23	25	1.42
47	1	3.13	44	21	25	44	21	25	1.81	44	21	25	1.81
46	1	3.74	30	17	25	30	17	25	1.68	30	17	25	1.68
45	1	3.61	27	44	24	27	44	24	2.55	27	44	24	2.55
44	1	3.23	15	24	4	15	24	4	1.7	15	24	4	1.7
43	1	3.09	31	35	24	31	35	24	1.29	31	35	24	1.29
42	1	3.33	44	14	4	44	14	4	1.55	44	14	4	1.55
41	1	3.16	16	16	4	16	16	4	0.706	16	16	4	0.706
40	1	3.09	16	38	23	16	38	23	0.877	16	38	23	0.877
39	1	3.24	43	23	4	43	23	4	0.956	43	23	4	0.956
38	1	3.45	46	30	23	46	30	23	1.61	46	30	23	1.61
37	1	3.18	33	18	23	33	18	23	2.89	33	18	23	2.89
36	1	3.31	40	14	5	40	14	5	1.22	40	14	5	1.22
35	1	3.73	19	27	3	19	27	3	1.38	19	27	3	1.38
34	1	3.37	27	28	12	27	28	12	1	27	28	12	1
33	1	3.3	14	36	16	14	36	16	1.32	14	36	16	1.32
32	1	3.6	18	25	16	18	25	16	1.12	18	25	16	1.12
31	1	3.12	30	16	13	30	16	13	1.92	30	16	13	1.92
30	1	3.29	28	18	13	28	18	13	1.96	28	18	13	1.96
29	1	3.29	32	31	15	32	31	15	4.01	32	31	15	4.01
28	1	3.19	35	28	15	35	28	15	1.66	35	28	15	1.66
27	1	3.24	37	27	9	37	27	9	4.51	37	27	9	4.51
26	1	3.15	54	20	15	54	20	15	0.688	54	20	15	0.688
25	1	3.09	44	14	15	44	14	15	1.13	44	14	15	1.13
24	1	3.1	51	45	14	51	45	14	0.603	51	45	14	0.603
23	1	3.33	44	33	14	44	33	14	1.09	44	33	14	1.09
22	1	3.15	39	12	14	39	12	14	0.768	39	12	14	0.768
21	1	3.11	47	22	13	47	22	13	0.904	47	22	13	0.904
20	1	3.62	32	24	28	32	24	28	1.24	32	24	28	1.24
19	1	3.34	16	43	13	16	43	13	1.98	16	43	13	1.98
18	1	3.36	31	23	15	31	23	15	1.3	31	23	15	1.3
17	1	3.26	47	45	7	47	45	7	1.33	47	45	7	1.33
16	1	3.09	43	25	8	43	25	8	1.26	43	25	8	1.26
15	1	3.17	46	21	19	46	21	19	1.46	46	21	19	1.46
14	1	3.63	53	32	9	53	32	9	1.41	53	32	9	1.41
13	1	3.17	17	38	10	17	38	10	1.02	17	38	10	1.02
12	1	3.78	29	9	19	29	9	19	2.81	29	9	19	2.81
11	1	3.24	17	14	11	17	14	11	1.52	17	14	11	1.52
10	1	3.25	12	23	12	12	23	12	1.18	12	23	12	1.18
9	1	3.65	41	54	17	41	54	17	1.65	41	54	17	1.65
8	1	3.46	21	52	17	21	52	17	1.51	21	52	17	1.51
7	1	3.1	48	40	17	48	40	17	0.755	48	40	17	0.755
6	1	3.27	33	26	17	33	26	17	1.84	33	26	17	1.84
5	1	3.4	36	23	11	36	23	11	2.25	36	23	11	2.25
4	1	3.17	39	30	11	39	30	11	1.03	39	30	11	1.03
3	1	3.22	47	45	11	47	45	11	1.32	47	45	11	1.32
2	1	3.33	41	8	17	41	8	17	2.55	41	8	17	2.55
1	1	3.26	29	14	11	29	14	11	0.923	29	14	11	0.923
