Cluster Index	Z	P	-log10(P)	x	y	z	
31	3.67	0.000119	3.92	-25	-73	63.9
30	3.27	0.000531	3.27	33.4	-5.82	50.6
29	3.43	0.000305	3.52	-31.2	-39.2	63.9
28	3.47	0.000263	3.58	-54.3	35	17.7
27	3.43	0.000307	3.51	-47.2	30.1	52.3
26	3.29	0.000509	3.29	53.6	-27.6	65.1
25	3.16	0.000797	3.1	-47.8	-21.5	66.9
24	3.39	0.000354	3.45	23.3	-13.7	63.5
23	3.32	0.000455	3.34	-17.8	-60.8	78.6
22	3.28	0.000517	3.29	23.1	-35.7	73
21	3.12	0.000892	3.05	20.1	-6.18	68
20	3.16	0.000799	3.1	-10.1	2.07	73.1
19	3.5	0.000237	3.63	-33.6	29.7	52
18	3.98	3.39e-05	4.47	63.8	25.9	-1.02
17	3.22	0.000651	3.19	-64.6	32.8	1.42
16	3.29	0.000505	3.3	59.1	-71.4	21.7
15	3.1	0.000953	3.02	50.2	14	7.09
14	3.26	0.000548	3.26	-27.9	-9.16	19
13	3.67	0.000122	3.91	13.3	32.3	10.6
12	3.38	0.000356	3.45	-6.71	55.8	7.09
11	3.37	0.000382	3.42	-48.4	-33.9	29.5
10	3.35	0.000399	3.4	39.6	-46.1	51.8
9	3.09	0.000985	3.01	13.7	59.3	11.5
8	3.18	0.00074	3.13	63.8	6.32	25
7	3.1	0.000968	3.01	-7.05	15.7	31
6	3.2	0.00068	3.17	52.8	-67	49.4
5	3.35	0.000403	3.39	-21.5	-58.4	50
4	3.44	0.000292	3.54	6.42	6.36	37.9
3	3.13	0.000866	3.06	-41.9	-73.3	58.8
2	3.35	0.00041	3.39	-21.6	-67.3	57.2
1	3.28	0.000521	3.28	3.16	30.1	16.9
