Cluster Index	Z	P	-log10(P)	x	y	z	
106	4.66	1.57e-06	5.8	33	45	21
106	4.62	1.93e-06	5.72	36	47	23
106	4.49	3.5e-06	5.46	30	48	23
106	4.46	4.18e-06	5.38	40	46	20
106	4.43	4.78e-06	5.32	22	40	23
106	4.39	5.71e-06	5.24	48	47	17
105	4.71	1.27e-06	5.9	20	41	18
105	4.38	5.9e-06	5.23	17	41	19
105	4.08	2.26e-05	4.65	22	52	16
105	4.04	2.65e-05	4.58	24	46	17
105	4.04	2.67e-05	4.57	18	45	18
105	3.91	4.59e-05	4.34	21	49	17
104	4.71	1.22e-06	5.91	26	40	15
104	4.21	1.26e-05	4.9	26	40	13
104	4.15	1.63e-05	4.79	29	37	14
104	3.93	4.32e-05	4.36	24	43	13
104	3.92	4.46e-05	4.35	29	41	15
104	3.76	8.56e-05	4.07	24	43	11
103	5.01	2.79e-07	6.55	24	34	24
103	4.35	6.69e-06	5.17	37	38	24
103	3.93	4.26e-05	4.37	29	36	23
103	3.85	5.97e-05	4.22	33	38	23
103	3.59	0.000165	3.78	26	38	25
103	3.57	0.000179	3.75	27	37	23
102	4.17	1.52e-05	4.82	40	38	12
102	3.99	3.35e-05	4.47	35	38	13
102	3.9	4.82e-05	4.32	42	43	14
102	3.82	6.55e-05	4.18	39	40	14
102	3.54	0.000197	3.71	37	41	15
102	3.38	0.000368	3.43	42	41	12
101	4.88	5.25e-07	6.28	14	23	22
101	4.23	1.19e-05	4.92	17	24	21
101	3.95	3.93e-05	4.41	15	25	21
101	3.46	0.00027	3.57	16	20	23
101	3.45	0.000285	3.55	19	18	23
100	3.98	3.5e-05	4.46	26	45	9
100	3.47	0.000263	3.58	25	48	10
99	3.41	0.000326	3.49	28	34	26
98	4.51	3.29e-06	5.48	23	48	12
97	4.44	4.49e-06	5.35	21	15	21
97	3.36	0.000385	3.41	22	12	22
96	4.41	5.17e-06	5.29	47	46	19
95	3.43	0.000298	3.53	14	39	7
94	3.64	0.000135	3.87	18	37	23
94	3.41	0.000325	3.49	21	36	23
93	3.94	4.05e-05	4.39	30	54	15
92	3.95	3.9e-05	4.41	19	45	21
91	3.5	0.000231	3.64	21	26	25
90	3.81	6.85e-05	4.16	49	15	21
90	3.25	0.000581	3.24	49	17	21
89	3.89	4.92e-05	4.31	19	42	14
88	3.79	7.63e-05	4.12	31	41	18
87	3.27	0.000541	3.27	48	35	19
87	3.2	0.00069	3.16	51	34	19
86	3.45	0.000284	3.55	44	16	7
85	3.61	0.000154	3.81	36	37	16
84	4.03	2.76e-05	4.56	17	51	13
84	3.8	7.36e-05	4.13	19	51	13
83	4.51	3.19e-06	5.5	15	42	15
82	4.01	3.07e-05	4.51	18	44	12
81	3.35	0.000398	3.4	28	56	17
81	3.2	0.000699	3.16	27	58	17
80	3.82	6.68e-05	4.17	44	47	11
79	3.39	0.000349	3.46	14	24	13
78	3.55	0.000193	3.71	36	45	13
77	3.31	0.000463	3.33	30	52	13
76	3.65	0.000133	3.88	22	10	11
75	3.54	0.000202	3.69	26	15	0
74	3.21	0.000672	3.17	38	38	22
73	3.8	7.14e-05	4.15	47	40	14
72	3.26	0.000556	3.26	31	31	26
71	3.55	0.000195	3.71	40	14	0
70	3.37	0.00037	3.43	13	25	15
69	3.8	7.31e-05	4.14	38	8	4
68	4.11	1.98e-05	4.7	44	37	24
67	3.28	0.000515	3.29	33	30	24
66	3.9	4.87e-05	4.31	51	41	17
65	3.33	0.000435	3.36	22	15	0
64	3.22	0.000638	3.19	42	33	23
63	3.18	0.00073	3.14	47	37	18
62	3.29	0.000501	3.3	50	28	8
61	3.34	0.000418	3.38	42	12	22
60	3.37	0.000382	3.42	42	17	21
59	3.36	0.000388	3.41	19	35	21
58	3.15	0.000806	3.09	16	17	20
57	3.31	0.00047	3.33	15	37	21
56	3.31	0.000467	3.33	44	44	11
55	3.31	0.000472	3.33	42	37	21
54	3.42	0.000311	3.51	20	27	23
53	3.64	0.000138	3.86	22	52	19
52	3.68	0.000117	3.93	23	50	21
51	3.7	0.000109	3.96	53	26	10
50	3.25	0.000569	3.25	38	56	13
49	3.21	0.000659	3.18	45	52	13
48	3.24	0.000587	3.23	27	21	14
47	3.1	0.000978	3.01	49	46	10
46	3.1	0.000965	3.02	34	49	10
45	3.18	0.000732	3.14	29	50	13
44	3.22	0.000633	3.2	15	25	10
43	3.1	0.000983	3.01	32	45	9
42	3.25	0.000579	3.24	17	44	6
41	3.13	0.000882	3.05	43	43	7
40	3.09	0.000987	3.01	16	29	13
39	3.13	0.000869	3.06	23	44	7
38	3.32	0.000445	3.35	49	43	11
37	3.74	9.07e-05	4.04	20	46	7
36	3.35	0.000403	3.39	22	33	6
35	3.11	0.000947	3.02	18	27	21
34	3.09	0.00099	3	16	33	21
33	3.21	0.000654	3.18	44	33	21
32	3.16	0.0008	3.1	23	34	21
31	3.67	0.000119	3.92	40	11	22
30	3.27	0.000531	3.27	23	32	22
29	3.43	0.000305	3.52	42	21	23
28	3.47	0.000263	3.58	49	45	17
27	3.43	0.000307	3.51	47	42	23
26	3.29	0.000509	3.29	17	25	24
25	3.16	0.000797	3.1	47	26	24
24	3.39	0.000354	3.45	26	29	24
23	3.32	0.000455	3.34	38	14	25
22	3.28	0.000517	3.29	26	22	25
21	3.12	0.000892	3.05	27	31	25
20	3.16	0.000799	3.1	36	33	26
19	3.5	0.000237	3.63	43	42	23
18	3.98	3.39e-05	4.47	14	44	14
17	3.22	0.000651	3.19	52	45	14
16	3.29	0.000505	3.3	15	14	15
15	3.1	0.000953	3.02	18	40	15
14	3.26	0.000548	3.26	41	32	16
13	3.67	0.000122	3.91	29	45	16
12	3.38	0.000356	3.45	35	52	16
11	3.37	0.000382	3.42	47	24	17
10	3.35	0.000399	3.4	21	20	21
9	3.09	0.000985	3.01	29	53	17
8	3.18	0.00074	3.13	14	37	18
7	3.1	0.000968	3.01	35	39	19
