Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
151	259	6.86	19	40	18	19.9	40.2	19.7	396	18	42	19	161
150	167	7.13	16	25	20	16.5	21.5	19.7	395	17	19	23	133
149	165	5.56	36	37	23	32.5	38.9	22.4	319	32	44	21	150
148	128	5.55	23	44	13	24.4	44.1	12.9	478	28	51	12	166
147	97	6.83	49	34	20	48.9	35.5	18.7	213	52	38	16	112
146	75	4.27	41	49	17	39.6	46.6	16.7	292	43	51	19	186
145	65	6.61	23	10	10	22.3	11	11.3	317	24	9	14	166
144	44	4.77	46	23	20	43.3	20.1	20	231	41	16	21	128
143	37	4.91	49	46	17	48.3	45.9	17.8	330	47	47	17	170
142	31	4.65	23	53	15	22.9	52.2	14.6	362	22	52	14	209
141	30	4.39	32	36	11	37.1	38.4	12.1	453	33	36	11	219
140	30	6.16	44	33	22	44.2	33.5	22.3	188	44	33	22	114
139	24	3.9	39	9	2	35.2	8.47	3.32	191	31	8	4	135
138	24	4.67	39	8	12	41.7	9.61	11.4	218	39	8	12	135
137	22	4.26	27	18	17	28	14.6	17.6	254	28	13	18	163
136	15	4.62	40	14	0	38.3	13.8	0	563	40	14	0	283
135	15	4.5	28	13	0	25.5	14	0	402	25	14	0	216
134	12	4.54	47	21	15	47.6	20.5	14.4	182	48	19	14	127
133	11	4.36	47	16	10	47	15.6	9.83	186	47	14	10	143
132	10	3.84	32	36	19	31	34.3	19.1	133	33	36	19	90.4
131	9	4.37	36	37	16	36.1	37.1	15.8	512	35	36	15	262
130	9	4.17	17	50	12	17.6	49.6	12.2	286	18	50	12	198
129	8	4.37	53	24	20	52	22.7	20	188	52	22	20	131
128	7	4.8	19	13	21	18.1	13.3	20.4	245	19	13	20	143
127	7	3.75	44	14	8	44.2	15.4	7.31	487	44	17	7	304
126	6	4.43	26	9	21	27.8	8.35	20.3	255	28	8	20	184
125	6	3.84	29	28	25	29.3	27.7	24.5	120	30	27	24	92.3
124	6	4.29	28	56	17	28.6	54.6	16.9	598	28	56	17	263
123	6	4.32	51	27	8	50.7	27.6	8	183	50	28	8	127
122	6	4.4	50	19	22	50.5	19.5	22	220	50	19	22	164
121	6	5.34	13	23	18	13.3	22.5	18	161	13	22	18	112
120	6	3.69	39	54	12	38.5	54.6	12.3	419	38	53	12	254
119	6	3.42	40	11	10	41.2	12.6	10	168	42	13	10	138
118	5	3.79	16	29	12	16	28.8	12.4	132	15	29	12	114
117	5	3.85	33	42	9	32.8	42.2	9	234	33	42	9	156
116	5	4.57	53	25	22	52.4	25.2	22	191	52	25	22	139
115	5	4.05	48	22	8	47.6	22.2	8	203	48	22	8	158
114	5	4.47	52	29	17	51.8	29.4	17	164	52	29	17	135
113	5	3.96	49	22	18	48.4	22.2	17.4	154	50	22	18	116
112	5	3.47	13	27	12	12.8	26.4	11.6	138	13	27	12	114
111	4	4.05	42	50	13	42.2	50	13	156	43	50	13	118
110	4	4.38	16	40	7	15.5	39.5	7	160	16	40	7	133
109	4	3.48	46	48	10	45.5	47.5	10	308	45	48	10	259
108	4	3.79	37	46	10	37.2	46.7	10	201	37	48	10	157
107	4	3.49	44	22	8	44.5	22	8	173	44	23	8	156
106	4	4.74	41	51	21	40.8	51.4	21	287	41	50	21	207
105	4	3.79	16	23	10	16.3	23.2	10	105	16	23	10	87.8
104	4	4.29	29	37	17	28.3	36.3	16.5	293	29	37	17	187
103	4	3.7	20	25	26	20.5	25.5	26	269	21	25	26	185
102	3	4.11	42	19	8	42	19	8	185	42	19	8	156
101	3	3.52	13	32	17	12.7	32.6	17	91.6	12	33	17	77.6
100	3	4.1	22	56	17	22.3	56	17	306	22	55	17	190
99	3	3.63	45	26	26	44.7	25	26	241	44	24	26	230
98	3	3.79	34	30	26	34.3	30.3	26	224	34	30	26	187
97	3	3.89	44	55	18	43.4	54.7	18	131	43	54	18	92.6
96	3	3.7	27	56	12	27.3	55.7	12	248	28	56	12	196
95	3	3.44	19	45	6	19.7	45.3	6	172	20	45	6	166
94	3	4.27	29	28	22	29.3	27.7	22	106	30	28	22	89.3
93	3	4.75	38	12	24	37.1	12	24	121	38	12	24	105
92	3	3.61	23	52	19	22.7	52.3	19	152	23	53	19	139
91	3	3.73	48	50	14	48.3	49	14.3	220	48	49	14	164
90	2	3.96	42	7	16	42	6.54	16	178	42	7	16	130
89	2	3.22	37	27	28	37.5	26.5	28	146	38	26	28	137
88	2	3.27	36	53	16	36	53.5	16	311	36	54	16	263
87	2	3.2	46	49	16	45.5	49	16	215	45	49	16	208
86	2	3.18	41	36	18	40.5	36	18.5	59.3	41	36	18	57.2
85	2	3.32	31	15	25	31	14.5	25	414	31	15	25	327
84	2	3.28	36	39	19	36	39.5	19	135	36	40	19	118
83	2	3.69	36	8	20	36	8.46	20	116	36	9	20	105
82	2	3.35	23	49	23	22.5	48.5	23	96.5	23	49	23	90.8
81	2	4.55	52	18	20	52	18.4	20	128	52	19	20	114
80	2	3.91	22	53	22	22.5	53	22	87.5	22	53	22	82.8
79	2	3.67	16	33	21	15.5	33	21	113	15	33	21	106
78	2	3.38	38	33	21	38	33.5	21	47.1	38	33	21	46.5
77	2	4.34	43	11	22	42.6	11	22	120	42	11	22	99.1
76	2	3.3	51	25	16	50.5	25	16	138	50	25	16	136
75	2	4.48	28	17	0	28.5	17	0	182	28	17	0	153
74	2	4.37	24	8	4	24.5	8	4	159	25	8	4	141
73	2	3.98	44	10	5	43.5	10.5	5	152	43	11	5	122
72	2	3.35	22	20	9	22	20.5	9	122	22	20	9	107
71	2	3.56	12	28	9	12.5	28	9	101	13	28	9	94.4
70	2	3.63	38	37	27	38	37.5	27	91.4	38	37	27	82.1
69	2	3.6	54	30	10	54	30.5	10	63.6	54	30	10	63.4
68	2	3.71	10	35	10	10.5	35	10.5	107	11	35	11	86.4
67	2	3.48	31	49	10	31	48.5	10	287	31	49	10	217
66	2	3.68	15	16	12	14.5	16	12	76.7	15	16	12	66.7
65	2	4.07	9	28	12	9	28.5	12	52	9	28	12	49.3
64	2	4.1	29	4	14	29.5	4	14	86.5	29	4	14	78
63	2	3.37	39	4	14	39.5	4.49	14	199	40	5	14	145
62	2	3.92	29	6	14	28.5	6	14	107	29	6	14	96.2
