Cluster Index	Z	P	-log10(P)	x	y	z	
115	3.35	0.000401	3.4	62.7	-38.9	-6.68
115	3.33	0.000433	3.36	73	-31.8	-2.56
114	3.79	7.59e-05	4.12	56.2	-24.7	-3.31
113	4.05	2.61e-05	4.58	-52.6	-48	-18.8
112	4.47	3.92e-06	5.41	-65.1	-17.1	27.1
111	3.96	3.73e-05	4.43	-55.2	-39.4	36.3
110	4.05	2.6e-05	4.59	-30.7	47.3	-7.73
109	4.29	8.85e-06	5.05	13	6.91	20.7
108	3.49	0.000243	3.61	-39.1	-48.4	-19.1
107	3.45	0.000277	3.56	-44.5	38.7	-22.8
106	4.38	5.87e-06	5.23	56.3	7.06	-37.1
105	4.74	1.05e-06	5.98	-26.6	57.3	35.7
105	3.33	0.000439	3.36	-23.2	63.7	34.4
104	3.79	7.41e-05	4.13	55.8	-46.1	-10.9
103	3.7	0.000106	3.98	43.6	-25.7	76.4
102	3.78	7.83e-05	4.11	-14.2	31.2	-22.4
101	3.66	0.000125	3.9	46.3	22.9	-45.2
100	3.63	0.000143	3.85	76.6	-7.36	-18.2
99	3.61	0.000153	3.82	34.1	57.1	22.6
98	3.73	9.39e-05	4.03	-50.9	48.8	-1.75
97	3.89	5e-05	4.3	-36.8	68.1	17.1
96	3.71	0.000105	3.98	20.2	64.7	-17.8
95	4.27	9.83e-06	5.01	13	-18.3	53.3
94	3.63	0.000141	3.85	-40.9	-20	77.8
94	3.36	0.000394	3.4	-37.6	-26.6	78.8
93	4.11	2e-05	4.7	-32.5	-58.4	-17.6
92	4.75	1e-06	6	-18	-68.2	74.2
92	3.75	8.69e-05	4.06	-11.2	-68.4	74
91	3.79	7.63e-05	4.12	-3.51	-7.94	74.6
90	4.1	2.08e-05	4.68	37.5	68.5	9.28
89	3.52	0.000218	3.66	66.9	-11	22.3
88	3.98	3.39e-05	4.47	-39.9	-90.2	-28.8
87	4.37	6.29e-06	5.2	27.6	-99.5	-34.7
86	3.45	0.000279	3.55	-62.2	-39.4	13.9
85	4.48	3.65e-06	5.44	14.1	-73	-61.6
84	3.92	4.39e-05	4.36	11.4	-97.1	21.9
83	3.37	0.000378	3.42	-22.5	-103	23.8
82	3.35	0.000411	3.39	35.3	-56.2	-14.2
81	3.56	0.000184	3.74	69.4	-30.9	-19.6
80	3.56	0.000183	3.74	-32.4	-63.2	-5.4
79	3.6	0.000158	3.8	-72.4	-19.5	-11.9
78	4.07	2.34e-05	4.63	79.8	-28.7	-3.29
77	3.68	0.000119	3.93	59	-67.4	4.04
76	3.48	0.000253	3.6	6.21	40.5	-24.5
75	4.1	2.06e-05	4.69	11.3	-104	23
74	3.28	0.000512	3.29	-10.4	15.8	31.1
73	3.18	0.000741	3.13	-27.5	5.63	27.7
72	3.69	0.000113	3.95	-11.7	-84.8	54.3
71	3.35	0.000411	3.39	34.3	50.7	46.4
70	3.32	0.000447	3.35	5.89	-58.2	77.4
69	3.27	0.000541	3.27	-10	59.1	6.6
68	3.2	0.000688	3.16	-44	47	9.67
67	4.54	2.75e-06	5.56	-65.4	-50.6	49.9
66	3.91	4.61e-05	4.34	37.8	62.8	38.5
65	3.3	0.000481	3.32	-62	-31.1	23.8
64	3.23	0.000626	3.2	-13.6	-15.8	87.6
63	4.34	7.08e-06	5.15	-35.1	-72.7	64.2
62	3.96	3.79e-05	4.42	-32.4	-90.9	33.3
61	3.67	0.000119	3.92	57.1	-4.06	44
60	3.38	0.000361	3.44	-17.3	-1.95	45.7
59	3.32	0.000458	3.34	67.3	10.3	29.8
58	3.63	0.000139	3.86	-16.6	16.2	76.4
57	3.17	0.00077	3.11	67.5	12.9	46.4
56	3.48	0.00025	3.6	-3.97	43.2	-30.4
55	3.12	0.000906	3.04	-4.06	-33.4	62.1
54	3.1	0.000954	3.02	-31	-20.4	54.9
53	3.3	0.000476	3.32	-10.6	-20.1	60
52	3.13	0.000878	3.06	-10.9	-42.2	69.5
