Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
103	4	3.57	-22.2	-85.5	26.5	-27.1	-83	26.2	300	-22.2	-85.5	26.5	262
102	4	3.35	-72.5	-35	-3.51	-70.8	-33.5	-3.84	310	-69.2	-35.1	-3.59	243
101	4	3.75	0.0375	69.4	-12.4	1.68	69.3	-12.5	776	0.0375	69.4	-12.4	594
100	4	3.75	27.6	-99.5	-34.7	25.9	-99	-32	313	24.3	-98.5	-29.1	259
99	4	3.65	25.8	-26.3	3.48	25.9	-21.6	2.66	192	25.8	-26.3	3.48	164
98	4	3.68	34.1	57.1	22.6	32.5	58.8	22.4	394	30.8	60.5	22.2	351
97	4	3.59	49.2	-4.26	-46.2	46.7	-7.4	-45.6	350	49.2	-4.26	-46.2	294
96	4	3.51	-25.7	-95.2	28.2	-27.4	-95.2	28.3	799	-29.1	-91.9	27.8	597
95	3	3.51	-56.1	-68.3	1.8	-55	-70.5	2.15	309	-56.1	-71.5	2.37	301
94	3	3.55	-15.9	-96.5	-0.0883	-15.9	-95.1	1.52	465	-12.6	-96.6	-0.168	376
93	3	3.7	-16.3	-101	-27.6	-13.2	-101	-27.7	444	-16.3	-101	-27.6	356
92	3	4.08	14.1	-73	-61.6	13	-73.9	-61.4	374	14.1	-73	-61.6	302
91	3	3.85	38.8	-40.7	-22.6	39.8	-39.7	-22.9	281	38.8	-40.7	-22.6	247
90	3	3.42	-35.5	-54.9	4.54	-34.4	-53.9	4.33	414	-32.2	-55	4.47	384
89	3	3.47	2.96	5.61	32.5	2.96	5.91	34.3	282	-0.374	8.98	32	272
88	3	3.46	37.4	30.9	49.7	38.5	33.3	51.1	468	37.4	30.9	49.7	351
87	3	3.39	-18	-46.2	42.1	-16.9	-47.3	42.3	291	-14.7	-46.3	42	243
86	3	3.75	66.3	-44.6	22.5	67.4	-45.7	22.6	389	69.7	-44.7	22.4	306
85	3	4.11	33.4	-22.9	70.5	33.3	-22.9	70.5	365	30	-22.8	70.6	335
84	3	3.88	-34.5	-21.1	49.5	-33.3	-20.1	49.3	242	-34.5	-21.1	49.5	198
83	2	3.4	66.9	17.5	-11	66.9	15.9	-10.7	212	66.9	14.3	-10.4	211
82	2	3.28	-49	-57	10.9	-49	-55.4	10.7	230	-49	-57	10.9	216
81	2	3.29	34.3	-80.1	-60.9	36	-78.6	-61.2	483	37.8	-77	-61.5	468
80	2	3.72	56.2	3.78	-36.5	57.9	3.73	-36.6	402	56.2	3.78	-36.5	347
79	2	3.45	12.9	-7.78	34.5	11.3	-7.73	34.6	192	12.9	-7.78	34.5	177
78	2	3.74	-54.7	-20.5	50	-53.1	-20.6	50	220	-54.7	-20.5	50	203
77	2	3.26	47.4	32.2	37.9	49.1	32.2	37.9	572	47.4	32.2	37.9	456
76	2	3.88	-10.3	-5.32	68.7	-10.3	-6.89	69	271	-10.4	-8.59	69.3	250
75	2	3.44	-8	-64.5	56.3	-7.98	-62.9	56	361	-7.95	-61.2	55.7	348
74	2	3.56	-12.4	-81	-8.53	-12.4	-82.6	-8.24	344	-12.4	-81	-8.53	326
73	2	3.48	15.1	-84.9	36.6	13.5	-84.8	36.6	415	15.1	-84.9	36.6	374
72	2	3.53	-62.9	-71.4	2.53	-62.9	-69.8	2.26	178	-62.8	-68.1	1.96	164
71	2	3.78	-41	17.4	14.7	-39.5	17.4	14.7	183	-41	17.4	14.7	173
70	2	3.18	76.7	-28.5	19.4	76.7	-30.1	19.7	138	76.7	-31.8	19.9	137
69	2	3.57	12.8	-45.3	75	12.8	-43.7	74.7	260	12.8	-45.3	75	256
68	2	3.52	-36.3	-74.7	-37.2	-34.7	-74.8	-37.2	425	-36.3	-74.7	-37.2	406
67	2	3.35	-58	-7.35	47.8	-57.9	-5.77	47.5	261	-58	-7.35	47.8	224
66	2	4.16	1.82	-73.8	40.7	1.84	-72.3	40.4	355	1.82	-73.8	40.7	331
65	2	3.25	39.6	15.8	-26.8	41.3	15.7	-26.9	322	39.6	15.8	-26.8	303
64	2	3.98	73.2	-46.4	33.9	71.6	-47.9	34.2	185	69.8	-49.5	34.5	170
63	2	3.44	49.4	5.56	-48	51	5.51	-48	303	49.4	5.56	-48	280
62	2	3.29	40.7	52.8	17.6	40.8	54.4	17.3	320	40.8	56.1	17	277
61	1	3.51	16.6	0.364	44.3	16.6	0.364	44.3	156	16.6	0.364	44.3	156
60	1	3.31	-26.6	57.3	35.7	-26.6	57.3	35.7	462	-26.6	57.3	35.7	462
59	1	3.12	-21.4	-68.9	68.8	-21.4	-68.9	68.8	424	-21.4	-68.9	68.8	424
58	1	3.97	-3.97	43.2	-30.4	-3.97	43.2	-30.4	393	-3.97	43.2	-30.4	393
