Cluster Index	Z	x	y	z	
59	3.12	-21.4	-68.9	68.8
58	3.97	-3.97	43.2	-30.4
57	3.1	-22.4	-70.9	-10
56	3.15	9.42	-37	62.3
55	3.26	53.1	-54.7	64.2
54	3.22	-45.1	5.07	-22.6
53	3.21	-30.9	-19.5	60.4
52	3.14	10.6	48.1	47.5
51	3.31	62.4	-39	-29.3
50	3.15	23.3	-16.9	64.1
49	3.34	24.8	-68.2	-28.8
48	3.13	35.9	9.22	-48.2
47	3.78	59.5	2	-47.6
46	3.17	16	-61.7	77.8
45	3.28	28.8	-13.5	-44.1
44	3.1	-17.8	-60.8	78.6
43	3.44	43.2	-49.4	74.8
42	3.24	45.4	-34.5	-46.5
41	3.22	-14.2	-44.5	75.6
40	3.45	3.94	-81.7	-54.1
39	3.49	20.7	39.7	60
38	3.16	62.7	-10.4	-39.9
37	3.47	70.2	2.75	2.82
36	3.14	-47.4	55.2	-2.97
35	3.37	8.97	-50.2	42
34	3.17	-28.7	-81.9	48.6
33	3.2	59.3	-61.6	20
32	3.13	8.44	-89.5	48.9
31	4.2	73.3	-22.7	12.8
30	3.78	-0.602	12.2	8.85
29	3.7	2.51	12	-13.8
28	3.12	44.3	68.3	9.12
27	3.42	-26.9	68.6	-0.225
26	3.21	3.16	30.1	16.9
25	3.27	23.6	48.3	7.52
24	3.49	-12	-93.9	38.9
23	3.34	25.3	-81.9	35.8
22	3.12	33	-16.6	24.2
21	3.15	45.9	-59.5	31.3
20	3.21	3.74	72.7	9.5
19	3.21	-14.2	-25	49.6
18	4	70.2	-33.9	48.8
17	3.26	39.6	-46.1	51.8
16	3.41	29.6	11.2	-14.5
15	3.33	53.4	23.6	-17.3
14	3.32	56.5	-46.6	51.4
13	3.13	-14.7	-57.7	55.3
12	3.25	27.6	71.3	26
11	3.2	-28.2	-49.2	42.9
10	3.21	19.7	-10.4	40.5
9	3.36	-36.8	69	22.6
8	3.21	59.9	-1.92	-7.38
7	3.4	-25	-28.2	5.24
6	3.12	23.2	1.76	32.6
5	3.2	-10.6	33.7	-5.92
4	3.43	57.2	48.1	-10.4
3	3.16	40.5	58.4	-11.7
2	3.15	46.2	-48	40.6
1	3.1	-53.9	44.1	33.1
