Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
53	1	3.45	31	14	1	31	14	1	273	31	14	1	273
52	1	3.22	37	19	25	37	19	25	205	37	19	25	205
51	1	3.23	19	28	4	19	28	4	197	19	28	4	197
50	1	3.44	20	18	25	20	18	25	321	20	18	25	321
49	1	3.1	38	14	25	38	14	25	287	38	14	25	287
48	1	3.21	24	34	5	24	34	5	246	24	34	5	246
47	1	3.17	28	14	25	28	14	25	410	28	14	25	410
46	1	3.15	30	22	23	30	22	23	299	30	22	23	299
45	1	3.79	15	39	5	15	39	5	198	15	39	5	198
44	1	3.14	30	48	23	30	48	23	388	30	48	23	388
43	1	3.21	42	27	23	42	27	23	217	42	27	23	217
42	1	3.13	22	41	5	22	41	5	561	22	41	5	561
41	1	3.34	25	17	6	25	17	6	319	25	17	6	319
40	1	4	12	24	21	12	24	21	190	12	24	21	190
39	1	3.26	17	17	23	17	17	23	229	17	17	23	229
38	1	3.12	39	12	23	39	12	23	423	39	12	23	423
37	1	3.15	26	28	24	26	28	24	159	26	28	24	159
36	1	3.37	30	19	19	30	19	19	242	30	19	19	242
35	1	3.17	41	9	19	41	9	19	338	41	9	19	338
34	1	3.13	30	7	19	30	7	19	346	30	7	19	346
33	1	3.49	12	37	14	12	37	14	196	12	37	14	196
32	1	3.14	47	52	14	47	52	14	339	47	52	14	339
31	1	3.2	15	17	15	15	17	15	291	15	17	15	291
30	1	4.2	11	29	15	11	29	15	255	11	29	15	255
29	1	3.21	32	57	17	32	57	17	350	32	57	17	350
28	1	3.13	37	16	21	37	16	21	237	37	16	21	237
27	1	3.78	33	39	15	33	39	15	1.01e+03	33	39	15	1.01e+03
26	1	3.21	32	44	17	32	44	17	310	32	44	17	310
25	1	3.43	41	56	15	41	56	15	172	41	56	15	172
24	1	3.12	23	30	17	23	30	17	129	23	30	17	129
23	1	3.15	19	17	17	19	17	17	194	19	17	17	194
22	1	3.27	26	50	16	26	50	16	265	26	50	16	265
21	1	3.34	25	10	17	25	10	17	349	25	10	17	349
20	1	3.49	36	6	17	36	6	17	370	36	6	17	370
19	1	3.12	20	56	17	20	56	17	144	20	56	17	144
18	1	3.26	21	20	21	21	20	21	303	21	20	21	303
17	1	3.32	16	20	21	16	20	21	253	16	20	21	253
16	1	3.7	32	40	11	32	40	11	473	32	40	11	473
15	1	3.33	17	44	11	17	44	11	587	17	44	11	587
14	1	3.25	25	56	20	25	56	20	170	25	56	20	170
13	1	3.26	10	35	12	10	35	12	156	10	35	12	156
12	1	3.1	49	47	20	49	47	20	170	49	47	20	170
11	1	3.21	27	31	20	27	31	20	157	27	31	20	157
10	1	3.16	21	54	13	21	54	13	244	21	54	13	244
9	1	3.36	44	55	19	44	55	19	155	44	55	19	155
8	1	3.4	40	27	13	40	27	13	169	40	27	13	169
7	1	3.12	26	35	19	26	35	19	158	26	35	19	158
6	1	3.37	11	39	13	11	39	13	175	11	39	13	175
5	1	3.2	36	46	13	36	46	13	273	36	46	13	273
4	1	3.45	16	51	13	16	51	13	289	16	51	13	289
3	1	3.16	19	20	19	19	20	19	174	19	20	19	174
2	1	3.2	41	19	19	41	19	19	251	41	19	19	251
1	1	3.22	15	36	12	15	36	12	208	15	36	12	208
