Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
130	26	3.8	20.1	7.66	48.6	23.4	6.17	56.8	774	20.4	16.7	64	419
129	17	4.3	-44.4	-13.4	54.1	-41	-18.8	55.9	537	-44.4	-13.4	54.1	365
128	17	4.3	33.5	-22.1	76	36	-18.9	72.5	768	33.5	-22.1	76	493
127	15	4.46	-46.1	-79.2	-2.23	-47.4	-73.3	-3.22	802	-49.5	-75.9	-2.72	568
126	14	3.79	-13.5	11.1	65.9	-13.5	7.69	66.9	544	-10.1	5.35	72.5	420
125	13	4.07	-17.2	27.4	18	-11.3	27.4	21.7	532	-3.61	24.6	23.7	447
124	13	3.83	-41.1	2.74	28.6	-48.5	3.56	32.5	376	-44.5	2.83	28.7	321
123	12	3.44	-32.4	-66.5	-4.83	-31.9	-72	-3.9	624	-32.4	-66.5	-4.83	486
122	11	4.67	-6.75	32.9	33.7	-7.33	34.4	34.8	720	-6.7	36.2	33.1	548
121	10	3.98	31.5	-88	-2.91	35.2	-85.9	-3.38	543	31.5	-88	-2.91	444
120	9	4.36	-34.3	28.6	1.28	-34.7	30.1	1.03	489	-34.2	31.9	0.709	410
119	9	3.68	53.9	14.8	35.1	51.3	13	34.9	747	53.9	14.8	35.1	577
118	8	3.89	31.8	-87.9	19.7	28.5	-86.6	19.5	707	28.4	-87.8	19.8	555
117	8	4.18	10.2	8.05	71.4	11.7	6.23	71.1	700	6.81	4.87	72.1	553
116	8	3.47	-47.4	47.1	9.75	-42.4	42.8	10.3	568	-40.7	43.6	10.2	487
115	8	4.03	-33.7	20.7	59.2	-30.1	14	56.1	609	-33.7	20.7	59.2	440
114	7	4.03	-13.7	55.8	-15.3	-13.8	56	-15.4	1.27e+03	-17.1	55.9	-15.3	911
113	7	4.1	49.8	-37.5	44.3	47.4	-35.2	44	515	46.4	-37.4	44.4	383
112	6	3.23	37.2	48	7.2	34.9	48	3.53	840	37.1	52.8	-4.95	563
111	6	3.75	47	16.6	23.7	40.9	14.7	24.2	560	43.6	16.7	23.8	450
110	6	3.83	-30.4	45	20.9	-30.9	44.4	20.2	664	-30.4	45	20.9	509
109	6	3.68	13.8	40.6	43.1	13.3	39.2	41.6	520	17.1	37.2	43.6	415
108	5	4.5	8.02	-85.6	8.65	9.48	-85	8.51	525	8.02	-85.6	8.65	407
107	5	3.53	6.38	3.08	38.5	10.3	0.443	38.8	437	9.71	-0.288	39	355
106	5	4.37	-10.3	8.52	49.3	-11	10.4	49	485	-10.3	8.52	49.3	383
105	5	4.46	37	7.18	48.2	40.3	7.09	48.1	555	43.8	6.99	48.1	458
104	5	4.14	-34.7	-12.2	19.7	-36	-14.7	20.2	398	-38.1	-12.1	19.8	364
103	5	4.09	-61.5	27.7	-9.09	-63.5	28.2	-6.86	352	-64.8	28.7	-3.51	329
102	4	3.59	33.4	30	-0.876	29.3	26.9	-0.224	354	30	26.8	-0.226	294
101	4	3.65	2.62	10.4	-2.24	2.55	12	-2.51	1.18e+03	2.62	10.4	-2.24	863
100	4	4.32	-58	-16.3	55	-58.2	-18	54.1	388	-58.1	-19.6	55.6	331
99	4	3.61	23.6	-5.43	73.4	23.6	-3.82	73.1	694	23.6	-5.43	73.4	643
