Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1	0.000607	3.22	3.24	-48.1	0.398	12.2	-48.1	0.398	12.2	222	-48.1	0.398	12.2	222
9	1	0.000641	3.19	3.22	63.1	7.71	-31.8	63.1	7.71	-31.8	196	63.1	7.71	-31.8	196
8	1	0.000456	3.34	3.32	-72.3	-1.56	-26.3	-72.3	-1.56	-26.3	120	-72.3	-1.56	-26.3	120
7	1	0.000716	3.15	3.19	-68.4	0.973	12.7	-68.4	0.973	12.7	152	-68.4	0.973	12.7	152
6	1	0.000968	3.01	3.1	33.4	-17.2	63.9	33.4	-17.2	63.9	218	33.4	-17.2	63.9	218
5	1	0.000423	3.37	3.34	-38.2	22.8	-37.2	-38.2	22.8	-37.2	475	-38.2	22.8	-37.2	475
4	1	0.000306	3.51	3.43	42.7	4.16	-36.2	42.7	4.16	-36.2	179	42.7	4.16	-36.2	179
3	1	0.000633	3.2	3.22	-54.7	4.71	17.3	-54.7	4.71	17.3	170	-54.7	4.71	17.3	170
2	1	0.00099	3	3.09	22.1	-21.5	-31.2	22.1	-21.5	-31.2	504	22.1	-21.5	-31.2	504
1	1	0.000605	3.22	3.24	-11.2	1.68	-17.3	-11.2	1.68	-17.3	569	-11.2	1.68	-17.3	569
