Cluster Index	Z	P	-log10(P)	x	y	z	
158	3.51	0.000225	3.65	39	21	7
158	3.18	0.00073	3.14	39	19	6
157	4.87	5.72e-07	6.24	41	25	24
156	3.7	0.000109	3.96	22	15	2
155	3.86	5.76e-05	4.24	25	23	1
154	3.21	0.000663	3.18	40	50	16
154	3.2	0.000694	3.16	43	50	16
153	3.94	4.12e-05	4.39	41	56	16
152	3.32	0.000444	3.35	30	34	26
151	4.21	1.27e-05	4.89	21	31	9
150	3.88	5.23e-05	4.28	20	15	4
149	3.83	6.5e-05	4.19	22	36	22
148	4.15	1.66e-05	4.78	24	47	15
147	3.89	4.92e-05	4.31	49	47	12
146	3.5	0.000237	3.63	32	31	15
145	3.5	0.000231	3.64	53	35	14
144	3.65	0.000129	3.89	52	20	20
143	4.49	3.62e-06	5.44	15	21	6
142	3.96	3.69e-05	4.43	35	48	13
141	3.68	0.000117	3.93	32	15	24
140	5.15	1.31e-07	6.88	48	50	14
139	3.24	0.000596	3.22	39	12	3
138	3.9	4.8e-05	4.32	20	37	11
137	4.21	1.26e-05	4.9	34	34	14
136	3.76	8.38e-05	4.08	23	26	25
135	4.31	7.99e-06	5.1	36	36	8
134	3.51	0.000222	3.65	44	22	25
133	3.32	0.000448	3.35	41	10	7
132	3.44	0.000287	3.54	48	18	3
131	3.82	6.74e-05	4.17	30	36	7
130	3.63	0.000144	3.84	48	25	5
129	3.44	0.000293	3.53	37	25	27
128	3.68	0.000118	3.93	48	12	12
127	3.8	7.27e-05	4.14	17	36	7
126	3.62	0.000147	3.83	47	49	16
125	3.93	4.28e-05	4.37	38	43	5
124	3.22	0.00063	3.2	32	35	10
124	3.22	0.000643	3.19	34	35	10
123	3.26	0.000549	3.26	40	40	16
122	3.63	0.000143	3.85	24	38	11
121	3.46	0.000272	3.57	32	41	18
120	3.32	0.00045	3.35	37	35	25
120	3.1	0.000975	3.01	37	37	26
119	3.42	0.000314	3.5	29	42	18
118	4.15	1.66e-05	4.78	25	41	5
117	3.29	0.000503	3.3	25	29	10
116	4.1	2.08e-05	4.68	20	22	25
115	3.24	0.000595	3.23	39	8	12
114	3.85	5.93e-05	4.23	53	28	8
113	3.44	0.000293	3.53	19	41	11
112	3.17	0.000757	3.12	44	34	11
111	3.39	0.000343	3.46	31	39	8
110	3.34	0.000426	3.37	23	25	11
109	3.32	0.000442	3.35	48	28	25
