Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
129	3	0.000293	3.53	3.44	37	25	27	37.7	25.3	27
128	3	0.000118	3.93	3.68	48	12	12	48.6	11.7	12
127	3	7.27e-05	4.14	3.8	17	36	7	17.6	35.7	7
126	3	0.000147	3.83	3.62	47	49	16	46.7	48.7	16
125	3	4.28e-05	4.37	3.93	38	43	5	38.7	42.7	5
124	3	0.00063	3.2	3.22	32	35	10	33	35	10
123	3	0.000549	3.26	3.26	40	40	16	39.3	39.7	16
122	3	0.000143	3.85	3.63	24	38	11	24	38.3	10.7
121	3	0.000272	3.57	3.46	32	41	18	32.3	41.3	18
120	3	0.00045	3.35	3.32	37	35	25	37	36	25.3
119	3	0.000314	3.5	3.42	29	42	18	29.3	41.7	18.3
118	3	1.66e-05	4.78	4.15	25	41	5	24.7	40.7	5
117	3	0.000503	3.3	3.29	25	29	10	25.3	30	10
116	2	2.08e-05	4.68	4.1	20	22	25	20.5	22	25
115	2	0.000595	3.23	3.24	39	8	12	38.5	8	12
114	2	5.93e-05	4.23	3.85	53	28	8	53	28.5	8
113	2	0.000293	3.53	3.44	19	41	11	19.5	41	11
112	2	0.000757	3.12	3.17	44	34	11	44	33.5	11
111	2	0.000343	3.46	3.39	31	39	8	30.5	39.5	8.49
110	2	0.000426	3.37	3.34	23	25	11	22.5	25	11
109	2	0.000442	3.35	3.32	48	28	25	48	28.5	25
108	2	0.000294	3.53	3.44	32	39	21	32.5	39	21
107	2	0.000474	3.32	3.31	26	13	2	26.5	12.5	2
106	2	9.07e-06	5.04	4.29	18	43	8	17.6	43	8
105	2	0.000831	3.08	3.14	38	9	2	38.5	9	2
104	2	0.000279	3.55	3.45	39	6	10	38.5	6.48	10
103	2	7.58e-05	4.12	3.79	31	27	27	30.5	27	27.5
102	2	0.000289	3.54	3.44	35	35	27	35.5	35	27
101	2	0.000603	3.22	3.24	38	35	27	38.5	35	27
100	2	0.000125	3.9	3.66	50	27	8	50	27.5	8
99	2	9.99e-05	4	3.72	47	44	22	46.5	44.5	22
98	2	0.000408	3.39	3.35	55	32	16	55	31.5	16
97	2	0.000272	3.57	3.46	44	29	13	44	29.5	13
96	2	0.000399	3.4	3.35	43	43	21	42.5	43	21
95	2	2.19e-05	4.66	4.09	16	21	15	16	21.4	15
94	2	0.000329	3.48	3.41	52	38	14	52.5	38	14
93	2	2.2e-05	4.66	4.09	36	51	16	35.5	51	16
92	2	0.00035	3.46	3.39	34	49	20	34	48.5	19.5
91	2	0.000233	3.63	3.5	42	18	24	42.5	18	24
90	2	0.000504	3.3	3.29	36	39	21	36	39.5	21
89	2	0.000721	3.14	3.19	29	14	18	28.5	14.5	18
88	2	0.000251	3.6	3.48	52	26	17	52	25.5	17
87	2	0.00014	3.86	3.63	34	40	7	33.5	40	7
86	2	0.00012	3.92	3.67	31	35	20	30.5	35	20
85	2	0.000273	3.56	3.46	38	32	5	38	31.5	5
84	2	0.000134	3.87	3.64	45	11	19	45	10.5	18.5
83	1	0.000638	3.2	3.22	39	9	5	39	9	5
82	1	0.000381	3.42	3.37	25	29	3	25	29	3
81	1	0.000702	3.15	3.19	27	17	4	27	17	4
80	1	0.000446	3.35	3.32	25	37	3	25	37	3
79	1	0.000338	3.47	3.4	27	48	8	27	48	8
78	1	0.000536	3.27	3.27	34	8	2	34	8	2
77	1	0.000876	3.06	3.13	41	44	4	41	44	4
76	1	0.000599	3.22	3.24	47	41	4	47	41	4
75	1	0.000896	3.05	3.12	36	34	9	36	34	9
74	1	4.41e-05	4.36	3.92	26	38	5	26	38	5
73	1	0.000154	3.81	3.61	39	40	4	39	40	4
72	1	0.000543	3.27	3.27	33	36	6	33	36	6
71	1	0.000685	3.16	3.2	12	38	8	12	38	8
70	1	0.000985	3.01	3.09	37	33	3	37	33	3
69	1	0.000577	3.24	3.25	30	20	2	30	20	2
68	1	0.000683	3.17	3.2	41	25	4	41	25	4
67	1	0.000971	3.01	3.1	54	31	8	54	31	8
66	1	0.000744	3.13	3.18	21	34	7	21	34	7
65	1	0.000419	3.38	3.34	25	35	7	25	35	7
64	1	0.000576	3.24	3.25	28	16	2	28	16	2
63	1	0.000109	3.96	3.7	48	44	5	48	44	5
62	1	0.000837	3.08	3.14	43	42	16	43	42	16
61	1	0.000629	3.2	3.23	16	46	16	16	46	16
60	1	0.000867	3.06	3.13	34	49	16	34	49	16
59	1	0.000901	3.05	3.12	40	6	17	40	6	17
58	1	0.000795	3.1	3.16	27	36	18	27	36	18
57	1	0.000377	3.42	3.37	14	38	18	14	38	18
56	1	0.000449	3.35	3.32	43	12	19	43	12	19
55	1	0.000816	3.09	3.15	38	17	19	38	17	19
54	1	2.39e-05	4.62	4.07	46	51	19	46	51	19
53	1	0.000757	3.12	3.17	13	26	20	13	26	20
52	1	0.000445	3.35	3.32	39	53	20	39	53	20
51	1	0.000688	3.16	3.2	53	24	21	53	24	21
50	1	0.000577	3.24	3.25	39	29	21	39	29	21
49	1	0.000966	3.01	3.1	41	39	21	41	39	21
48	1	0.000871	3.06	3.13	20	35	13	20	35	13
47	1	0.000923	3.03	3.11	18	34	22	18	34	22
46	1	0.00069	3.16	3.2	42	46	22	42	46	22
45	1	0.000302	3.52	3.43	39	15	23	39	15	23
44	1	0.000655	3.18	3.21	16	33	23	16	33	23
43	1	0.000622	3.21	3.23	36	34	23	36	34	23
42	1	0.000467	3.33	3.31	20	18	24	20	18	24
41	1	0.00079	3.1	3.16	35	17	25	35	17	25
40	1	0.000975	3.01	3.1	36	31	25	36	31	25
39	1	7.91e-05	4.1	3.78	31	17	26	31	17	26
38	1	5.67e-05	4.25	3.86	30	19	26	30	19	26
37	1	0.000527	3.28	3.28	25	21	26	25	21	26
36	1	0.000628	3.2	3.23	41	21	26	41	21	26
35	1	0.000261	3.58	3.47	35	22	26	35	22	26
34	1	0.000764	3.12	3.17	39	32	27	39	32	27
33	1	0.000948	3.02	3.11	32	24	28	32	24	28
32	1	0.00066	3.18	3.21	40	26	22	40	26	22
31	1	0.000463	3.33	3.31	17	46	9	17	46	9
30	1	0.000551	3.26	3.26	40	49	9	40	49	9
29	1	0.000346	3.46	3.39	29	5	10	29	5	10
28	1	0.000618	3.21	3.23	33	12	10	33	12	10
27	1	0.000286	3.54	3.44	53	24	10	53	24	10
26	1	0.000752	3.12	3.17	52	28	10	52	28	10
25	1	0.000437	3.36	3.33	48	32	11	48	32	11
24	1	0.000582	3.24	3.25	39	36	11	39	36	11
23	1	0.000266	3.57	3.46	47	47	11	47	47	11
22	1	0.000919	3.04	3.12	43	6	12	43	6	12
21	1	0.000407	3.39	3.35	22	13	12	22	13	12
20	1	0.000622	3.21	3.23	52	36	12	52	36	12
19	1	0.000938	3.03	3.11	30	43	12	30	43	12
18	1	0.000298	3.53	3.43	51	44	12	51	44	12
17	1	0.000133	3.88	3.65	11	35	16	11	35	16
16	1	0.000787	3.1	3.16	38	6	13	38	6	13
15	1	0.000158	3.8	3.6	12	21	13	12	21	13
14	1	0.000667	3.18	3.21	48	23	13	48	23	13
13	1	0.000363	3.44	3.38	39	14	0	39	14	0
12	1	0.000943	3.03	3.11	32	39	13	32	39	13
11	1	0.000285	3.54	3.45	39	17	14	39	17	14
10	1	0.000892	3.05	3.12	52	31	14	52	31	14
9	1	0.000853	3.07	3.14	26	6	15	26	6	15
8	1	0.000513	3.29	3.28	50	12	15	50	12	15
7	1	9.71e-05	4.01	3.73	52	27	15	52	27	15
6	1	0.000288	3.54	3.44	13	39	15	13	39	15
5	1	0.000641	3.19	3.22	44	11	16	44	11	16
4	1	0.000334	3.48	3.4	47	16	16	47	16	16
3	1	0.000104	3.98	3.71	26	23	16	26	23	16
2	1	0.000496	3.3	3.29	43	31	16	43	31	16
1	1	0.000575	3.24	3.25	36	4	13	36	4	13
