Cluster Index	Z	P	-log10(P)		x	y	z	
80	7.53	2.61e-14	13.6	19	40	18
80	7.05	8.9e-13	12.1	34	37	23
80	6.94	1.97e-12	11.7	16	17	20
80	6.91	2.36e-12	11.6	16	21	23
80	6.76	6.98e-12	11.2	15	25	21
80	6.7	1.05e-11	11	49	34	20
79	4.59	2.24e-06	5.65	20	37	11
79	4.13	1.84e-05	4.74	21	34	11
78	4.19	1.4e-05	4.85	26	6	9
78	3.88	5.13e-05	4.29	27	8	9
77	4.73	1.1e-06	5.96	48	22	17
76	4.68	1.45e-06	5.84	41	44	4
75	4.66	1.6e-06	5.8	35	37	6
75	3.86	5.56e-05	4.26	34	35	6
74	4.01	3.03e-05	4.52	33	45	11
73	4.85	6.23e-07	6.21	26	30	3
72	4.01	2.97e-05	4.53	35	47	13
71	4.32	7.65e-06	5.12	41	36	18
70	3.92	4.37e-05	4.36	25	46	7
69	3.64	0.000135	3.87	38	8	8
68	3.95	3.91e-05	4.41	31	56	20
67	3.43	0.000302	3.52	40	41	6
66	4.34	7.27e-06	5.14	41	39	5
65	3.62	0.000149	3.83	23	40	3
64	3.84	6.16e-05	4.21	39	50	11
63	3.99	3.25e-05	4.49	34	50	11
62	4.3	8.4e-06	5.08	30	46	13
61	3.67	0.000121	3.92	34	40	7
60	3.75	8.79e-05	4.06	21	10	7
59	3.63	0.000143	3.84	31	49	10
58	3.79	7.6e-05	4.12	51	15	11
57	3.78	7.96e-05	4.1	46	42	4
56	3.93	4.32e-05	4.36	40	34	6
55	3.66	0.000128	3.89	22	53	22
54	3.62	0.000148	3.83	30	39	6
53	3.6	0.000159	3.8	25	42	6
52	3.9	4.81e-05	4.32	47	43	7
51	3.77	8.09e-05	4.09	44	33	8
50	3.41	0.000327	3.49	17	46	9
49	3.41	0.00032	3.49	24	57	18
48	3.82	6.6e-05	4.18	42	7	9
47	3.39	0.000347	3.46	34	43	9
46	3.61	0.000155	3.81	43	10	10
45	3.61	0.000155	3.81	26	21	15
44	3.88	5.13e-05	4.29	29	4	15
43	3.82	6.66e-05	4.18	42	26	13
42	3.17	0.000765	3.12	34	42	13
41	3.14	0.000844	3.07	38	53	13
40	3.6	0.000161	3.79	30	54	11
39	3.65	0.00013	3.89	42	51	13
38	3.35	0.00041	3.39	16	40	7
37	3.31	0.000462	3.33	27	57	20
36	3.1	0.000951	3.02	52	22	22
35	3.37	0.000376	3.42	50	49	14
34	3.64	0.000137	3.86	13	37	14
33	3.47	0.000264	3.58	54	21	19
32	3.3	0.000483	3.32	36	27	23
31	3.26	0.000564	3.25	35	21	5
30	3.44	0.000286	3.54	39	51	13
29	3.24	0.000591	3.23	49	39	4
28	3.12	0.000907	3.04	23	18	4
27	3.23	0.000622	3.21	48	40	23
26	3.17	0.000755	3.12	31	21	24
25	3.41	0.000325	3.49	42	38	3
24	3.12	0.000902	3.04	41	17	26
23	3.26	0.000561	3.25	47	16	1
22	3.53	0.000206	3.69	51	23	6
21	3.42	0.000319	3.5	39	24	15
20	3.26	0.000551	3.26	11	37	11
19	3.48	0.000252	3.6	33	39	15
18	4.12	1.89e-05	4.72	42	7	16
17	3.15	0.000822	3.09	21	14	11
16	3.31	0.000472	3.33	29	26	16
15	3.13	0.000868	3.06	46	38	10
14	3.24	0.000594	3.23	35	38	10
13	3.16	0.000791	3.1	22	28	10
12	3.56	0.000184	3.74	37	57	18
11	3.6	0.000158	3.8	46	9	12
10	3.16	0.000782	3.11	10	35	12
9	3.97	3.64e-05	4.44	38	5	9
8	3.59	0.000168	3.77	10	23	13
7	3.28	0.000511	3.29	18	43	8
6	3.23	0.000623	3.21	32	37	8
5	3.13	0.000879	3.06	52	33	8
4	3.21	0.000657	3.18	32	23	13
3	3.34	0.00042	3.38	54	31	8
2	3.11	0.000945	3.02	31	58	18
1	4.07	2.36e-05	4.63	27	7	18
