Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
84	3	0.000188	3.72	3.56	48	39	23	48.3	38.4	23	651	48	38	23	496
83	3	6.48e-05	4.19	3.83	35	56	18	35	56	18	1.05e+03	34	55	18	814
82	3	4.35e-05	4.36	3.92	41	56	16	40.7	55.4	16	883	41	55	16	727
81	3	3.32e-05	4.48	3.99	37	7	17	37.3	6.69	17	905	37	7	17	720
80	3	0.000184	3.73	3.56	42	8	17	42	8	17	852	41	8	17	735
79	2	0.000135	3.87	3.64	39	27	6	39	26.5	6	376	39	27	6	364
78	2	0.000262	3.58	3.47	23	22	14	23.5	22	14	697	24	22	14	630
77	2	0.000186	3.73	3.56	34	54	20	34	53.5	20	1.57e+03	34	53	20	1.52e+03
76	2	0.00014	3.85	3.63	39	17	14	39	17.5	14	421	39	17	14	368
75	2	0.000727	3.14	3.18	25	14	7	25.5	14	7.5	860	26	14	8	660
74	2	0.000192	3.72	3.55	31	41	22	31	41.5	22	468	31	42	22	456
73	2	0.000207	3.68	3.53	33	17	11	32.5	17.5	11	581	33	17	11	565
72	2	0.000247	3.61	3.48	34	52	18	34	51.5	18	821	34	51	18	747
71	2	0.000665	3.18	3.21	18	39	18	17.5	39	18	397	18	39	18	373
70	2	0.000226	3.65	3.51	29	56	11	29	55.5	11	431	29	55	11	404
69	2	0.000102	3.99	3.71	30	43	12	30	42.5	12	431	30	43	12	371
68	2	0.000118	3.93	3.68	29	39	12	29	39.5	12	450	29	39	12	391
67	2	0.000635	3.2	3.22	14	31	22	14	31.5	22	518	14	31	22	491
66	2	0.00042	3.38	3.34	48	27	8	47.5	27	8	611	47	27	8	539
65	2	7.82e-05	4.11	3.78	44	34	9	44	34.5	9	340	44	34	9	314
64	2	0.000899	3.05	3.12	31	33	17	31.5	33.5	17	1.39e+03	31	33	17	1.38e+03
63	2	0.000809	3.09	3.15	16	28	24	16.5	28	24.5	465	16	28	24	402
62	2	8.23e-05	4.08	3.77	18	40	4	17.5	40	4	365	18	40	4	295
61	2	0.000659	3.18	3.21	42	14	4	41.5	14	4	479	42	14	4	467
60	2	0.000112	3.95	3.69	47	49	15	46.5	49	15	736	47	49	15	669
59	2	0.000182	3.74	3.56	19	21	3	19	21.5	3	375	19	21	3	371
58	1	0.000431	3.37	3.33	41	50	20	41	50	20	661	41	50	20	661
57	1	0.000398	3.4	3.35	22	23	9	22	23	9	285	22	23	9	285
56	1	0.000307	3.51	3.43	40	24	9	40	24	9	664	40	24	9	664
55	1	6.49e-05	4.19	3.83	17	38	9	17	38	9	309	17	38	9	309
54	1	0.000123	3.91	3.67	52	42	8	52	42	8	317	52	42	8	317
53	1	0.000297	3.53	3.43	26	41	9	26	41	9	604	26	41	9	604
52	1	0.000342	3.47	3.4	11	31	20	11	31	20	242	11	31	20	242
51	1	0.000961	3.02	3.1	38	20	20	38	20	20	304	38	20	20	304
50	1	0.000707	3.15	3.19	41	12	22	41	12	22	428	41	12	22	428
49	1	0.000122	3.91	3.67	48	40	7	48	40	7	396	48	40	7	396
48	1	0.000624	3.2	3.23	42	34	7	42	34	7	411	42	34	7	411
47	1	0.000792	3.1	3.16	18	34	22	18	34	22	286	18	34	22	286
46	1	0.000695	3.16	3.2	15	22	7	15	22	7	781	15	22	7	781
45	1	0.000514	3.29	3.28	31	46	22	31	46	22	432	31	46	22	432
44	1	0.000164	3.79	3.59	46	16	23	46	16	23	525	46	16	23	525
43	1	0.000616	3.21	3.23	52	25	23	52	25	23	300	52	25	23	300
42	1	0.000689	3.16	3.2	31	39	23	31	39	23	369	31	39	23	369
41	1	0.000406	3.39	3.35	32	19	24	32	19	24	756	32	19	24	756
40	1	0.000791	3.1	3.16	40	35	5	40	35	5	543	40	35	5	543
39	1	0.000881	3.06	3.13	19	21	5	19	21	5	386	19	21	5	386
38	1	0.000436	3.36	3.33	39	13	3	39	13	3	340	39	13	3	340
37	1	0.000367	3.43	3.38	43	25	2	43	25	2	566	43	25	2	566
36	1	0.000603	3.22	3.24	35	39	26	35	39	26	1.18e+03	35	39	26	1.18e+03
35	1	0.000851	3.07	3.14	17	13	14	17	13	14	509	17	13	14	509
34	1	0.000777	3.11	3.16	14	38	18	14	38	18	413	14	38	18	413
33	1	0.000214	3.67	3.52	18	19	18	18	19	18	418	18	19	18	418
32	1	0.000864	3.06	3.13	33	9	18	33	9	18	600	33	9	18	600
31	1	0.000143	3.85	3.63	12	37	14	12	37	14	344	12	37	14	344
30	1	0.000447	3.35	3.32	33	37	14	33	37	14	974	33	37	14	974
29	1	0.000366	3.44	3.38	52	40	14	52	40	14	332	52	40	14	332
28	1	0.000859	3.07	3.14	31	50	14	31	50	14	565	31	50	14	565
27	1	0.000656	3.18	3.21	17	41	17	17	41	17	362	17	41	17	362
26	1	0.000932	3.03	3.11	46	51	14	46	51	14	568	46	51	14	568
25	1	0.000256	3.59	3.47	38	38	17	38	38	17	525	38	38	17	525
24	1	0.000957	3.02	3.1	36	32	17	36	32	17	1.38e+03	36	32	17	1.38e+03
23	1	0.000224	3.65	3.51	31	15	17	31	15	17	349	31	15	17	349
22	1	0.000803	3.1	3.15	48	41	15	48	41	15	299	48	41	15	299
21	1	0.000587	3.23	3.25	42	39	16	42	39	16	328	42	39	16	328
20	1	0.000975	3.01	3.1	38	56	15	38	56	15	403	38	56	15	403
19	1	0.000961	3.02	3.1	16	24	16	16	24	16	238	16	24	16	238
18	1	0.000911	3.04	3.12	41	14	16	41	14	16	394	41	14	16	394
17	1	0.000199	3.7	3.54	46	51	19	46	51	19	309	46	51	19	309
16	1	0.000709	3.15	3.19	55	32	10	55	32	10	199	55	32	10	199
15	1	0.000845	3.07	3.14	54	34	10	54	34	10	357	54	34	10	357
14	1	0.000933	3.03	3.11	40	43	10	40	43	10	424	40	43	10	424
13	1	0.000739	3.13	3.18	41	35	19	41	35	19	239	41	35	19	239
12	1	0.000777	3.11	3.16	45	18	19	45	18	19	379	45	18	19	379
11	1	0.000288	3.54	3.44	46	14	11	46	14	11	420	46	14	11	420
10	1	0.000623	3.21	3.23	20	15	11	20	15	11	402	20	15	11	402
9	1	0.000551	3.26	3.26	49	15	11	49	15	11	393	49	15	11	393
8	1	7.28e-05	4.14	3.8	37	53	18	37	53	18	516	37	53	18	516
7	1	0.000779	3.11	3.16	29	50	18	29	50	18	356	29	50	18	356
6	1	0.000694	3.16	3.2	24	50	18	24	50	18	416	24	50	18	416
5	1	0.000745	3.13	3.18	48	25	12	48	25	12	319	48	25	12	319
4	1	0.000272	3.57	3.46	30	39	18	30	39	18	275	30	39	18	275
3	1	0.000638	3.2	3.22	28	19	13	28	19	13	946	28	19	13	946
2	1	0.000795	3.1	3.16	29	26	13	29	26	13	764	29	26	13	764
1	1	3.31e-06	5.48	4.51	32	6	14	32	6	14	1.26e+03	32	6	14	1.26e+03
