Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
129	26	3.8	27	36	22	26.1	35.2	23.4	774	27	38	25	418
128	17	4.3	46	29	22	45	27.4	22.2	537	46	29	22	365
127	17	4.3	23	26	26	22.3	27.1	25.5	768	23	26	26	493
126	15	4.46	46	12	10	46.4	13.8	10	802	47	13	10	568
125	14	3.78	37	36	25	37	34.9	25.1	544	36	34	26	420
124	13	3.83	45	35	18	47.2	35	18.7	376	46	35	18	321
123	13	4.06	38	43	17	36.3	42.9	17.7	532	34	42	18	447
122	12	3.44	42	16	10	41.8	14.3	10	624	42	16	10	486
121	11	4.67	35	44	20	35.2	44.4	20.2	720	35	45	20	547
120	10	3.98	23	10	10	21.9	10.7	10	543	23	10	10	444
119	9	3.68	17	39	20	17.8	38.4	19.9	746	17	39	20	577
118	9	4.36	43	44	14	43.1	44.4	14	489	43	45	14	410
117	8	3.88	23	9	14	24	9.37	14	706	24	9	14	555
116	8	4.18	30	35	26	29.5	34.5	25.9	700	31	34	26	553
115	8	4.03	43	39	24	41.9	37.2	23.3	608	43	39	24	440
114	8	3.46	47	49	16	45.5	47.7	16	567	45	48	16	487
113	7	4.1	18	23	20	18.7	23.7	20	515	19	23	20	383
112	7	4.03	37	53	12	37	53	12	1.27e+03	38	53	12	910
111	6	3.23	22	50	16	22.7	50.2	15.3	839	22	52	14	563
110	6	3.75	19	40	18	20.8	39.4	18	559	20	40	18	450
109	6	3.83	42	48	18	42.2	47.8	17.8	664	42	48	18	508
108	6	3.68	29	46	22	29.1	45.6	21.7	520	28	45	22	415
107	5	4.37	36	36	22	36.2	36.6	22	485	36	36	22	383
106	5	4.5	30	10	12	29.6	10.2	12	525	30	10	12	407
105	5	4.46	22	36	22	21	36	22	554	20	36	22	458
104	5	3.53	31	35	20	29.8	34.2	20	437	30	34	20	355
103	5	4.14	43	31	16	43.4	30.2	16	398	44	31	16	364
102	4	3.58	23	45	14	24.2	44	14	354	24	44	14	294
101	4	3.81	42	46	22	42.5	45	22	919	42	46	22	789
100	4	3.64	32	39	13	32	39.5	13	1.18e+03	32	39	13	863
99	4	4.32	50	28	22	50	27.5	21.8	388	50	27	22	331
98	4	3.61	26	31	26	26	31.5	26	694	26	31	26	643
97	3	3.7	17	29	20	17	29	20	382	17	29	20	337
96	3	3.24	45	33	22	45.7	33.3	22	320	45	33	22	295
95	3	3.53	41	33	26	40.7	33.3	25.7	512	40	33	26	396
94	3	3.47	28	42	15	28.3	41.4	15	603	29	41	15	546
93	3	3.6	15	37	20	14.7	36.4	20	672	15	37	20	645
92	3	3.45	19	31	22	18.3	31.3	22	384	19	31	22	341
91	3	3.75	41	26	22	40.1	26	22	374	41	26	22	288
90	3	3.72	30	45	24	30.6	45.3	24	976	30	45	24	768
89	3	4.05	17	19	10	17.3	18.7	10	450	17	19	10	392
88	3	3.45	51	43	16	50.3	43.3	16	386	51	43	16	384
87	3	3.58	25	45	23	25.7	45.3	23	807	26	46	23	780
86	3	3.38	52	31	14	52.7	30.7	14	444	53	31	14	428
85	3	3.74	34	37	12	34.6	36.7	12	679	35	37	12	576
84	3	3.75	48	39	12	48.6	39.3	12	538	48	39	12	485
83	3	3.68	27	47	17	27	47.9	17.6	449	27	49	18	356
82	3	3.34	26	34	13	26.3	34.3	13.3	425	26	35	14	335
81	3	3.38	23	17	18	22.7	16.7	18	366	23	17	18	352
80	3	3.9	17	50	12	17	50	12	597	17	50	12	512
79	3	3.42	52	38	15	52.6	37.7	14.4	403	52	38	15	324
78	2	3.57	23	47	18	23.5	47	18	389	23	47	18	360
77	2	3.36	19	27	22	18.5	27	21.5	310	18	27	21	295
76	2	3.52	35	44	16	35	43.5	16	426	35	43	16	368
75	2	3.33	22	46	20	22.5	46	20	400	23	46	20	392
74	2	3.47	25	23	22	25.5	23	22	410	25	23	22	355
73	2	3.45	12	32	18	12.5	31.5	18	452	13	31	18	436
72	2	3.59	41	50	21	41	49.5	21	758	41	49	21	745
71	2	3.68	30	8	4	30.5	8	4	461	30	8	4	451
70	2	3.2	17	40	5	17	39.5	5	373	17	39	5	359
69	2	3.39	42	19	8	42	19.5	8	475	42	20	8	470
68	2	3.25	45	24	8	45	23.5	8	419	45	23	8	400
67	2	3.39	37	49	10	37	48.5	10	585	37	49	10	537
66	2	3.29	45	11	12	45	11.5	12	351	45	11	12	348
65	2	3.23	19	28	12	18.5	28	12	348	18	28	12	321
64	2	3.63	49	24	20	49	24.5	20	339	49	24	20	308
63	2	3.43	37	33	13	37	32.5	13	272	37	32	13	272
62	2	3.65	46	52	13	45.5	52	13	598	46	52	13	561
61	2	3.46	43	25	16	42.5	25	16	399	43	25	16	353
60	2	3.46	11	35	16	11	35	15.5	277	11	35	16	274
59	2	3.55	38	53	14	38.5	53	14	420	39	53	14	391
58	2	4.39	48	50	14	48	49.5	14	751	48	49	14	667
57	2	3.73	51	44	12	51	43.5	12	352	51	43	12	315
56	2	3.39	30	32	23	29.5	32	23	309	29	32	23	301
55	2	3.19	34	30	14	33.5	30	14	613	33	30	14	506
54	2	3.24	37	11	14	37.5	11	14	258	38	11	14	252
53	2	3.65	23	53	22	22.5	53	22	293	23	53	22	285
52	1	3.86	41	39	21	41	39	21	331	41	39	21	331
51	1	3.18	22	40	23	22	40	23	484	22	40	23	484
50	1	3.2	33	36	21	33	36	21	601	33	36	21	601
49	1	3.32	45	39	23	45	39	23	315	45	39	23	315
48	1	3.11	32	39	22	32	39	22	349	32	39	22	349
