Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)
80	9682	7.53	47	16.6	23.7	2.07	-21.7	17.5
79	13	4.59	42.9	0.988	-13.1	42	-6.38	-11.8
78	12	4.19	21.1	-102	-5.89	17.4	-99.4	-5.29
77	10	4.73	-51.9	-40.4	30.8	-53.6	-38.9	32.1
76	8	4.68	-28.3	20	-53.9	-33.7	18.6	-54.1
75	8	4.66	-8.17	-1.79	-39.4	-5.34	-4.3	-39
74	8	4.01	-0.654	28.4	-16.6	-0.174	32	-19.9
73	7	4.85	21.7	-28.1	-52.6	21.8	-28.7	-53.3
72	6	4.01	-7.17	36.9	-6.57	-7.75	33.2	-5.92
71	5	4.32	-27.5	5.63	27.7	-26.1	7.55	28.3
70	4	3.92	26.1	27.6	-39.8	26.2	26	-39.6
69	4	3.64	-19.4	-94.8	-11.6	-17.8	-96.5	-11.3
68	4	3.95	7.31	71.8	26.5	9.06	71.8	26.5
67	4	3.43	-24.9	11.8	-41.3	-24.9	13.4	-41.6
66	4	4.34	-28.4	4.49	-45.6	-30.1	3.05	-45.3
65	4	3.62	32.3	4.35	-58.6	29.9	6.92	-57.7
64	4	3.84	-20.7	45.4	-19	-19.1	43.8	-18.7
63	4	3.99	-3.81	44.9	-19.4	-0.478	46.4	-19.7
62	4	4.3	9.69	33.1	-6.4	10.5	33.2	-5.2
61	3	3.67	-4.57	8.78	-35.7	-1.33	8.69	-35.8
60	3	3.75	38	-90.7	-19.6	40.3	-87.7	-20.2
59	3	3.63	6.21	40.5	-24.5	6.22	39.7	-22.6
58	3	3.79	-62.8	-68.1	1.96	-64	-65.9	1.62
57	2	3.78	-45.3	13.9	-52.4	-46.8	14	-52.3
56	2	3.93	-25.2	-11.1	-37.3	-25.2	-9.69	-37.5
55	2	3.66	37.8	62.8	38.5	36.2	62.9	38.5
54	2	3.62	8.83	4.28	-40.9	10.4	4.23	-41
53	2	3.6	25.9	13.6	-43	27.5	13.6	-43.1
52	2	3.9	-48.4	19.8	-36.4	-48.4	19.5	-38.8
51	2	3.77	-38.6	-12.3	-25.4	-37.1	-12.4	-25.4
50	2	3.41	53.3	28.5	-29.4	51.6	26.5	-31.8
49	2	3.41	30.9	72.8	14.4	29.2	72.8	14.4
48	2	3.82	-32.9	-96.8	-5.2	-31.3	-96.9	-5.23
47	2	3.39	-4.28	20.3	-26.4	-2.63	18.6	-26.1
46	2	3.61	-36.1	-86.1	-1.33	-34.5	-86.1	-1.36
45	2	3.61	22.3	-47.5	18.6	20.6	-47.4	18.6
44	2	3.88	11.4	-103	28.5	11.3	-103	25.9
43	2	3.82	-31.8	-31.2	5.97	-33.4	-31.2	6.01
42	2	3.17	-4.01	20.4	-3.8	-5.69	20.4	-3.76
41	2	3.14	-17	56.8	-9.76	-18.7	58	-12.7
40	2	3.6	9.89	57.6	-22	8.25	57.7	-21.9
39	2	3.65	-30.7	50.6	-8.3	-30.7	49	-8.02
38	1	3.35	56.3	7.06	-37.1	56.3	7.06	-37.1
37	1	3.31	20.9	74.7	25.6	20.9	74.7	25.6
36	1	3.1	-65	-35.8	58.6	-65	-35.8	58.6
35	1	3.37	-57.7	45.7	-1.02	-57.7	45.7	-1.02
34	1	3.64	66.8	2.85	2.9	66.8	2.85	2.9
33	1	3.47	-72.1	-41.4	42.8	-72.1	-41.4	42.8
32	1	3.3	-10.6	-20.1	60	-10.6	-20.1	60
31	1	3.26	-8.96	-55	-35.8	-8.96	-55	-35.8
30	1	3.44	-20.5	50.3	-8.54	-20.5	50.3	-8.54
