Cluster Index	Z	x	y	z	
148	5.56	57.6	32	37.7
148	5.05	20.7	39.7	60
148	4.9	44.2	39.7	42.3
148	4.69	40.9	57.8	28
148	4.64	40.9	62.6	15.8
148	4.48	37.6	53	40.2
147	5.12	3.41	63.6	-5.87
147	4.9	46.8	27.9	-12.2
147	4.57	-0.609	31.7	-17.2
147	4.52	23.1	34.3	-18.3
147	4.36	29.9	34.1	-18.5
147	4.32	3.04	51.3	-20.7
146	4.85	-36.2	-75.5	-20.1
146	4.39	-52.9	-65.2	-21.4
146	4.29	-42.8	-65.5	-21.7
146	4.17	-56.1	-56.9	-11.5
146	4.09	-49.4	-63.6	-10.5
146	4.05	-19.3	-79.2	-19.9
145	5.01	42.8	-65	60.6
145	4.78	29	-76.2	51.6
145	4.43	46	-66.8	49.5
145	4.35	36	-65.7	55.3
145	4.16	59.6	-60.7	48.1
145	3.72	35.5	-82.2	35.5
144	4.72	2.09	-73.7	63.3
144	4.26	2.43	-58.9	72
144	4.05	-11.3	-65.9	68
144	3.71	-21.8	-78	53.4
144	3.7	1.89	-78.7	52.8
144	3.65	-18.1	-69.9	63.2
143	4.78	-37.5	46.7	-13.1
143	4.24	-47.8	48.6	-24.4
143	4.24	-44.4	42.8	-17.8
143	3.9	-27.4	49.7	-13.9
143	3.86	-47.9	36.3	-16.6
143	3.71	-51.4	26.6	-14.8
142	5.33	42.5	-62.7	32
142	4.45	32.3	-63.3	26.7
142	4.17	52.5	-59	14.1
142	4	45.8	-61.2	20.3
141	4.57	27.2	64.6	4.58
141	4.53	17.2	66.6	15.8
141	4.37	6.82	55.4	6.77
141	4.18	17.1	68.2	4.25
141	3.94	10.6	76.6	14.3
141	3.71	3.35	48.9	7.99
140	4.11	4.29	-80.8	-26
140	4.03	0.857	-89.6	-18.7
140	3.71	11.1	-83.4	-20.1
139	3.75	34.9	-65.2	-29.6
139	3.72	34.9	-74.2	-22.4
138	3.84	-51.9	-59.9	56.8
138	3.72	-41.8	-66.8	57.7
137	4.02	39	-43.9	0.517
137	4	35.5	-50.4	1.74
137	3.72	32	-60.9	-1.97
137	3.45	28.6	-66.5	4.75
136	4.31	-34.7	21.2	-25.7
136	4.04	-28	23.4	-31.9
136	3.85	-41.3	31.2	-27.2
136	3.84	-41.4	24.6	-26.1
135	5.11	23.2	15.6	13.2
135	4.1	19.7	5.87	15
134	4.13	35	-84	1.94
134	3.49	35.2	-76.6	6.31
134	3.43	48.7	-80.2	6.56
133	3.66	10.6	57.1	40.3
133	3.38	20.8	60	39.5
132	3.59	10.4	21.1	69.2
132	3.44	7.22	40	60.3
132	3.42	10.5	33.4	61.4
132	3.34	0.235	23.9	63.3
131	4.12	11.7	-91.3	37.8
131	3.3	1.39	-95.1	33.1
130	4.8	-28.4	-59	44.6
129	4.82	-55.5	-0.451	-38.3
129	4.37	-62.3	-3.53	-37.6
128	4.26	40.2	24.9	11.1
127	4.67	-42.6	-83.3	15.3
127	3.24	-36.1	-97.5	12
126	3.62	-28.8	-80.3	37
126	3.54	-35.3	-71.9	47.1
125	4.3	42.1	-55.5	-8.86
124	3.71	19.8	4.29	26.6
123	3.8	30.5	7.47	71
123	3.3	27.3	17.4	69.3
122	3.98	64	28.4	15.5
122	3.8	57.3	34.3	9.01
121	4.91	33	29.1	-29
120	3.99	-44	61.7	-4.19
120	3.46	-37.2	61.5	-4.35
119	3.65	-49	-20.3	-35
119	3.53	-42.1	-16.4	-30.2
118	3.66	-10.6	5.15	27.3
117	4.17	25.2	-74.6	17.6
116	3.91	-33.5	37.1	56.3
116	3.44	-30.2	24.7	64
115	3.45	-18.9	-92.1	27.5
115	3.36	-12.2	-95.6	27.9
114	3.28	-3.27	45.1	25.8
114	3.24	-13.1	62.6	28.7
114	3.21	-6.48	52.6	30.2
113	3.49	56	-68.8	38.3
112	3.96	-41.6	-33.3	34.9
112	3.18	-44.9	-26.6	33.8
111	3.83	66.1	-55.2	18.7
110	3.77	-13.1	37.3	61.4
110	3.65	-16.6	30.9	62.6
110	3.28	-19.9	40	55.4
109	3.64	45.4	-45	-27.7
108	3.84	13.3	35.5	10
108	3.34	6.5	32.5	10.8
107	3.66	15	-55.6	-13.7
106	3.94	37.1	33.3	21.1
106	3.72	43.9	39.6	19.8
105	3.76	-5.76	-93.5	-0.897
104	4.02	-39.2	-88.3	27.4
103	3.31	17.8	-78.7	-32.4
102	3.59	-23.2	52.3	47.7
101	3.75	-10.6	22.3	7.37
100	3.66	56.2	-47.6	23.3
99	3.62	-30.5	46.6	9.35
98	3.57	-21.7	-57.6	32.9
97	3.75	20.2	56.6	-5.13
96	3.84	-17.4	42	-18.5
95	3.15	25.6	-8.45	-33.5
94	4	24	58.3	28.4
93	3.24	13.4	25	28.8
93	3.22	6.73	29.3	33.9
92	3.66	-19.3	-96.4	-0.00902
91	3.5	-22.5	-60.3	-28.8
90	3.86	50.6	52.4	-5.27
89	3.26	-7.94	-30.2	16.4
89	3.16	-1.3	-34.5	11.3
88	3.43	-24.2	33.2	-11.1
87	3.4	-72.6	-44	3.7
86	3.99	46.3	20.4	-39.2
85	3.92	-26.8	69.4	5.28
84	3.83	-6.37	70.5	15.8
83	3.99	-15.4	-90.6	38.4
82	3.56	-32.2	-86.8	38.3
81	3.56	-50.7	20.3	54.1
80	3.62	1.14	-39	-61.4
79	3.55	6.8	24.4	46.1
78	3.53	-1.9	-63.3	-0.61
77	3.21	50.3	13.2	24.2
76	3.63	-21.9	-60.1	16.4
75	3.47	32.4	-45.3	12.3
74	3.18	24.7	-77.2	-21.5
73	3.56	-2.92	65.6	27.9
72	3.64	-22.1	-34.2	-33.4
71	3.51	13.4	64.1	-23.2
70	3.48	-3.17	57.3	18
69	3.15	57.1	-17.9	63.3
68	3.78	-38.5	-8.22	-20.5
67	3.12	6.05	-6	23.1
66	3.22	63.8	-9.96	50.4
65	3.71	9.48	22.4	-10.2
64	3.77	49.3	4.72	-53.5
63	3.69	-47.5	46.2	4.25
62	3.21	-33	-78.1	-36.7
61	3.56	45	-58.2	-48
60	3.68	12.7	9.24	-7.98
59	3.34	-52.4	-31.6	-21.6
58	3.19	-28.3	-69.6	63.4
57	3.67	-65.3	17.9	-29.9
56	3.43	-25.4	-41.3	-15.1
55	3.83	53	2.29	-24.9
54	3.43	22.7	13	-25.9
53	3.33	-26.8	53.2	30.7
52	3.4	73.8	-11.9	39.2
51	3.35	35.4	-46.3	-15.9
50	3.16	50.4	0.249	49
49	3.67	-51.9	10.1	-34.6
48	3.23	-31.9	-10.1	-31.6
47	3.28	7.02	40.8	43.2
46	3.2	58.9	-52	-26.9
45	3.59	-44.9	-55.2	67
44	3.23	-64.8	-25.1	62.4
43	3.2	6.79	18.7	52.7
42	3.35	2.61	-45.8	69.7
41	3.16	-25.2	-8.7	-43.4
40	3.13	45.1	-56.6	-37
39	3.24	-6.49	21.6	69.6
38	3.33	-23	-82.5	-41.9
37	3.38	-36.1	-43.7	-53.9
36	3.1	-18	-45.4	47.6
35	3.52	49.5	-52.2	35.6
34	3.63	70.2	2.75	2.82
33	3.32	-0.77	4.76	4.48
32	3.38	-64.9	16.4	4.28
31	3.14	6.57	47.1	-3.1
30	3.13	-1.7	-83.5	42.5
29	3.11	-44.1	51.8	-2.48
28	3.44	-46	-71.8	2.13
