Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
23	5	4.07	26	12	14	26.2	12.2	14	180	26	12	14	169
22	4	3.49	44	21	17	43.5	21.5	17	147	44	21	17	134
21	4	3.77	38	31	5	37.8	31	5	1.78e+03	38	31	5	1.42e+03
20	4	3.88	35	15	17	35.5	15	17	234	36	15	17	207
19	4	3.58	22	17	16	22.5	16.5	16	195	22	16	16	175
18	4	3.82	43	25	2	43	24.8	2	351	44	25	2	325
17	2	3.4	24	14	5	24.5	14	5	158	24	14	5	157
16	2	3.82	22	16	5	21.5	16	5	203	21	16	5	200
15	1	3.16	40	31	4	40	31	4	240	40	31	4	240
14	1	3.23	18	21	5	18	21	5	171	18	21	5	171
13	1	3.28	20	26	5	20	26	5	241	20	26	5	241
12	1	3.23	12	37	8	12	37	8	127	12	37	8	127
11	1	3.27	23	20	10	23	20	10	184	23	20	10	184
10	1	3.31	11	32	10	11	32	10	210	11	32	10	210
9	1	3.14	16	41	11	16	41	11	257	16	41	11	257
8	1	3.26	26	46	14	26	46	14	160	26	46	14	160
7	1	3.24	19	16	17	19	16	17	190	19	16	17	190
6	1	3.59	45	17	17	45	17	17	172	45	17	17	172
5	1	3.34	21	42	17	21	42	17	137	21	42	17	137
4	1	3.49	23	24	24	23	24	24	182	23	24	24	182
3	1	3.14	28	45	25	28	45	25	317	28	45	25	317
2	1	3.52	30	19	26	30	19	26	220	30	19	26	220
1	1	3.12	40	46	12	40	46	12	226	40	46	12	226
