Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
96	6196	2.2e-13	12.7	7.24	16	21	23	31.2	32.2	15.4	1.54e+03	39	30	5	348
95	42	1.5e-06	5.82	4.67	34	50	11	33.1	49.9	11	597	33	45	11	438
94	31	6.86e-06	5.16	4.35	39	24	26	39.6	24.8	25.6	552	39	24	26	329
93	18	1.08e-05	4.97	4.25	25	10	17	26.4	9.4	16.8	388	26	10	17	310
92	16	8.56e-08	7.07	5.23	31	23	15	32.2	23	15.1	393	31	23	15	276
91	13	8.97e-07	6.05	4.78	55	26	13	53.5	25.6	13	542	54	25	13	343
90	12	3.61e-06	5.44	4.49	38	8	3	35.9	8.33	3.22	388	33	9	3	300
89	12	4.04e-05	4.39	3.94	27	24	27	27	25.3	27	816	26	25	27	523
88	10	1.15e-05	4.94	4.23	37	14	0	38.8	13.7	0	916	40	14	0	605
87	10	8.6e-07	6.07	4.78	35	47	13	34.8	46	13	385	35	46	13	320
86	8	4.71e-06	5.33	4.43	25	14	0	24.7	13.9	0	760	25	14	0	512
85	8	3.47e-05	4.46	3.98	39	8	15	39	7.26	15	694	40	6	15	367
84	6	9.41e-05	4.03	3.73	34	43	9	33.5	43.5	9	836	33	44	9	565
83	6	2.26e-05	4.65	4.08	36	54	11	35.5	54	11	581	35	55	11	480
82	6	3.34e-05	4.48	3.99	49	30	14	49.7	28.8	14.3	379	50	29	15	298
81	6	7.32e-05	4.14	3.8	26	22	25	24.9	22.3	24.7	344	25	22	25	268
80	6	2.11e-05	4.68	4.1	36	34	21	35.8	33.8	21	235	36	34	21	203
79	5	0.000177	3.75	3.57	30	6	14	30	6.98	14.4	307	30	6	14	239
78	5	3.5e-05	4.46	3.98	49	22	17	48.4	22.7	17	297	48	23	17	267
77	4	3.75e-05	4.43	3.96	20	15	9	20	15.2	9	388	20	15	9	331
76	4	1.43e-05	4.84	4.18	26	27	15	26.5	27.5	15	279	26	27	15	232
75	4	0.000381	3.42	3.37	54	23	15	53.5	23.5	15	376	54	24	15	329
74	4	0.000509	3.29	3.29	44	32	8	43.8	33	8	221	43	34	7	182
73	4	7.82e-05	4.11	3.78	37	56	13	37.5	56.5	13	534	37	56	13	405
72	4	0.000217	3.66	3.52	35	19	19	35.5	19.5	19	300	36	19	19	275
71	4	1.31e-06	5.88	4.7	43	14	23	43.9	14.5	23	457	44	14	23	409
70	3	3.12e-05	4.51	4	49	14	11	48.7	14.3	11	312	49	14	11	278
69	3	0.000221	3.66	3.51	45	22	23	45.3	21.7	23	338	45	21	23	298
68	3	0.000308	3.51	3.42	46	9	13	46	9.97	13	471	46	9	13	392
67	3	5.59e-05	4.25	3.86	46	10	15	45.7	9.36	15	419	46	10	15	396
66	3	0.000509	3.29	3.29	45	27	9	44.7	27.3	9	177	45	28	9	159
65	3	0.000315	3.5	3.42	20	34	13	19.7	34.3	13	366	19	34	13	306
64	3	0.000142	3.85	3.63	24	36	8	23.3	36.3	8	236	24	36	8	194
63	3	3.67e-05	4.44	3.96	20	46	7	19.7	46.3	7	366	20	46	7	276
62	3	0.000212	3.67	3.52	47	38	16	48	38	16	269	49	38	16	243
61	3	3.93e-05	4.41	3.95	36	6	17	36.6	6.31	17	430	37	7	17	370
60	3	0.000553	3.26	3.26	31	20	4	30	19.7	3.01	230	30	20	3	213
59	3	0.000251	3.6	3.48	42	20	1	42.6	20.3	1	252	43	21	1	234
58	2	0.000555	3.26	3.26	23	34	8	23.5	34	8	370	23	34	8	310
57	2	0.000375	3.43	3.37	41	8	6	41	8.49	6	293	41	9	6	236
56	2	0.000216	3.67	3.52	46	43	5	46	42.5	5	212	46	42	5	208
55	2	4.42e-05	4.35	3.92	51	15	11	51.4	15.4	11	185	51	15	11	157
54	2	0.000343	3.46	3.4	15	24	4	15	23.5	4	322	15	24	4	278
53	2	0.000731	3.14	3.18	43	26	13	42.5	26	13	150	42	26	13	141
52	2	0.000817	3.09	3.15	37	25	3	36.5	24.5	3	365	37	25	3	339
51	2	1.55e-05	4.81	4.17	15	28	23	14.5	28	23	290	15	28	23	237
50	2	0.000436	3.36	3.33	43	27	21	43.5	27	21	198	44	27	21	183
49	2	0.000288	3.54	3.44	39	43	15	39	43.5	15	291	39	43	15	270
48	2	3.08e-05	4.51	4.01	13	37	14	12.5	37	14	275	13	37	14	234
47	2	0.000313	3.5	3.42	41	10	15	41	10.5	15	273	41	10	15	220
46	1	0.000852	3.07	3.14	45	26	7	45	26	7	224	45	26	7	224
45	1	0.000511	3.29	3.28	40	34	6	40	34	6	219	40	34	6	219
44	1	0.000989	3	3.09	14	33	6	14	33	6	180	14	33	6	180
43	1	0.000431	3.37	3.33	51	23	6	51	23	6	181	51	23	6	181
42	1	0.000266	3.58	3.46	27	21	6	27	21	6	151	27	21	6	151
41	1	0.000633	3.2	3.22	49	36	16	49	36	16	170	49	36	16	170
40	1	0.000563	3.25	3.26	30	14	17	30	14	17	210	30	14	17	210
39	1	0.000224	3.65	3.51	41	39	5	41	39	5	149	41	39	5	149
38	1	0.000104	3.98	3.71	25	8	5	25	8	5	301	25	8	5	301
37	1	0.000838	3.08	3.14	41	30	4	41	30	4	153	41	30	4	153
36	1	0.000281	3.55	3.45	51	23	4	51	23	4	124	51	23	4	124
35	1	0.000285	3.55	3.45	37	54	18	37	54	18	426	37	54	18	426
34	1	0.000514	3.29	3.28	40	57	18	40	57	18	173	40	57	18	173
33	1	0.000121	3.92	3.67	30	9	3	30	9	3	245	30	9	3	245
32	1	0.000715	3.15	3.19	29	38	26	29	38	26	646	29	38	26	646
31	1	0.000375	3.43	3.37	23	30	2	23	30	2	360	23	30	2	360
30	1	0.000491	3.31	3.3	21	18	19	21	18	19	204	21	18	19	204
29	1	0.000987	3.01	3.09	29	18	21	29	18	21	179	29	18	21	179
28	1	0.000654	3.18	3.21	47	16	1	47	16	1	201	47	16	1	201
27	1	0.00048	3.32	3.3	31	14	1	31	14	1	246	31	14	1	246
26	1	4.81e-05	4.32	3.9	28	17	0	28	17	0	344	28	17	0	344
25	1	0.000762	3.12	3.17	27	17	24	27	17	24	211	27	17	24	211
24	1	0.00029	3.54	3.44	48	27	21	48	27	21	140	48	27	21	140
23	1	0.00079	3.1	3.16	36	6	14	36	6	14	228	36	6	14	228
22	1	0.00093	3.03	3.11	36	30	25	36	30	25	205	36	30	25	205
21	1	0.0003	3.52	3.43	44	20	13	44	20	13	169	44	20	13	169
20	1	0.000643	3.19	3.22	37	49	24	37	49	24	176	37	49	24	176
19	1	0.000498	3.3	3.29	54	30	12	54	30	12	168	54	30	12	168
18	1	0.000614	3.21	3.23	42	21	23	42	21	23	222	42	21	23	222
17	1	0.000957	3.02	3.1	40	20	26	40	20	26	186	40	20	26	186
16	1	0.000608	3.22	3.24	34	36	11	34	36	11	390	34	36	11	390
15	1	0.000882	3.05	3.13	28	32	11	28	32	11	175	28	32	11	175
14	1	0.000869	3.06	3.13	20	34	22	20	34	22	204	20	34	22	204
13	1	0.000605	3.22	3.24	36	37	10	36	37	10	569	36	37	10	569
12	1	0.000708	3.15	3.19	45	35	10	45	35	10	232	45	35	10	232
11	1	0.000434	3.36	3.33	33	37	14	33	37	14	527	33	37	14	527
10	1	0.000825	3.08	3.15	51	31	15	51	31	15	258	51	31	15	258
9	1	0.000641	3.19	3.22	14	40	8	14	40	8	196	14	40	8	196
8	1	0.000456	3.34	3.32	54	36	8	54	36	8	120	54	36	8	120
7	1	0.000607	3.22	3.24	47	35	15	47	35	15	222	47	35	15	222
6	1	0.000716	3.15	3.19	53	35	15	53	35	15	152	53	35	15	152
5	1	0.000423	3.37	3.34	44	44	7	44	44	7	475	44	44	7	475
