Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
148	229	1.38e-08	7.86	5.56	57.6	32	37.7	42.9	35.4	41.5	2.35e+03	44	57.6	5.33	828
147	138	1.55e-07	6.81	5.12	3.41	63.6	-5.87	14.2	44.6	-14.1	1.55e+03	-3.47	65.4	-17.3	694
146	124	6.28e-07	6.2	4.85	-36.2	-75.5	-20.1	-44.2	-64.6	-19.1	1.81e+03	-39.4	-65.6	-21.8	787
145	79	2.78e-07	6.56	5.01	42.8	-65	60.6	37.2	-70.1	49.9	1.93e+03	25.6	-76.1	51.7	795
144	54	1.18e-06	5.93	4.72	2.09	-73.7	63.3	-0.936	-69.7	64.5	1.83e+03	2.14	-70.4	62.7	927
143	42	8.93e-07	6.05	4.78	-37.5	46.7	-13.1	-39.9	45.4	-17.1	1.2e+03	-41	49.2	-19.1	715
142	41	5.04e-08	7.3	5.33	42.5	-62.7	32	42.1	-63.5	25.7	522	45.9	-62.8	31.9	356
141	39	2.39e-06	5.62	4.57	27.2	64.6	4.58	14.8	64.2	10.1	1.88e+03	17.3	69.9	15.3	1e+03
140	25	1.95e-05	4.71	4.11	4.29	-80.8	-26	4.66	-84.7	-21.6	1.39e+03	0.901	-86.4	-19.3	770
139	25	8.91e-05	4.05	3.75	34.9	-65.2	-29.6	35.2	-70.8	-24.8	1.08e+03	41.8	-70.3	-17.6	526
138	20	6.06e-05	4.22	3.84	-51.9	-59.9	56.8	-44.7	-61.2	57.8	1.42e+03	-51.9	-56.7	56.2	1.08e+03
137	20	2.89e-05	4.54	4.02	39	-43.9	0.517	33.1	-55.2	1.24	587	32.2	-47	1.25	397
136	18	8.22e-06	5.09	4.31	-34.7	21.2	-25.7	-34.4	25.6	-28.3	944	-38	27.8	-26.7	641
135	18	1.57e-07	6.8	5.11	23.2	15.6	13.2	19.4	12.2	14.8	532	19.8	15.7	13.3	378
134	17	1.81e-05	4.74	4.13	35	-84	1.94	39.5	-82.4	6.8	1.09e+03	48.7	-80.2	6.56	517
