Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	5	4.07	21.8	-77.8	18.2	21.3	-77.1	18.1	180	21.8	-77.8	18.2	169
22	4	3.49	-38.4	-44	31	-36.8	-42.5	30.7	147	-38.4	-44	31	134
21	4	3.77	-18.7	-22	-41.2	-17.9	-22	-41.2	1.78e+03	-18.7	-22	-41.2	1.42e+03
20	4	3.88	-8.27	-64.6	33.7	-9.85	-64.5	33.8	234	-11.7	-64.5	33.8	207
19	4	3.58	35.7	-60.1	26	34	-61.7	26.4	195	35.6	-63.4	26.6	175
18	4	3.82	-36.1	-43.7	-53.9	-36	-44.5	-53.8	351	-39.4	-43.6	-53.8	325
17	2	3.4	27.9	-79	-32.6	26.3	-78.9	-32.6	158	27.9	-79	-32.6	157
16	2	3.82	34.8	-72.6	-33.9	36.4	-72.7	-34	203	38.2	-72.7	-34	200
15	1	3.16	-25.5	-22.6	-46.6	-25.5	-22.6	-46.6	240	-25.5	-22.6	-46.6	240
14	1	3.23	48.5	-56.7	-37.1	48.5	-56.7	-37.1	171	48.5	-56.7	-37.1	171
13	1	3.28	42	-40.1	-39.8	42	-40.1	-39.8	241	42	-40.1	-39.8	241
12	1	3.23	69.7	-2.31	-30.2	69.7	-2.31	-30.2	127	69.7	-2.31	-30.2	127
11	1	3.27	32	-55.2	-8.62	32	-55.2	-8.62	184	32	-55.2	-8.62	184
10	1	3.31	73.1	-17.1	-16.4	73.1	-17.1	-16.4	210	73.1	-17.1	-16.4	210
9	1	3.14	56.6	13.7	-15.7	56.6	13.7	-15.7	257	56.6	13.7	-15.7	257
8	1	3.26	23.3	33.6	-1.21	23.3	33.6	-1.21	160	23.3	33.6	-1.21	160
7	1	3.24	45.9	-62.8	31.9	45.9	-62.8	31.9	190	45.9	-62.8	31.9	190
6	1	3.59	-42	-57	33.4	-42	-57	33.4	172	-42	-57	33.4	172
5	1	3.34	40.3	22.5	17.2	40.3	22.5	17.2	137	40.3	22.5	17.2	137
4	1	3.49	33.3	-30.3	66.2	33.3	-30.3	66.2	182	33.3	-30.3	66.2	182
3	1	3.14	17.4	39.8	60.1	17.4	39.8	60.1	317	17.4	39.8	60.1	317
2	1	3.52	9.53	-44.3	80.6	9.53	-44.3	80.6	220	9.53	-44.3	80.6	220
1	1	3.12	-24.2	33.2	-11.1	-24.2	33.2	-11.1	226	-24.2	33.2	-11.1	226
