Cluster Index	Z	P	-log10(P)		x	y	z	
147	7.47	3.99e-14	13.4	47	16.6	23.7
147	6.3	1.53e-10	9.81	33.6	4	48.9
147	6.1	5.31e-10	9.28	33.3	25.9	-5.81
147	6.03	8.04e-10	9.09	-10.2	12.6	54.3
147	5.43	2.77e-08	7.56	57.1	21.2	11.3
147	5.32	5.29e-08	7.28	6.71	17.9	47.2
146	7.49	3.42e-14	13.5	56.6	-31.1	43
146	6.19	2.97e-10	9.53	60	-45.9	56.8
146	5.99	1.02e-09	8.99	66.9	-36.2	54.9
146	5.86	2.35e-09	8.63	66.5	-39.6	32.9
146	5.58	1.22e-08	7.91	42.7	-60.2	48.5
146	5.35	4.45e-08	7.35	53.3	-47.3	68.5
145	4.56	2.54e-06	5.6	-30.9	25.3	1.77
145	4.55	2.71e-06	5.57	-27	47.4	14.8
145	4.53	2.97e-06	5.53	2.33	-1.14	-11.5
145	4.41	5.23e-06	5.28	-13.7	37.1	16.2
145	4.35	6.68e-06	5.18	-11.1	3.36	-6.29
145	4.31	8.01e-06	5.1	-24.7	8.61	-18.1
144	7.26	1.97e-13	12.7	-54.5	1.53	40.5
144	6.52	3.5e-11	10.5	-37.5	-0.535	51.7
144	5.93	1.49e-09	8.83	-64.8	9.11	22.5
144	5.78	3.77e-09	8.42	-37.4	6.01	50.5
144	5.63	8.85e-09	8.05	-47.8	6.2	28.2
144	4.88	5.37e-07	6.27	-54.4	3.22	51.5
143	6.76	6.78e-12	11.2	38.4	-87.3	2.43
143	6.7	1.08e-11	11	31.5	-88	-2.91
143	5.86	2.33e-09	8.63	25	-87.7	19.8
143	5.7	5.96e-09	8.22	31.8	-85.4	13.6
143	5.18	1.13e-07	6.95	38.4	-75.9	-10.9
143	4.51	3.23e-06	5.49	45.2	-72.8	-11.6
142	5.04	2.37e-07	6.62	-44.9	-34.8	46.5
142	5	2.82e-07	6.55	-21.5	-58.4	50
142	4.78	8.98e-07	6.05	-65.4	-50.6	49.9
142	4.7	1.27e-06	5.9	-68.5	-30.8	46.5
142	4.48	3.73e-06	5.43	-65.2	-37.5	47.6
141	4.95	3.65e-07	6.44	-54.2	38.3	17.1
141	3.82	6.71e-05	4.17	-61.2	31.1	12.9
141	3.44	0.000292	3.53	-61	23.8	31.1
140	4.03	2.83e-05	4.55	-12.9	-99.9	-22.2
140	4.01	3.07e-05	4.51	-23.2	-96.5	-45.1
140	3.91	4.66e-05	4.33	-23.1	-98	-33.5
140	3.78	7.77e-05	4.11	3.91	-98.8	-34.2
140	3.64	0.000134	3.87	-19.6	-96.5	-22.6
140	3.62	0.000145	3.84	-9.65	-96	-39.9
139	4.41	5.14e-06	5.29	18.9	-55.5	31.4
139	4.24	1.11e-05	4.95	5.2	-73.9	40.6
139	4.09	2.15e-05	4.67	18.8	-65.3	33.1
139	3.85	5.88e-05	4.23	15.4	-70.9	39.8
138	4.77	9.27e-07	6.03	-48.7	-45.4	20.2
137	4.71	1.21e-06	5.92	-22.5	-91.3	10.5
137	4.15	1.63e-05	4.79	-36.1	-86.1	-1.33
136	4.74	1.09e-06	5.96	-26.6	-81.7	-58.9
136	4.67	1.5e-06	5.83	-13	-78.8	-59.8
136	3.68	0.000119	3.93	-36.7	-81.4	-58.7
135	4.67	1.48e-06	5.83	14	-86.1	-59.3
135	4.52	3.08e-06	5.51	20.8	-79.7	-60.6
135	3.95	3.95e-05	4.4	34.3	-80.1	-60.9
134	4.48	3.65e-06	5.44	-49.3	-66	-4.43
133	3.91	4.63e-05	4.33	-39.5	-74.6	-14.5
133	3.68	0.000116	3.93	-39.4	-68.8	-21.2
133	3.56	0.000189	3.72	-32.7	-63.3	-28
132	4.37	6.28e-06	5.2	-52.6	-48	-18.8
132	3.88	5.2e-05	4.28	-39.1	-48.4	-19.1
131	4.03	2.81e-05	4.55	2.96	5.61	32.5
131	3.81	6.98e-05	4.16	9.55	-7.68	34.6
130	3.71	0.000104	3.98	-32.4	-63.2	-5.4
130	3.54	0.0002	3.7	-25.9	-83.1	-2.13
130	3.52	0.000215	3.67	-36	-76.2	-3.04
129	4.39	5.56e-06	5.26	-10.8	6.74	15.7
129	3.9	4.86e-05	4.31	-17.6	3.65	16.5
128	4.32	7.7e-06	5.11	56.2	-24.7	-3.31
127	4.54	2.85e-06	5.55	-42.6	-77.6	8.7
127	4.08	2.23e-05	4.65	-35.9	-84.4	9.68
126	4.45	4.34e-06	5.36	-62.5	-31.3	-21.4
125	4.64	1.75e-06	5.76	-58.4	-45.8	60.1
125	3.5	0.000231	3.64	-58.6	-56.5	56.4
124	4.87	5.54e-07	6.26	-65.1	-17.1	27.1
123	4.26	1e-05	5	37.5	68.5	9.28
122	3.64	0.000136	3.87	-20.5	59.3	-15.8
122	3.28	0.000516	3.29	-20.3	66.7	-11.4
121	3.93	4.25e-05	4.37	13.2	-15.8	69.9
120	4.49	3.56e-06	5.45	22.2	-81.7	58.4
120	3.89	4.99e-05	4.3	8.56	-85.4	53.8
119	4.44	4.59e-06	5.34	-68.3	-25.9	57
118	4.24	1.11e-05	4.95	-30.7	47.3	-7.73
117	3.91	4.62e-05	4.34	-0.945	16.9	-25.9
116	4.04	2.72e-05	4.57	-3.51	-7.94	74.6
115	4.22	1.22e-05	4.91	-55.2	-39.4	36.3
114	3.32	0.000456	3.34	-24.6	-4.39	6.75
114	3.3	0.000484	3.32	-21.1	2.06	5.53
113	3.75	9.02e-05	4.04	66.9	-11	22.3
112	4.04	2.65e-05	4.58	56.3	7.06	-37.1
