Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
119	2	0.000498	3.3	3.29	36	32	13	36.5	32	13
118	2	0.000216	3.67	3.52	51	31	14	51.5	31	14
117	2	0.000435	3.36	3.33	35	33	26	35.5	33	26.5
116	2	0.000534	3.27	3.27	38	28	0	38.5	28	0
115	2	0.000302	3.52	3.43	35	38	10	35.5	38.5	9.53
114	2	7.7e-05	4.11	3.78	9	28	12	9	28.5	12
113	2	9.23e-05	4.03	3.74	33	42	9	33.5	42	9
112	2	0.000201	3.7	3.54	38	38	27	38	37.5	27
111	2	0.00011	3.96	3.69	16	33	21	15.5	33	21
110	2	0.000769	3.11	3.17	38	34	21	38	33.5	21
109	2	0.000517	3.29	3.28	35	52	20	34.5	52	20
108	2	0.000422	3.37	3.34	19	45	6	19.5	45.5	6
107	2	2.98e-06	5.53	4.53	41	51	21	41	50.6	21
106	2	0.000195	3.71	3.55	36	17	7	36.5	17	7
105	2	0.000394	3.4	3.36	44	27	10	43.5	27	10
104	2	0.000539	3.27	3.27	27	47	19	26.5	47	19
103	2	0.00014	3.86	3.63	30	32	19	29.5	32	19
102	2	0.000343	3.46	3.39	52	21	10	52	20.5	10
101	2	8.65e-05	4.06	3.76	31	58	18	30.5	58	18
100	2	1.54e-05	4.81	4.17	43	11	22	42.6	11	22
99	2	0.000381	3.42	3.37	31	49	10	31	48.5	10
98	2	0.000602	3.22	3.24	47	38	22	47	37.5	22
97	2	2e-05	4.7	4.11	22	56	17	22	55.5	17
96	2	0.000267	3.57	3.46	32	22	11	31.5	22	11
95	2	0.000564	3.25	3.26	23	49	23	22.5	48.5	23
94	2	4.44e-05	4.35	3.92	44	39	7	44.5	39	7
93	2	0.000135	3.87	3.64	17	23	24	17.5	23	24
92	2	0.000325	3.49	3.41	25	46	7	25.5	45.5	7
91	2	0.000517	3.29	3.28	39	34	24	38.5	34	24
90	2	0.000515	3.29	3.28	42	24	11	42.5	24	11
89	2	4.18e-05	4.38	3.93	19	41	24	19	40.6	24
88	2	2.01e-05	4.7	4.11	42	7	16	42	6.56	16
87	2	0.000541	3.27	3.27	41	56	15	40.5	55.5	15.5
86	2	2.45e-05	4.61	4.06	38	13	4	38	13.4	4
85	1	0.000213	3.67	3.52	17	46	9	17	46	9
84	1	0.0004	3.4	3.35	40	11	10	40	11	10
83	1	0.000126	3.9	3.66	46	50	9	46	50	9
82	1	0.000537	3.27	3.27	34	50	9	34	50	9
81	1	0.000926	3.03	3.11	54	26	10	54	26	10
80	1	0.000498	3.3	3.29	27	39	6	27	39	6
79	1	0.000981	3.01	3.1	36	20	7	36	20	7
78	1	0.00074	3.13	3.18	25	30	7	25	30	7
77	1	0.000735	3.13	3.18	54	34	7	54	34	7
76	1	0.0002	3.7	3.54	42	8	6	42	8	6
75	1	0.000207	3.68	3.53	48	33	5	48	33	5
74	1	0.000351	3.45	3.39	29	35	7	29	35	7
73	1	0.000791	3.1	3.16	38	37	7	38	37	7
72	1	0.000841	3.08	3.14	47	41	4	47	41	4
71	1	0.000124	3.91	3.66	49	39	4	49	39	4
70	1	0.000321	3.49	3.41	21	26	4	21	26	4
69	1	0.000667	3.18	3.21	16	26	4	16	26	4
68	1	0.000356	3.45	3.38	32	37	8	32	37	8
67	1	0.000838	3.08	3.14	33	27	3	33	27	3
66	1	9.93e-05	4	3.72	44	19	9	44	19	9
65	1	0.000346	3.46	3.39	12	28	9	12	28	9
64	1	0.000148	3.83	3.62	33	29	0	33	29	0
63	1	0.000353	3.45	3.39	52	41	9	52	41	9
62	1	0.000312	3.51	3.42	38	22	20	38	22	20
61	1	0.000468	3.33	3.31	54	27	20	54	27	20
60	1	0.000521	3.28	3.28	27	29	20	27	29	20
59	1	0.000501	3.3	3.29	13	42	20	13	42	20
58	1	0.000221	3.65	3.51	25	11	21	25	11	21
57	1	0.000461	3.34	3.31	50	16	21	50	16	21
56	1	0.000739	3.13	3.18	38	20	21	38	20	21
55	1	0.000839	3.08	3.14	53	29	21	53	29	21
54	1	0.00049	3.31	3.3	50	41	21	50	41	21
53	1	0.000791	3.1	3.16	40	53	21	40	53	21
52	1	6.33e-06	5.2	4.37	40	10	22	40	10	22
51	1	0.000938	3.03	3.11	42	27	22	42	27	22
50	1	6.09e-05	4.22	3.84	47	44	22	47	44	22
49	1	0.000588	3.23	3.24	27	52	22	27	52	22
48	1	0.000575	3.24	3.25	36	27	23	36	27	23
47	1	0.000283	3.55	3.45	26	49	23	26	49	23
46	1	0.000122	3.91	3.67	44	37	24	44	37	24
45	1	0.000122	3.91	3.67	21	22	25	21	22	25
44	1	0.000897	3.05	3.12	24	24	25	24	24	25
43	1	0.000947	3.02	3.11	48	25	25	48	25	25
42	1	0.000138	3.86	3.64	23	28	25	23	28	25
41	1	0.000334	3.48	3.4	36	42	25	36	42	25
40	1	0.000568	3.25	3.25	34	43	25	34	43	25
39	1	0.000731	3.14	3.18	30	47	25	30	47	25
38	1	3.61e-05	4.44	3.97	29	16	26	29	16	26
37	1	0.000801	3.1	3.16	20	31	26	20	31	26
36	1	0.000917	3.04	3.12	32	43	26	32	43	26
35	1	0.000305	3.52	3.43	30	22	27	30	22	27
34	1	0.000595	3.23	3.24	34	26	27	34	26	27
33	1	0.000558	3.25	3.26	29	24	28	29	24	28
32	1	0.000139	3.86	3.64	31	25	28	31	25	28
31	1	0.000441	3.36	3.33	10	35	10	10	35	10
30	1	0.000215	3.67	3.52	54	36	10	54	36	10
29	1	0.000746	3.13	3.18	51	23	11	51	23	11
28	1	0.000839	3.08	3.14	51	35	11	51	35	11
27	1	0.000667	3.18	3.21	11	37	11	11	37	11
26	1	0.00095	3.02	3.11	20	49	11	20	49	11
25	1	0.000272	3.57	3.46	32	7	12	32	7	12
24	1	2.52e-05	4.6	4.05	42	21	12	42	21	12
23	1	0.000915	3.04	3.12	37	22	12	37	22	12
22	1	0.000193	3.72	3.55	12	20	13	12	20	13
21	1	0.000748	3.13	3.18	42	54	13	42	54	13
20	1	0.00077	3.11	3.17	10	26	14	10	26	14
19	1	0.000913	3.04	3.12	40	34	14	40	34	14
18	1	0.000967	3.01	3.1	39	36	14	39	36	14
17	1	0.000678	3.17	3.2	31	39	14	31	39	14
16	1	0.000133	3.88	3.65	42	13	15	42	13	15
15	1	0.000933	3.03	3.11	28	22	15	28	22	15
14	1	5.48e-05	4.26	3.87	33	39	15	33	39	15
13	1	0.000993	3	3.09	17	50	15	17	50	15
12	1	0.000461	3.34	3.31	28	53	15	28	53	15
11	1	0.000395	3.4	3.36	20	56	15	20	56	15
10	1	0.00064	3.19	3.22	10	27	16	10	27	16
9	1	5.77e-05	4.24	3.86	31	39	16	31	39	16
8	1	0.000516	3.29	3.28	44	43	16	44	43	16
7	1	0.000876	3.06	3.13	36	53	16	36	53	16
6	1	0.000421	3.38	3.34	27	58	17	27	58	17
5	1	2.45e-05	4.61	4.06	27	7	18	27	7	18
4	1	0.000691	3.16	3.2	41	36	18	41	36	18
3	1	0.000727	3.14	3.18	30	41	18	30	41	18
2	1	0.000583	3.23	3.25	38	25	19	38	25	19
1	1	0.000494	3.31	3.29	13	38	19	13	38	19
