Cluster Index	Z	x	y	z	
135	3.42	-40.9	-20	77.8
134	3.66	-19.1	-49	-42.2
133	4.62	-4.12	-48.1	76
132	3.36	-6.23	60.8	40.1
131	3.86	-12.9	-99.9	-22.2
130	4.3	13	-18.3	53.3
129	3.42	-48.5	-62.5	62.8
128	3.88	6.06	-50.8	81.8
127	4.09	-32.9	-96.8	-5.2
126	3.43	-12.3	-74.5	-9.67
125	3.36	35.3	-56.2	-14.2
124	3.52	-61.9	-13.2	9.34
123	3.43	-7.8	4.86	-17.9
122	3.29	-11.2	-12.2	2.07
121	3.17	5.97	12.7	-8.4
120	3.78	79.8	-28.7	-3.29
119	3.74	-0.945	16.9	-25.9
118	3.65	-37.9	26.2	-15.2
117	3.28	-32	-39.5	-3.89
116	3.46	1.71	-47	-3.54
115	3.37	6.21	40.5	-24.5
114	3.39	-66	-49.2	-6.89
113	3.36	-38.7	-30.3	-11
112	3.86	76.3	-44.1	5.15
111	3.54	-16.6	19.5	75.9
110	3.83	48.4	-52.6	-54.8
109	3.33	-6.76	1.98	73
108	4.06	-19.5	-81.8	-36.5
107	3.93	47.5	25	56.1
106	3.28	-20.4	3.95	61.7
105	3.64	53.5	-34.2	66.3
104	3.26	34.3	50.7	46.4
103	3.24	-47.4	16.1	49.1
102	4.17	-35.1	-72.7	64.2
101	4.53	-26.6	57.3	35.7
100	3.17	-17.3	1.32	45.1
99	3.69	57.1	-4.06	44
98	3.34	46.3	22.9	-45.2
97	3.28	-6.39	59.1	29.1
96	3.55	-12.4	-66.3	-22.4
95	3.27	-19.2	-36	-67
94	3.27	-26.9	68.6	-0.225
93	4.11	-32.4	-90.9	33.3
92	3.41	26.1	27.6	-39.8
91	3.9	-72.5	-17.9	-23.5
90	3.92	-38.4	6.46	-34.3
89	3.76	7.24	76.7	14.4
88	3.63	9.55	-7.68	34.6
87	3.27	20.4	41.1	25.8
86	4.11	37.5	68.5	9.28
85	3.11	-72.6	-32.6	-9.59
84	3.62	-2.24	-33.2	-68
83	3.1	-12.2	-56.5	-24.1
82	3.38	2.13	-0.392	-28.6
81	3.39	69.4	-30.9	-19.6
80	3.14	-2.09	-37.3	-50.4
79	3.18	25.4	-24.8	-30.7
78	3.21	55.4	-41.3	-45.6
77	3.35	-25.9	-83.1	-2.13
76	3.41	38.5	-40.8	-45.2
75	3.66	-44.5	44.4	-29.4
74	3.52	53.3	28.5	-29.4
73	3.66	-55.6	4.41	-50.4
72	3.29	19	3.99	-41.2
71	3.72	-39.2	-57.3	-11.9
70	3.39	-65.2	15.5	-23.8
69	3.16	-18.2	-0.661	-33.7
68	3.14	-48.7	10.8	-51.7
67	3.18	-72.5	-8.95	-30.7
66	3.53	-52.4	-14.5	-41.6
65	3.39	12.1	-8.07	-33.2
64	3.54	-33.1	-96.1	-22.3
63	3.27	-3.97	43.2	-30.4
62	3.31	-71.7	-20.9	44.9
61	3.28	19.6	-16.9	41.6
60	3.29	67.5	24.3	33.1
59	3.51	25.7	-75.2	57.2
58	3.31	-58.6	-56.5	56.4
57	3.18	-17.9	-44.5	53.1
56	3.14	-68.2	-13.6	49.2
55	3.3	-57.5	25.4	42.1
54	3.16	-23.2	63.7	34.4
53	4.37	-25	-76.2	64.5
52	3.11	-31	-20.4	54.9
51	3.84	-47.2	35.8	45.6
50	3.24	20.8	60	39.5
49	3.25	-10.6	-20.1	60
48	3.11	15.5	-44	18.2
47	3.67	-37.2	14.2	60.4
46	3.67	40	-36.2	72.6
45	3.12	30	-29.4	71.7
44	3.11	-51.1	-23.8	73.1
43	3.64	33.5	-16.4	69.4
42	3.4	-9.82	30.7	62.4
41	3.25	-3.01	33.8	61.7
40	3.18	10.7	46.5	59.1
39	3.97	12.8	-54.3	82.2
38	3.16	43.9	-6.01	72.9
37	3.12	3.83	34.4	67
36	3.43	9.74	-33.7	84.4
35	3.24	-3.61	-20.2	82.4
34	3.26	13.3	-26.4	88.7
33	3.64	6.57	-22.9	88.2
32	3.45	24.1	51	46.6
31	3.33	76.6	-7.36	-18.2
30	3.52	-72.1	0.127	-15.3
29	3.18	-62.5	-41.9	-2.61
28	3.14	-61.9	-2.59	-9.46
27	3.21	73.4	0.127	-13.8
26	3.11	43.5	40.3	-19.9
25	3.46	1.12	-95.2	10.5
24	4.05	-32.1	-48.5	3.32
23	3.12	-15.1	-45.7	2.36
22	3.55	69.4	-53.8	7.02
21	3.18	-30.5	60.4	-10
20	3.17	76.5	-33.5	8.94
19	3.12	-24.6	-4.39	6.75
18	3.1	-21.1	2.06	5.53
17	3.42	-17.9	-38.8	46.5
16	3.65	-32.2	-72.1	24.4
15	3.87	-0.602	12.2	8.85
14	3.09	54	46.6	1.3
13	3.31	16.9	57.5	0.457
12	3.36	44.1	66.6	-1.89
11	3.22	76.7	-28.5	19.4
10	3.86	6.24	12.8	14.2
9	3.28	-37.5	27.1	12.9
8	3.13	-10	59.1	6.6
7	3.34	20.7	75.5	8.53
6	4.06	18.5	-90.7	43.2
5	3.2	-27.5	5.63	27.7
4	3.18	9.87	20.9	24
3	3.25	-17.8	-29.8	39.3
2	3.29	67.3	10.3	29.8
1	3.2	6.08	11.1	3.18
