Cluster Index	Z	P	-log10(P)	x	y	z	
156	3.97	3.59e-05	4.44	34	42	13
156	3.66	0.000127	3.9	32	42	13
155	4.28	9.19e-06	5.04	53	25	22
155	3.38	0.000363	3.44	51	25	21
154	4.43	4.81e-06	5.32	39	50	11
153	3.88	5.29e-05	4.28	16	40	7
152	3.93	4.32e-05	4.36	22	53	22
151	3.71	0.000105	3.98	41	28	6
150	3.57	0.00018	3.74	13	32	17
149	3.45	0.000282	3.55	49	26	17
149	3.4	0.000336	3.47	51	25	16
148	3.33	0.00043	3.37	43	13	10
147	4.08	2.24e-05	4.65	42	23	27
146	3.82	6.66e-05	4.18	47	14	3
146	3.72	0.000101	4	46	12	4
145	3.6	0.00016	3.8	35	23	28
144	3.93	4.32e-05	4.36	39	24	15
143	4.48	3.75e-06	5.43	33	47	10
142	3.55	0.000191	3.72	54	30	10
141	3.62	0.000147	3.83	28	17	9
140	3.4	0.000336	3.47	36	40	19
139	3.8	7.1e-05	4.15	23	52	19
138	3.87	5.35e-05	4.27	36	22	26
137	3.93	4.3e-05	4.37	42	38	3
136	3.67	0.000123	3.91	37	5	11
135	3.42	0.000319	3.5	45	26	26
134	3.66	0.000125	3.9	38	23	4
133	4.62	1.94e-06	5.71	34	18	25
132	3.36	0.000385	3.41	35	52	22
131	3.86	5.67e-05	4.25	36	7	6
130	4.3	8.44e-06	5.07	29	28	22
129	3.42	0.000312	3.51	47	14	22
128	3.88	5.2e-05	4.28	31	17	26
127	4.09	2.12e-05	4.67	42	7	9
126	3.43	0.000305	3.52	36	14	9
125	3.36	0.000389	3.41	22	20	9
124	3.52	0.000216	3.67	51	31	14
123	3.43	0.000302	3.52	35	38	10
122	3.29	0.000498	3.3	36	32	13
121	3.17	0.000752	3.12	31	40	12
120	3.78	7.7e-05	4.11	9	28	12
119	3.74	9.23e-05	4.03	33	42	9
118	3.65	0.000131	3.88	44	44	11
117	3.28	0.000515	3.29	42	24	11
116	3.46	0.000267	3.57	32	22	11
115	3.37	0.000381	3.42	31	49	10
114	3.39	0.000343	3.46	52	21	10
113	3.36	0.000394	3.4	44	27	10
112	3.86	5.71e-05	4.24	10	23	13
111	3.54	0.000201	3.7	38	38	27
110	3.83	6.32e-05	4.2	18	23	2
109	3.33	0.000435	3.36	35	33	26
108	4.06	2.45e-05	4.61	38	13	4
107	3.93	4.18e-05	4.38	19	41	24
106	3.28	0.000517	3.29	39	34	24
105	3.64	0.000135	3.87	17	23	24
104	3.26	0.000564	3.25	23	49	23
103	3.24	0.000602	3.22	47	38	22
102	4.17	1.54e-05	4.81	43	11	22
101	4.53	2.98e-06	5.53	41	51	21
100	3.17	0.000769	3.11	38	34	21
99	3.69	0.00011	3.96	16	33	21
98	3.34	0.000422	3.37	19	45	6
97	3.28	0.000517	3.29	35	52	20
96	3.55	0.000195	3.71	36	17	7
95	3.27	0.000534	3.27	38	28	0
94	3.27	0.000541	3.27	41	56	15
93	4.11	2.01e-05	4.7	42	7	16
92	3.41	0.000325	3.49	25	46	7
91	3.9	4.79e-05	4.32	54	31	8
90	3.92	4.44e-05	4.35	44	39	7
89	3.76	8.65e-05	4.06	31	58	18
88	3.63	0.00014	3.86	30	32	19
87	3.27	0.000539	3.27	27	47	19
86	4.11	2e-05	4.7	22	56	17
85	3.11	0.000926	3.03	54	26	10
84	3.62	0.000148	3.83	33	29	0
83	3.1	0.000981	3.01	36	20	7
82	3.38	0.000356	3.45	32	37	8
81	3.39	0.000346	3.46	12	28	9
80	3.14	0.000838	3.08	33	27	3
79	3.18	0.00074	3.13	25	30	7
78	3.21	0.000667	3.18	16	26	4
77	3.35	0.0004	3.4	40	11	10
76	3.41	0.000321	3.49	21	26	4
75	3.66	0.000126	3.9	46	50	9
74	3.52	0.000213	3.67	17	46	9
73	3.66	0.000124	3.91	49	39	4
72	3.29	0.000498	3.3	27	39	6
71	3.72	9.93e-05	4	44	19	9
70	3.39	0.000353	3.45	52	41	9
69	3.16	0.000791	3.1	38	37	7
68	3.14	0.000841	3.08	47	41	4
67	3.18	0.000735	3.13	54	34	7
66	3.53	0.000207	3.68	48	33	5
65	3.39	0.000351	3.45	29	35	7
64	3.54	0.0002	3.7	42	8	6
63	3.27	0.000537	3.27	34	50	9
62	3.31	0.000468	3.33	54	27	20
61	3.28	0.000521	3.28	27	29	20
60	3.29	0.000501	3.3	13	42	20
59	3.51	0.000221	3.65	25	11	21
58	3.31	0.000461	3.34	50	16	21
57	3.18	0.000739	3.13	38	20	21
56	3.14	0.000839	3.08	53	29	21
55	3.3	0.00049	3.31	50	41	21
54	3.16	0.000791	3.1	40	53	21
53	4.37	6.33e-06	5.2	40	10	22
52	3.11	0.000938	3.03	42	27	22
51	3.84	6.09e-05	4.22	47	44	22
50	3.24	0.000588	3.23	27	52	22
49	3.25	0.000575	3.24	36	27	23
48	3.11	0.000933	3.03	28	22	15
47	3.67	0.000122	3.91	44	37	24
46	3.67	0.000122	3.91	21	22	25
45	3.12	0.000897	3.05	24	24	25
44	3.11	0.000947	3.02	48	25	25
43	3.64	0.000138	3.86	23	28	25
42	3.4	0.000334	3.48	36	42	25
41	3.25	0.000568	3.25	34	43	25
40	3.18	0.000731	3.14	30	47	25
39	3.97	3.61e-05	4.44	29	16	26
38	3.16	0.000801	3.1	20	31	26
37	3.12	0.000917	3.04	32	43	26
36	3.43	0.000305	3.52	30	22	27
35	3.24	0.000595	3.23	34	26	27
34	3.26	0.000558	3.25	29	24	28
33	3.64	0.000139	3.86	31	25	28
32	3.45	0.000283	3.55	26	49	23
31	3.33	0.000441	3.36	10	35	10
30	3.52	0.000215	3.67	54	36	10
29	3.18	0.000746	3.13	51	23	11
28	3.14	0.000839	3.08	51	35	11
27	3.21	0.000667	3.18	11	37	11
26	3.11	0.00095	3.02	20	49	11
25	3.46	0.000272	3.57	32	7	12
24	4.05	2.52e-05	4.6	42	21	12
23	3.12	0.000915	3.04	37	22	12
22	3.55	0.000193	3.72	12	20	13
21	3.18	0.000748	3.13	42	54	13
20	3.17	0.00077	3.11	10	26	14
19	3.12	0.000913	3.04	40	34	14
18	3.1	0.000967	3.01	39	36	14
17	3.42	0.000312	3.51	38	22	20
16	3.65	0.000133	3.88	42	13	15
15	3.87	5.48e-05	4.26	33	39	15
14	3.09	0.000993	3	17	50	15
13	3.31	0.000461	3.34	28	53	15
12	3.36	0.000395	3.4	20	56	15
11	3.22	0.00064	3.19	10	27	16
10	3.86	5.77e-05	4.24	31	39	16
9	3.28	0.000516	3.29	44	43	16
8	3.13	0.000876	3.06	36	53	16
7	3.34	0.000421	3.38	27	58	17
6	4.06	2.45e-05	4.61	27	7	18
5	3.2	0.000691	3.16	41	36	18
4	3.18	0.000727	3.14	30	41	18
3	3.25	0.000583	3.23	38	25	19
2	3.29	0.000494	3.31	13	38	19
1	3.2	0.000678	3.17	31	39	14
