Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
31	2	0.0771	1.11	1.42	56	26	-24	56	26	-24.9	15.2	56	26	-24	14.4
30	2	0.0863	1.06	1.36	42	-10	-40	43	-10	-40	10.8	42	-10	-40	10.3
29	2	0.0653	1.19	1.51	52	30	-26	52	30	-25.1	15.8	52	30	-26	14.8
28	2	0.0909	1.04	1.34	2	-88	-42	2.99	-88	-43	7.97	2	-88	-42	7.81
27	2	0.0816	1.09	1.39	60	14	-40	60	14	-39	11.3	60	14	-40	10.9
26	2	0.0931	1.03	1.32	10	-62	68	9	-61	67	42.9	8	-60	66	35.4
25	2	0.0673	1.17	1.5	-20	-88	48	-20	-87	49	16.5	-20	-86	50	13.6
24	2	0.0838	1.08	1.38	-42	-86	38	-42	-86	37	9.46	-42	-86	36	8.71
23	2	0.0879	1.06	1.35	68	14	32	68	14	33	10.1	68	14	32	9.55
22	2	0.0802	1.1	1.4	68	8	10	68	8	9.02	15.6	68	8	10	15.1
21	2	0.0953	1.02	1.31	-56	-26	26	-56	-27	26	23.9	-56	-28	26	23.3
20	2	0.0684	1.17	1.49	-62	-64	14	-62	-64	15	18.4	-62	-64	14	17.6
19	2	0.0857	1.07	1.37	52	-4	-14	52	-3.01	-14	18.2	52	-2	-14	18.1
18	2	0.0818	1.09	1.39	-48	-8	12	-48	-8.96	12	18.1	-48	-8	12	17.5
17	2	0.0844	1.07	1.38	-18	-6	0	-17	-6	7.63e-06	13.5	-18	-6	0	12.5
16	2	0.0964	1.02	1.3	66	-16	-4	67	-16	-4	27.3	66	-16	-4	26.8
15	2	0.0787	1.1	1.41	-70	-6	28	-70	-5.01	28	14.8	-70	-4	28	14.7
14	1	0.0864	1.06	1.36	20	2	78	20	2	78	11.4	20	2	78	11.4
13	1	0.0866	1.06	1.36	-40	-64	64	-40	-64	64	10.6	-40	-64	64	10.6
12	1	0.0491	1.31	1.65	60	-6	58	60	-6	58	7.26	60	-6	58	7.26
11	1	0.0806	1.09	1.4	56	18	52	56	18	52	5.73	56	18	52	5.73
10	1	0.082	1.09	1.39	48	42	40	48	42	40	6.94	48	42	40	6.94
9	1	0.0849	1.07	1.37	72	-2	-2	72	-2	-2	12.4	72	-2	-2	12.4
8	1	0.0839	1.08	1.38	-22	-96	34	-22	-96	34	10.7	-22	-96	34	10.7
7	1	0.0942	1.03	1.32	62	-16	-34	62	-16	-34	9.65	62	-16	-34	9.65
6	1	0.0881	1.05	1.35	-14	38	-28	-14	38	-28	10	-14	38	-28	10
5	1	0.0955	1.02	1.31	-46	-88	22	-46	-88	22	12.6	-46	-88	22	12.6
4	1	0.097	1.01	1.3	-24	-12	-30	-24	-12	-30	17.8	-24	-12	-30	17.8
3	1	0.0993	1	1.29	-48	-12	18	-48	-12	18	13.3	-48	-12	18	13.3
2	1	0.0988	1.01	1.29	36	36	14	36	36	14	18.4	36	36	14	18.4
1	1	0.0977	1.01	1.29	48	-10	-38	48	-10	-38	9.82	48	-10	-38	9.82
